build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
685988035,13d309b54c3081554b4a5269e3a1e216ef43a8a0,353,master,passed,313,2020-05-12 07:02:35 UTC,685988036,685988037,pull_request
685871793,06705f82b3e4d734114f47925a41feb68f5c097c,353,master,passed,314,2020-05-11 22:18:10 UTC,685871794,685871796,pull_request
685860632,a223401e0dd2e715f3283185b39abc3ae5cc6a34,353,master,passed,310,2020-05-11 21:42:49 UTC,685860633,685860634,pull_request
685823152,c14ff1ae04727e9630e3ad519ea18fa199dae6ca,,master,passed,576,2020-05-11 20:00:39 UTC,685823153,685823154,push
685365493,30e72ece86322ab195ddb7bbf888674cd976528a,351,master,passed,363,2020-05-10 16:54:06 UTC,685365494,685365495,pull_request
683472628,b33396f49d91f5455b0e0b2894c6ebeef4a6d29e,351,master,passed,339,2020-05-05 16:47:10 UTC,683472629,683472630,pull_request
683099784,5c0f0d802bb4a5efe90d256da8719024193e4f42,351,master,passed,366,2020-05-04 20:05:23 UTC,683099785,683099786,pull_request
673633466,21f392651c0cad741398059be3d912d86f1ce0bc,,master,passed,407,2020-04-10 23:42:30 UTC,673633467,673633468,push
673557231,a98229af1f904cee2d3b68e0bd1f04abbe0bcd8e,346,master,passed,362,2020-04-10 19:21:06 UTC,673557232,673557233,pull_request
673367635,1188a336e29651ebf50b838edb0a3f1ada380df1,,update/grpc,passed,350,2020-04-10 10:57:29 UTC,673367636,673367637,push
673258345,4544d6dd8aa930a7a7e39aaf8c18722fd4bff181,,master,passed,410,2020-04-10 02:17:33 UTC,673258352,673258355,push
671221764,038e380a1403da48ee3fd89d23271b99fad78ff8,344,master,passed,359,2020-04-05 12:07:40 UTC,671221765,671221766,pull_request
671199935,48e91fc82387cbf686ed09f66da1e2fb64aebc65,,remove/config-name-resolver,passed,338,2020-04-05 10:19:49 UTC,671199936,671199937,push
671199330,8437fde0be458ef19ec181c013755a833ada4284,,remove/config-name-resolver,passed,336,2020-04-05 10:17:39 UTC,671199331,671199332,push
671198329,4c427fdca498502be2cb67dcfda51e111d4bf428,,remove/config-name-resolver,passed,344,2020-04-05 10:11:17 UTC,671198333,671198334,push
668981362,79108feb38117c321e3504fa55749a7357ba317a,,master,passed,491,2020-03-30 22:08:16 UTC,668981363,668981364,push
668315098,99087b285991f95bb93386958f40bfb3bcf541f3,343,master,passed,350,2020-03-30 21:59:30 UTC,668315099,668315100,pull_request
