build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
332198266,3a327035a61a05f1daf9835d5ea95562889b0931,363,master,errored,1771,2018-01-23 08:55:37 UTC,332198267,332198268,332198269,332198270,332198271,332198272,pull_request
164639542,41e639e9cfa323e8f631e4387570167d08fcb0d9,358,master,failed,1920,2016-10-03 13:58:43 UTC,164639545,164639548,164639550,164639552,164639553,164639554,pull_request
87816644,a846686e05116b7bdfd2ed8e95ffc51ea080496f,327,master,passed,771,2015-10-28 03:28:42 UTC,87816645,87816646,87816647,87816648,87816649,87816651,pull_request
