build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
747267597,718c91bfb1ecc4d4899c868fe5932bbe633c6f5d,,drop-xenial,canceled,0,,747267598,747267599,747267600,747267601,747267602,747267603,push
747265437,a8be35c2cb813536f2faf60c5ec43bf57d589237,,v1.2.3,failed,3192,2020-12-02 23:44:22 UTC,747265438,747265439,747265440,747265441,747265442,747265443,747265444,push
747265429,a8be35c2cb813536f2faf60c5ec43bf57d589237,,master,failed,3000,2020-12-02 21:18:05 UTC,747265430,747265431,747265432,747265433,747265434,747265435,747265436,push
747105520,6a0fcbc73c2930d1f1d5bbd100c4e42843d08830,,master,failed,3254,2020-12-02 09:40:15 UTC,747105521,747105522,747105523,747105524,747105525,747105526,747105527,push
747050099,6326b1d35d381224a6a2dca5178bc3353f7dd52f,213,master,failed,1651,2020-12-01 20:48:27 UTC,747050100,747050101,747050102,747050103,747050104,747050105,747050106,pull_request
746815622,9aabbd708414cb953fbf4c266144fc1eae911fb6,213,master,failed,3265,2020-11-30 22:04:56 UTC,746815623,746815624,746815625,746815626,746815627,746815628,746815629,pull_request
733013268,90e32fdc7a781c2d06f7814732dfa518886360c5,211,master,passed,1786,2020-10-05 16:25:12 UTC,733013277,733013283,733013285,733013287,733013289,733013291,733013293,pull_request
732918406,e0f087656fe9c213f821c7d030c342fbc09a1638,211,master,passed,1942,2020-10-05 10:24:50 UTC,732918407,732918408,732918409,732918410,732918411,732918412,732918413,732918414,pull_request
731911764,6efa5d8365a606c97d9a9b9f6b23a92a2ba35fc7,210,master,passed,1503,2020-10-01 12:05:39 UTC,731911765,731911766,731911767,731911768,731911769,731911770,731911771,pull_request
686402899,4696ebc114ced38cd5c14b1905863efda4cceb66,208,master,passed,2490,2020-05-13 03:21:05 UTC,686402900,686402901,686402902,686402903,686402904,686402905,686402906,pull_request
686324581,76d00a1229bf645d08f753a8ce00a620ab5f3fb4,207,master,passed,2200,2020-05-12 22:01:26 UTC,686324587,686324588,686324589,686324590,686324591,686324592,686324593,pull_request
648438332,bf9359b00a0540a7c600742bb56eb695b39cc693,204,master,failed,1202,2020-02-10 14:40:27 UTC,648438333,648438334,648438335,648438336,648438337,648438338,pull_request
622840212,2da4dc4591eff242e1aeeed7d94b00252bd1512b,,master,passed,1856,2019-12-09 19:51:51 UTC,622840213,622840214,622840215,622840216,622840217,622840218,622840219,push
622835589,a2dfe215e305d305d31e77d94975f50d90c2229d,,use-kernel-naming-for-architectures,canceled,1483,2019-12-09 19:41:28 UTC,622835590,622835591,622835592,622835593,622835594,622835595,622835596,push
622829437,79d26879e53ee7517d4f3921b07fa8aa27e55706,202,master,passed,1554,2019-12-09 19:33:16 UTC,622829438,622829439,622829440,622829441,622829442,622829443,622829444,pull_request
620755384,dc0a492ad0c6f8de6d320a7d76511c04655c7a81,,master,passed,2041,2019-12-04 18:31:18 UTC,620755385,620755386,620755387,620755388,620755389,620755390,620755391,push
620753488,4f8f3d7b5302959091207d18027de7660b0609f0,200,master,passed,1197,2019-12-04 18:25:02 UTC,620753489,620753490,620753491,620753492,620753493,620753494,620753495,pull_request
620739469,72074b64e665bd95a93c729ac1904ddea64fa16d,200,master,passed,1929,2019-12-04 17:42:59 UTC,620739470,620739471,620739472,620739474,620739475,620739477,620739478,pull_request
618717251,3cad77a4dfd20e0986033c178c03f42f3cd23fa2,,master,passed,2467,2019-11-29 19:02:49 UTC,618717252,618717253,618717254,618717255,618717256,618717257,push
618442231,b428293699dacf725a0e02deca65cefe1dabcc90,198,master,passed,2265,2019-11-29 04:21:10 UTC,618442232,618442233,618442234,618442235,618442236,618442237,pull_request
618442091,5003383eb7295a7e1d8622fa0a85b675a404447a,,update-contributing-for-arm64,passed,2191,2019-11-29 04:16:39 UTC,618442092,618442093,618442094,618442095,618442096,618442097,push
618438419,e0e1f64d26d1a00bbad1436627ccbfd0222d19a7,,master,passed,1728,2019-11-29 04:01:32 UTC,618438420,618438421,618438422,618438423,618438424,618438425,push
618077850,210d741e167be1720f5bef1eba1aceedb3a83c56,197,master,passed,1586,2019-11-28 08:00:20 UTC,618077851,618077852,618077853,618077854,618077855,618077856,pull_request
618074513,7a090bf4ba43ddc955bad4b54ecb1c63b75ba423,197,master,passed,1635,2019-11-28 07:47:46 UTC,618074514,618074515,618074516,618074517,618074518,618074519,pull_request
618069090,e611dfa41175d37ecb944f76b8f2838c87f33135,197,master,passed,1902,2019-11-28 07:30:51 UTC,618069091,618069092,618069093,618069094,618069095,618069096,pull_request
618068714,68c5c0f4ed805cbd4e06607f0c90352b685fdcde,197,master,passed,2177,2019-11-28 07:26:03 UTC,618068715,618068716,618068717,618068718,618068719,618068720,pull_request
611771121,e17aae3fe40efa08febd6b028b2eb4c6769dea44,196,master,passed,1967,2019-11-14 09:04:10 UTC,611771122,611771123,611771124,611771125,611771126,pull_request
