build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
731328460,f6c716fda95cca944f395b1d8dfe01fde987b910,317,master,passed,3421,2020-09-29 16:16:07 UTC,731328461,731328462,731328463,731328464,731328465,731328466,731328467,731328468,731328469,731328470,731328471,731328472,731328473,731328474,731328475,731328476,731328477,731328478,731328479,pull_request
731028353,1f7b9a58e490c8cda487dd7d5d3f878759154271,404,master,passed,3751,2020-09-28 17:04:51 UTC,731028354,731028355,731028356,731028357,731028358,731028359,731028360,731028361,731028362,731028363,731028364,731028365,731028366,731028367,731028368,731028369,731028370,731028371,731028372,pull_request
731016860,491bb8ef9724dc763fb261c845ab53c85ede8cbd,384,master,passed,3661,2020-09-28 16:35:18 UTC,731016861,731016862,731016864,731016865,731016867,731016868,731016869,731016870,731016871,731016872,731016873,731016874,731016875,731016876,731016877,731016878,731016879,731016880,731016881,pull_request
731010748,a58524934177b78863440b477b040e42f37e2e0d,404,master,passed,3531,2020-09-28 16:00:35 UTC,731010749,731010750,731010751,731010752,731010758,731010759,731010760,731010761,731010762,731010763,731010764,731010765,731010766,731010767,731010768,731010769,731010770,731010771,731010772,pull_request
730801075,5fe32150fc452f67d45e0d82f58b142bdec870bd,404,master,passed,3518,2020-09-27 23:55:42 UTC,730801076,730801077,730801078,730801079,730801080,730801081,730801082,730801083,730801084,730801085,730801086,730801087,730801088,730801089,730801090,730801091,730801092,730801093,730801094,pull_request
730800772,71d5cc0088ba31091911756e95930c93bceb7ce3,404,master,failed,188,2020-09-27 23:52:05 UTC,730800773,730800774,730800775,730800776,730800777,730800778,730800779,730800780,730800781,730800782,730800783,730800784,730800785,730800786,730800787,730800788,730800789,730800790,730800791,pull_request
730800085,07a5611da3a4362cbe5eb2417d7fb26ea1275382,404,master,failed,186,2020-09-27 23:47:33 UTC,730800086,730800087,730800088,730800089,730800090,730800091,730800092,730800093,730800094,730800095,730800096,730800097,730800098,730800099,730800100,730800101,730800102,730800103,730800104,pull_request
730428301,3da5d957764eb93a08ed5ee30ccf701c2d0a9a5b,393,master,passed,3434,2020-09-26 01:23:41 UTC,730428302,730428303,730428304,730428305,730428306,730428307,730428308,730428309,730428310,730428311,730428312,730428313,730428314,730428315,730428316,730428317,730428318,730428319,730428320,pull_request
729794951,832b92deecd99c8b455f1115116ac4fcb6649d49,317,master,passed,3546,2020-09-24 00:05:02 UTC,729794952,729794953,729794954,729794955,729794956,729794957,729794958,729794968,729794971,729794973,729794976,729794979,729794981,729794983,729794990,729794995,729795019,729795022,729795024,pull_request
729793256,3cba49c81a84d733f7f5ef7970282701ea1b447b,317,master,passed,3429,2020-09-23 23:48:56 UTC,729793257,729793258,729793259,729793260,729793261,729793262,729793263,729793264,729793265,729793266,729793267,729793268,729793269,729793270,729793271,729793272,729793273,729793274,729793275,pull_request
729787591,1d6f0be6e8c5b514b31ad06c7c6971d41f0c3084,317,master,passed,3349,2020-09-23 23:17:40 UTC,729787592,729787593,729787594,729787595,729787596,729787597,729787598,729787599,729787600,729787601,729787602,729787603,729787604,729787605,729787606,729787607,729787608,729787609,729787610,pull_request
729778793,ba0c56c129045bd5585df69c230456f9fc235ba7,317,master,passed,3289,2020-09-23 22:31:06 UTC,729778794,729778795,729778796,729778797,729778798,729778799,729778800,729778801,729778802,729778803,729778804,729778805,729778806,729778807,729778808,729778809,729778810,729778811,729778812,pull_request
729778510,df583b3a5823675693c08cf774071e2adcba36e8,317,master,failed,3432,2020-09-23 22:29:57 UTC,729778511,729778512,729778513,729778514,729778515,729778516,729778517,729778518,729778519,729778520,729778521,729778522,729778523,729778524,729778525,729778526,729778527,729778528,729778529,pull_request
729775806,5a8acee0d5bf7a1d2852c281a175828fac23f7f6,317,master,failed,201,2020-09-23 22:16:08 UTC,729775807,729775808,729775809,729775810,729775811,729775812,729775813,729775814,729775815,729775816,729775817,729775818,729775819,729775820,729775821,729775822,729775823,729775824,729775825,pull_request
729437066,b84c2f31a57a02723ad8877fbbb5738d2eb20c29,384,master,passed,3344,2020-09-22 20:59:18 UTC,729437067,729437068,729437069,729437070,729437071,729437072,729437073,729437074,729437075,729437076,729437077,729437078,729437079,729437080,729437081,729437082,729437083,729437084,729437085,pull_request
