build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
650342649,1a3ce56582320a1eff28cdfac75e407e2961e917,1059,master,passed,1289,2020-02-14 08:46:59 UTC,650342650,650342651,650342652,650342653,650342654,650342655,650342656,650342657,650342658,650342659,pull_request
650192577,5a8a207333b3cbdd6f50a31da2d448658343637e,,master,passed,1415,2020-02-13 22:49:47 UTC,650192578,650192579,650192580,650192581,650192582,650192583,650192584,650192585,650192587,650192589,push
649886651,ab1fb1fab46d62d971c597bf0814853bc0b162d9,1062,master,passed,1377,2020-02-13 10:32:08 UTC,649886652,649886653,649886654,649886655,649886656,649886657,649886658,649886659,649886660,649886661,pull_request
649804197,25501fda3d02fa9c8b6999128983e170079829fc,1060,master,passed,1375,2020-02-13 05:28:19 UTC,649804198,649804199,649804200,649804201,649804202,649804203,649804204,649804205,649804206,649804207,pull_request
648579262,c4f1976e433a0e5f4a0d612ee45c85f689076ae7,,master,passed,1419,2020-02-10 19:59:13 UTC,648579263,648579264,648579265,648579266,648579267,648579268,648579269,648579270,648579271,648579272,cron
648471991,39ec5a0e780ea33841887814481ee45e47540a75,1059,master,passed,1389,2020-02-10 15:56:43 UTC,648471992,648471993,648471994,648471995,648471996,648471997,648471998,648471999,648472000,648472001,pull_request
648039707,c4f1976e433a0e5f4a0d612ee45c85f689076ae7,,master,passed,1323,2020-02-09 14:42:12 UTC,648039708,648039709,648039711,648039712,648039713,648039714,648039716,648039718,648039720,648039722,push
647798763,d3f82d1556e11d24770c199434c1f6c2fa4e30f0,1058,master,passed,1332,2020-02-08 18:42:28 UTC,647798764,647798765,647798766,647798767,647798768,647798769,647798770,647798771,647798772,647798773,pull_request
645630914,17ef3dd9d98b69acec3e85878995ada9533a9370,,master,passed,1332,2020-02-03 19:58:52 UTC,645630916,645630919,645630921,645630923,645630925,645630926,645630927,645630928,645630929,645630930,cron
644833906,bcb60b42112d2dfac029135e3d4cadb7b5c3406c,1057,master,passed,1304,2020-02-01 18:23:28 UTC,644833907,644833908,644833909,644833910,644833911,644833912,644833913,644833914,644833915,644833916,pull_request
642555749,17ef3dd9d98b69acec3e85878995ada9533a9370,,master,passed,1371,2020-01-27 19:58:10 UTC,642555750,642555751,642555752,642555753,642555755,642555756,642555757,642555759,642555760,642555761,cron
639635001,17ef3dd9d98b69acec3e85878995ada9533a9370,,master,passed,1331,2020-01-20 19:57:19 UTC,639635002,639635003,639635004,639635005,639635006,639635007,639635008,639635009,639635010,639635011,cron
636536268,17ef3dd9d98b69acec3e85878995ada9533a9370,,master,passed,1330,2020-01-13 19:56:37 UTC,636536269,636536270,636536271,636536272,636536273,636536274,636536275,636536276,636536277,636536278,cron
633852595,17ef3dd9d98b69acec3e85878995ada9533a9370,,v1.5.0,passed,1553,2020-01-07 16:41:12 UTC,633852596,633852597,633852598,633852599,633852600,633852601,633852602,633852613,633852614,633852615,push
633851255,17ef3dd9d98b69acec3e85878995ada9533a9370,,master,passed,1431,2020-01-07 16:48:40 UTC,633851256,633851257,633851258,633851259,633851260,633851261,633851262,633851263,633851264,633851265,push
633845362,2898b563649417674caafd1a7ee2acf21d06a3ce,,master,passed,1406,2020-01-07 16:20:11 UTC,633845363,633845364,633845365,633845366,633845367,633845368,633845369,633845370,633845371,633845372,push
633819115,748b53c1ee6d25effe5c031d089749536166d29f,1047,master,passed,1380,2020-01-07 15:43:21 UTC,633819116,633819117,633819118,633819120,633819122,633819123,633819124,633819126,633819127,633819129,pull_request
633819054,89793b4b5c5a9467516c4c9a3885ae3a692c0b80,,changelog,passed,1354,2020-01-07 15:24:24 UTC,633819055,633819056,633819059,633819060,633819064,633819068,633819074,633819080,633819081,633819085,push
633806153,93d09591443a1c2d8d2b18e3822cac8706a10d5b,1054,master,passed,2054,2020-01-07 15:04:04 UTC,633806154,633806155,633806156,633806157,633806158,633806159,633806160,633806161,633806162,633806163,pull_request
633805782,a99210e1429a14ec78ca9c7f8dd80c077a53110b,,readme_collation,passed,1386,2020-01-07 14:57:52 UTC,633805783,633805784,633805785,633805787,633805788,633805789,633805791,633805792,633805794,633805795,push
633805056,f8bba71bc55ec0f9eab288f847be46cb70361f29,,readme_collation,errored,750,2020-01-07 14:55:07 UTC,633805057,633805058,633805059,633805060,633805061,633805062,633805063,633805064,633805065,633805066,push
633732425,6844171c7b652e0a8271a909fc48f6a32492d04f,,master,passed,1357,2020-01-07 11:55:18 UTC,633732426,633732427,633732428,633732429,633732430,633732431,633732432,633732433,633732434,633732435,push
633718571,308fab9c9ae7e07e87356f3b0c5c01fc475e46fd,1052,master,passed,1357,2020-01-07 11:19:24 UTC,633718572,633718573,633718574,633718575,633718576,633718577,633718578,633718579,633718580,633718581,pull_request
633718558,449e060f16a2ad64d2fb9a47864942c03ce1b4f3,,connncheck_optional,passed,1370,2020-01-07 11:15:11 UTC,633718559,633718560,633718561,633718562,633718563,633718564,633718565,633718566,633718567,633718568,push
633688695,944375ab0368ba3ab987e356e3d0024d11836e49,1052,master,passed,1340,2020-01-07 09:57:01 UTC,633688696,633688697,633688698,633688699,633688700,633688701,633688702,633688703,633688704,633688705,pull_request
633688678,fc27b3233f52c88cf394cd0bd7762c2dbee0b320,,connncheck_optional,passed,1358,2020-01-07 09:52:39 UTC,633688681,633688682,633688683,633688684,633688685,633688686,633688687,633688688,633688689,633688690,push
633644766,4bdaef4517f923802be30b39b8c12d97fee32466,,master,passed,1460,2020-01-07 07:34:23 UTC,633644767,633644768,633644769,633644770,633644771,633644772,633644773,633644774,633644775,633644776,push
633526680,e920427148f693da24215bac4456b1c8704b648a,1047,master,passed,1394,2020-01-06 23:41:05 UTC,633526681,633526682,633526683,633526684,633526685,633526686,633526687,633526688,633526689,633526690,pull_request
633526645,a3c4d208ffc80ccc455f0ea9838b23df7253e08b,,changelog,passed,1383,2020-01-06 23:36:51 UTC,633526646,633526647,633526648,633526649,633526650,633526651,633526652,633526653,633526654,633526655,push
633517388,5bf333582ba5275de096218d367d53f287b479cb,1047,master,errored,2966,2020-01-06 23:17:08 UTC,633517389,633517390,633517391,633517392,633517393,633517394,633517395,633517396,633517397,633517398,pull_request
633517363,2c35580c4ace4cbed6978ef5ced6acd1505816d7,,changelog,errored,1275,2020-01-07 07:33:42 UTC,633517368,633517369,633517370,633517371,633517372,633517373,633517374,633517375,633517376,633517377,push
633516893,5e0804c96c50871de9def14e606f8a4c4c3d7265,,changelog,canceled,0,,633516894,633516895,633516896,633516897,633516898,633516899,633516900,633516901,633516902,633516903,push
633515093,87ef98b733dd71bfac62ec57e3b2ec73a25b16e4,1052,master,passed,1370,2020-01-06 23:06:21 UTC,633515094,633515095,633515096,633515097,633515098,633515099,633515100,633515101,633515102,633515103,pull_request
633515073,d23e1eeb62b4905bf82f48b65b5b7ce5b9425120,,connncheck_optional,passed,1456,2020-01-06 23:01:58 UTC,633515074,633515075,633515076,633515077,633515078,633515079,633515080,633515081,633515082,633515083,push
633444806,87239404061139bfbd9a61b167c5ed54539e6086,,master,passed,1359,2020-01-07 16:51:39 UTC,633444807,633444808,633444809,633444810,633444811,633444812,633444813,633444814,633444815,633444816,cron
633401066,6cde7c3d723e03d820c1fd391a392ba9da1eb719,1052,master,passed,1462,2020-01-06 18:10:27 UTC,633401068,633401071,633401072,633401073,633401074,633401075,633401076,633401077,633401078,633401079,pull_request
633400992,75824b8cd2cc4d725716ddbb287a3c5dc1f87394,,connncheck_optional,passed,1377,2020-01-06 18:06:21 UTC,633400993,633400994,633400995,633400996,633400997,633400998,633400999,633401000,633401001,633401002,push
633379598,12f061bdb7ef382ba36ed6d4dd7230a66051dc56,1047,master,passed,1365,2020-01-06 17:28:56 UTC,633379599,633379600,633379601,633379602,633379603,633379604,633379605,633379606,633379607,633379608,pull_request
633379581,113ed9469bfd060d4cd11dadac0c54d30ba37984,,changelog,passed,1388,2020-01-06 17:26:43 UTC,633379583,633379585,633379586,633379587,633379588,633379589,633379590,633379591,633379592,633379593,push
633378493,1c2de4060d6e441141e107394c097e07346db619,1052,master,passed,1354,2020-01-06 17:16:11 UTC,633378494,633378495,633378496,633378497,633378498,633378499,633378500,633378501,633378502,633378503,pull_request
633378475,f7268f223b080f1180e63dd03468eeb5c983bbf2,,connncheck_optional,passed,1396,2020-01-06 17:13:41 UTC,633378477,633378479,633378481,633378482,633378483,633378484,633378485,633378486,633378487,633378488,push
633378140,b882183b533aef314ee4822eda5d63ffd629fec4,1052,master,canceled,0,,633378141,633378142,633378143,633378144,633378145,633378146,633378147,633378148,633378149,633378150,pull_request
633377507,2f61272cc993a7d31c0f66c44f94af774149a579,,connncheck_optional,errored,478,2020-01-06 17:07:47 UTC,633377508,633377509,633377510,633377511,633377512,633377513,633377514,633377515,633377516,633377517,push
633368186,a17063f8167b901640311e1957a2bfe680e83e6a,1047,master,passed,1394,2020-01-06 17:02:28 UTC,633368187,633368188,633368189,633368190,633368191,633368192,633368193,633368194,633368195,633368196,pull_request
633368165,5e0804c96c50871de9def14e606f8a4c4c3d7265,,changelog,passed,1370,2020-01-06 16:56:20 UTC,633368166,633368167,633368168,633368169,633368170,633368171,633368172,633368173,633368174,633368175,push
633366944,52570efb5872cfbad4ca917d165d50d55cad2133,1051,master,passed,1851,2020-01-06 16:45:46 UTC,633366945,633366946,633366947,633366948,633366949,633366950,633366951,633366952,633366953,633366954,pull_request
633366156,3ba699544ccd1f62d219e9fb626a7ca1259ab3bb,,conncheck_platforms,passed,2851,2020-01-06 17:54:14 UTC,633366157,633366158,633366159,633366160,633366161,633366162,633366163,633366164,633366165,633366166,push
633013250,9195c1b922494e27629684c2bba4dfe4ff219f67,1049,master,passed,1601,2020-01-05 19:11:27 UTC,633013251,633013252,633013253,633013254,633013255,633013256,633013257,633013258,633013259,633013260,pull_request
633010780,73d29afbbdb53312204a08734828093173047562,1049,master,failed,1302,2020-01-05 19:00:58 UTC,633010781,633010783,633010784,633010786,633010787,633010789,633010791,633010792,633010793,633010794,pull_request
633009836,24766db86f5c3ecb78d7eacf514fd583f2fbcbc4,1049,master,failed,1330,2020-01-05 18:57:02 UTC,633009837,633009838,633009839,633009840,633009841,633009842,633009843,633009844,633009845,633009846,pull_request
632853127,fa26955bb60ff01ccb1870e2b7002a70096343ec,1049,master,failed,1291,2020-01-05 05:32:57 UTC,632853128,632853129,632853130,632853131,632853132,632853133,632853134,632853135,632853136,632853137,pull_request
632850753,87239404061139bfbd9a61b167c5ed54539e6086,,master,passed,1374,2020-01-05 05:19:14 UTC,632850754,632850755,632850756,632850757,632850758,632850759,632850760,632850761,632850762,632850763,push
632848947,9558dac4dfe54334315f9968b763277f29285f5f,1048,master,passed,1287,2020-01-05 05:06:49 UTC,632848948,632848949,632848950,632848951,632848952,632848953,632848954,632848955,632848956,632848957,pull_request
632840524,adb896e71345aea6f6693d0a1e66e8bbbc3f9100,1048,master,passed,1302,2020-01-05 04:17:16 UTC,632840525,632840526,632840527,632840528,632840529,632840530,632840531,632840532,632840533,632840534,pull_request
632758340,6dd09fdcd1b67e21ae126b161e289e8e4227f266,1047,master,passed,1326,2020-01-04 21:31:18 UTC,632758341,632758342,632758343,632758344,632758345,632758346,632758347,632758348,632758349,632758350,pull_request
632758304,a0933a648258950a6162e114bc6b59ba5d0e0326,,changelog,passed,1269,2020-01-04 21:27:14 UTC,632758305,632758306,632758307,632758308,632758309,632758310,632758311,632758312,632758313,632758314,push
632498980,8edcba7b71794ed2411fc1256fae4a745303de16,1047,master,passed,1325,2020-01-03 23:53:30 UTC,632498981,632498982,632498983,632498984,632498985,632498986,632498987,632498988,632498989,632498990,pull_request
632498312,a3c1b1bb4efb47557bc2302323f3c04fb15afbfa,,changelog,passed,1314,2020-01-03 23:49:31 UTC,632498313,632498314,632498315,632498316,632498317,632498318,632498319,632498320,632498321,632498322,push
632478459,31f52899fa736abe1a38596f4c2f6cb5850abc45,1046,master,passed,1289,2020-01-03 22:48:52 UTC,632478460,632478461,632478462,632478463,632478464,632478465,632478466,632478467,632478468,632478469,pull_request
632478156,90170dbb43a7e04699f42ca5e9968295bdadac58,,formatdsn_err,passed,1370,2020-01-03 22:44:37 UTC,632478157,632478158,632478159,632478160,632478161,632478162,632478164,632478165,632478166,632478167,push
631057031,b66d043e6c8986ca01241b990326db395f9c0afd,,master,passed,1311,2019-12-30 19:56:00 UTC,631057032,631057033,631057034,631057035,631057036,631057037,631057038,631057039,631057040,631057041,cron
630532143,bb5064498375d2743346b45cf48d8ec3635504de,1045,master,passed,1248,2019-12-29 06:32:19 UTC,630532144,630532145,630532146,630532147,630532148,630532149,630532150,630532151,630532152,630532153,pull_request
629611439,842166ecb2fb549f86837aad3e844d539a9dd43c,1045,master,passed,1257,2019-12-26 10:47:43 UTC,629611440,629611441,629611442,629611443,629611444,629611445,629611446,629611447,629611448,629611449,pull_request
628860818,b66d043e6c8986ca01241b990326db395f9c0afd,,master,passed,1313,2019-12-23 19:54:57 UTC,628860819,628860820,628860821,628860822,628860823,628860824,628860825,628860826,628860827,628860828,cron
626038695,06085b1dba9bd6cf1f6bc19a873912c112ecb771,1042,master,passed,1383,2019-12-17 05:58:32 UTC,626038696,626038697,626038698,626038699,626038700,626038701,626038702,626038703,626038704,626038705,pull_request
