build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
758583738,fac95a322332b424dd4df05603d99a26fdd8a163,110,master,passed,43,2021-02-11 20:55:10 UTC,758583739,pull_request
753243487,67e556db165afb7986054886eea427bb42482675,108,master,passed,38,2021-01-06 20:05:09 UTC,753243488,pull_request
753243337,83469135c79162eb4a8a48ec9022ea34684a976c,,add-vscode-debugging,passed,38,2021-01-06 20:03:44 UTC,753243338,push
752045551,77508489ae039c4916f5ba78b46a880d586689d4,,master,passed,39,2020-12-29 23:05:16 UTC,752045552,push
752043233,2599895edf27a1d8db7f81c102be0123aebfcc56,105,master,passed,40,2020-12-29 22:45:43 UTC,752043234,pull_request
752011486,a186678038464218673edf97ef7807e8db520217,105,master,passed,37,2020-12-29 18:26:08 UTC,752011487,pull_request
752005738,874039be9543e8afde5a6258c00b6d58a4dd5046,105,master,passed,37,2020-12-29 17:44:24 UTC,752005739,pull_request
751925980,40f44a0b5343d37c48a983e71b2453b4ea139737,105,master,passed,38,2020-12-29 04:41:32 UTC,751925981,pull_request
751925978,40f44a0b5343d37c48a983e71b2453b4ea139737,105,master,canceled,0,,751925979,pull_request
751925720,bbff939d681a33af4aed6e3cabae68f4737dc644,105,master,passed,38,2020-12-29 04:39:35 UTC,751925721,pull_request
751925669,42e7181764ec87b9333b12fb9ad8ecf89bd252df,105,master,passed,39,2020-12-29 04:38:59 UTC,751925670,pull_request
751681068,cc3008d670925110588ac9eb45bcba9a0bb77de8,105,master,passed,37,2020-12-27 15:13:39 UTC,751681069,pull_request
750274659,e85432426aaa6512c545d302117142b02c73e46b,105,master,passed,37,2020-12-17 19:46:48 UTC,750274660,pull_request
750123363,70a5a138a3b801e0604ed44bb0bf39f5efb08cde,105,master,passed,39,2020-12-17 00:34:12 UTC,750123364,pull_request
750111905,78efe7189ee587d7bbfb49bc81e057fc310a959f,105,master,passed,39,2020-12-16 23:30:52 UTC,750111906,pull_request
750108112,a594b54077600c25f429b193ea3e79ce28175a27,,master,passed,38,2020-12-16 23:09:17 UTC,750108113,push
749693043,cc46c1a99aaff65427c2a3454830871ac5b6a55b,107,master,passed,37,2020-12-14 21:43:31 UTC,749693044,pull_request
749693008,fbb9876ca807bbe28ef5f58756a0b9a5b78476c1,,make-dockerfile-work-again,passed,38,2020-12-14 21:43:19 UTC,749693009,push
748605885,e66ed2b9368bb479cb2215f06d7d894894f3bd30,105,master,passed,39,2020-12-09 19:24:34 UTC,748605886,pull_request
748454624,31c4c968573ce3adf4c2d1cf38cb34928c86ddb5,105,master,passed,38,2020-12-09 01:50:48 UTC,748454625,pull_request
737862508,19a0c645a9625ce7a16856b772bfc2c8c1e7b3c0,104,master,passed,40,2020-10-21 22:46:54 UTC,737862509,pull_request
634425235,7a81fe94f2bbda525d09b1ef1e49ec31e55f3637,,master,passed,38,2020-01-08 20:50:03 UTC,634425236,push
633852658,c70803100c2425954da7eaf6c9b815e324debfb7,103,master,passed,38,2020-01-07 16:38:09 UTC,633852659,pull_request
633852650,8ac7f724a5d1169963b453a1ca4485c4ea88b808,,configurable-session-timeouts,passed,45,2020-01-07 16:38:20 UTC,633852651,push
628796735,51bb36bacf12e6d684fc669992161ba9bf47fe64,103,master,passed,37,2019-12-23 16:51:43 UTC,628796736,pull_request
628796701,4258290f1679373bca38587eb259d7216d3b18d8,,configurable-session-timeouts,passed,38,2019-12-23 16:51:42 UTC,628796702,push
628795196,ab18908c09474c27304f027d1e0979674c01944b,103,master,failed,247,2019-12-23 16:47:24 UTC,628795197,628795198,pull_request
628795189,6aa7ab5083fa4efc22528a19977944bc3457bed2,,configurable-session-timeouts,failed,232,2019-12-23 16:47:22 UTC,628795190,628795191,push
627880696,2fff5eca6dda96f8149ef965760abfd238c93aad,103,master,failed,240,2019-12-20 20:33:21 UTC,627880697,627880698,pull_request
627879555,5c6e2da2150a6116be8f2035c7b15d4942ee1be3,,configurable-session-timeouts,failed,236,2019-12-20 20:29:13 UTC,627879556,627879557,push
546914639,d9309078cc65954b31c817c0c7018f006c540d30,,master,failed,265,2019-06-17 19:23:43 UTC,546914640,546914641,push
546906322,8901fbb2df05a325c50e9ca8f3a85da53784edeb,102,master,failed,250,2019-06-17 19:10:08 UTC,546906323,546906324,pull_request
546906234,ddb81fd9cbd838ff67af91ed019643f7a3fd86e3,,patch-vuln,failed,247,2019-06-17 19:02:59 UTC,546906235,546906236,push
433670881,ed05230a0ecb3a4bafb93eeb36b30d1c7e192fd0,,master,passed,249,2018-09-26 18:21:43 UTC,433670882,433670883,push
433653468,320c48d76c029c93eca2321e5b2c91376bfc3922,,configurable_ssh_attribute,passed,222,2018-09-26 17:47:31 UTC,433653469,433653470,push
433653308,7ae6eea67854edd417629afb059add05bc8b7cba,99,master,passed,219,2018-09-26 17:47:24 UTC,433653309,433653310,pull_request
431165652,3da423f7f88f6edc97dacdf023a49b0fcd2ec3d9,99,master,passed,227,2018-09-20 18:40:42 UTC,431165653,431165654,pull_request
430735286,8de89b9827dbe7eed9ad922cf97a062140f151f0,,configurable_ssh_attribute,passed,239,2018-09-19 20:38:45 UTC,430735287,430735289,push
388018724,f4fb6bc0f6188a6a8b89387baf6ed64b71ade52b,,master,passed,249,2018-06-04 22:15:26 UTC,388018725,388018726,push
388016529,4f1af3be6cf930c15371e2f05a1e82cb06b6a053,98,master,passed,217,2018-06-04 22:10:04 UTC,388016530,388016531,pull_request
388016351,ef4b075bb554c979e2f486938c9c372137194331,,fix-source-ip-check,passed,221,2018-06-04 22:09:22 UTC,388016352,388016353,push
388015334,24c1e78766ed7122eeafc397dbb83fea5acae1e6,,fix-source-ip-check,passed,258,2018-06-04 22:06:29 UTC,388015335,388015336,push
388014679,7c281944a324ebc40d610f367fc8dc6fd5618bcc,,fix-source-ip-check,passed,282,2018-06-04 22:03:53 UTC,388014680,388014681,push
387899728,67878a9859a349cff42d9d4ffa4426da2b40e5b9,,master,passed,238,2018-06-04 17:19:47 UTC,387899729,387899730,push
387193953,975dbb0a50b71453fac8e1709276b91c84c480e9,97,master,passed,257,2018-06-02 19:30:25 UTC,387193954,387193955,pull_request
387193939,5f7fd06ec5f6e12f4cd6cfe8fd0803cec318b554,,holo-95-close-down-network,passed,209,2018-06-02 19:30:22 UTC,387193940,387193941,push
386426826,080df730b46b1ccc1ac08da36c7f571a3dd9c6ef,97,master,passed,236,2018-05-31 23:44:16 UTC,386426827,386426828,pull_request
386426731,c150ab47ebabd74b368d6c86309f904039993a40,,holo-95-close-down-network,passed,222,2018-05-31 23:43:38 UTC,386426732,386426733,push
356499560,a7bab58642b530edb75b9cf6c1d834c85822ceac,,master,passed,246,2018-03-21 18:24:53 UTC,356499561,356499562,api
355589630,a7bab58642b530edb75b9cf6c1d834c85822ceac,,master,passed,240,2018-03-19 21:46:09 UTC,355589631,355589632,push
