build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
331013867,5d4ccafd35c32fbfe589cf466b4e674c430f10fe,,master,passed,917,2018-01-20 14:49:47 UTC,331013868,331013869,push
331013419,b2cc8a290afa937aa949047827ce44d77085ebec,,master,canceled,263,2018-01-19 22:14:50 UTC,331013420,331013421,push
331011500,2b8b3011b10d249a9f5f32d83597a47c045fe21d,,4651-tls-env-and-flags,canceled,573,2018-01-19 22:10:14 UTC,331011501,331011502,push
330640772,b1dd4801904bb9de0269b2fd801eb08ea9358e34,,python3-binaries,failed,1001,2018-01-20 05:44:25 UTC,330640773,330640774,push
330639799,7acdfd8f11d8c603c01bd129e90a5e929c4e207f,,python3-binaries,canceled,223,2018-01-19 02:19:14 UTC,330639800,330639801,push
330638750,3e19695e7194d32125d0ac4c3dcf2641a77ebdb8,,python3-binaries,canceled,1442,2018-01-19 02:12:59 UTC,330638751,330638752,330638753,330638754,push
330636753,362ab8dcf269370668d7a2e24da3cf548ff160bf,,python3-binaries,canceled,501,2018-01-19 02:02:40 UTC,330636754,330636755,push
330635365,cf5f2b80e31bf746f2eb52f199859c6c25e96806,,python3-binaries,canceled,534,2018-01-19 01:57:30 UTC,330635366,330635367,push
330630010,c4164a308eab6cae8146f1c1608c5e3459330436,,python3-binaries,errored,522,2018-01-19 01:30:23 UTC,330630011,330630012,push
330627368,4c1030c6873588c17724d543a2bc3f1a8120bd90,,python3-binaries,errored,530,2018-01-20 09:43:20 UTC,330627370,330627372,push
330556071,a5d8c68d429ae66f57e67938c5e30f8b8dc5c4df,,5578-use_cli_exec,passed,974,2018-01-19 20:36:52 UTC,330556072,330556073,push
330537083,86b0ac0fc24ffc96e859caceeefb48e81bb541e4,,5578-use_cli_exec,canceled,522,,330537084,330537085,push
330183943,b6e68234ae3182aaf057b17eed4792afcd6d3359,,Rozelette-5465-no-image-error,passed,930,2018-01-18 19:48:28 UTC,330183944,330183945,push
330173729,7f30a88bd6c88ef40ba8ef6ff974b5c124e3ac0d,,nginth-4904-label-config-validation,passed,1162,2018-01-19 20:49:58 UTC,330173731,330173733,push
330172512,854905ca8c28eba1d335b17806f3452dc38d2579,,nginth-4904-label-config-validation,errored,590,2018-01-18 08:15:17 UTC,330172513,330172514,push
330157472,aa08cc3b2c36d89f99d63f7e9083712319f52ca6,,Rozelette-5465-no-image-error,errored,618,2018-01-18 15:27:35 UTC,330157473,330157474,push
330149793,ef95db2f2a67f5f8bcb13173e641f441b7491d05,,Rozelette-5465-no-image-error,errored,544,2018-01-18 04:27:54 UTC,330149794,330149795,push
330043769,98044349a43e237b60410330a430c460ad53435a,,master,passed,1121,2018-01-17 20:52:51 UTC,330043772,330043773,push
330041440,2521a63a8efa5722d1dba9c6e43c9ddd5568a8fc,,5578-use_cli_exec,passed,999,2018-01-17 19:56:02 UTC,330041441,330041442,push
330028420,c8a97e786cf4270a56d17a030ba4b2d39a9a8f25,,5578-use_cli_exec,errored,227,2018-01-17 20:02:06 UTC,330028421,330028422,push
329721737,066e97ef659f51711e4fcccf89e450a6bcb01a5a,,5578-use_cli_exec,canceled,578,2018-01-17 04:59:26 UTC,329721738,329721739,push
329667474,250eed61a3c9061af8524d05f0ee560b884ab429,,master,errored,530,2018-01-17 19:09:34 UTC,329667475,329667476,push
329667062,045122c6f806dffccece26efd4cdd0dda465172c,,master,errored,0,,329667063,329667064,push
328311944,7f227446586e0042a1b305cf6d6e89cea20f041e,,master,passed,1295,2018-01-12 22:40:57 UTC,328311945,328311946,push
328297424,a7ca2d8c5f59e756df04ac0b9e87359feb0be011,,master,passed,1018,2018-01-12 21:58:56 UTC,328297425,328297426,push
327959282,d63500a19155580f64f53fcaa4e16c92de07afa1,,mhank-5042-network-priorities,passed,938,2018-01-12 02:51:39 UTC,327959283,327959284,push
327884617,9aa97588193a8c8ffae2a3005120e0d2dcf81fd9,,master,passed,1061,2018-01-11 21:57:46 UTC,327884618,327884619,push
327854614,b2d4d9f2bccf42b9c48ce8ae019f8798df2a0b1f,,master,passed,1022,2018-01-11 20:39:17 UTC,327854615,327854617,push
327854319,e174c3fd1c10222183afc5822e47aeca4e1c466c,,5310-revert-5435,passed,1045,2018-01-11 20:39:11 UTC,327854323,327854326,push
327850383,1b5d5d3f20d60b8dbd1a748050d695b5b5ca792d,,5310-revert-5435,errored,560,2018-01-11 20:28:50 UTC,327850385,327850388,push
327492669,2fbec60c9c94e7f20c221a5f0ceaf49dbe612c3f,,5371-force-windows-volume-parsing,passed,1021,2018-01-11 03:33:58 UTC,327492670,327492671,push
327492070,ac34a8302b4a9c4f384360d8728a4c34274a64fe,,master,passed,1069,2018-01-11 02:51:50 UTC,327492072,327492075,push
327491468,dfba255e52d97c21183b7eefc91c914341a79c21,,5036-remove-roadmap,failed,908,2018-01-11 02:59:14 UTC,327491469,327491470,push
327487856,495ed4592e35e5ad30256d610ee4ef6a0a5d421e,,5371-force-windows-volume-parsing,errored,549,2018-01-11 02:23:23 UTC,327487857,327487858,push
327402007,61c3cd5453a7c69d3114ac807c594b8bc9012de2,,master,passed,1117,2018-01-10 20:48:18 UTC,327402008,327402009,push
327394391,397aa20dfcc7de7e140f82e0dc178dce9dcfe6f0,,5554-tmpfs-mount-3.2,passed,1155,2018-01-11 00:03:17 UTC,327394393,327394396,push
327060085,c4fda0834d0fd70d9a9f4334ce94b8d88f8eb03c,,master,passed,1027,2018-01-10 01:03:00 UTC,327060086,327060087,push
326563945,1b39817172a9b3cf39ccfbb3bb560520642c6972,,master,passed,1153,2018-01-08 21:43:42 UTC,326563946,326563947,push
325672777,e400c05de09bc1a1cdb287a83ac56a05d77ab044,,5505-required-variables,passed,1345,2018-01-06 00:46:59 UTC,325672778,325672780,push
325667210,65004e9b11c9cb9b6f337727dfc32fbc800a1296,,master,passed,1000,2018-01-06 00:19:56 UTC,325667211,325667212,push
325660105,c63ad67e9c20ae09ceaea95f0d552973450efcb7,,nginth-3397-depends-on-restart,passed,1083,2018-01-05 23:51:17 UTC,325660107,325660109,push
325654752,353ebe933737ca43b2cd70ac78c6f2c8765d3ec8,,master,passed,1033,2018-01-05 23:30:01 UTC,325654754,325654756,push
325240763,c3b1bce42e78c0eb41f57883b21cd5194555bbb9,,master,passed,1080,2018-01-04 23:01:30 UTC,325240765,325240766,push
325234373,b13ec16e119e8a3e0f3d3d6ed6b8ca230dfa6719,,update_test_asserts,passed,1078,2018-01-04 22:39:15 UTC,325234374,325234375,push
325216580,4f236bf2539584009718b75e49bc984dc2595630,,update_test_asserts,passed,1053,2018-01-04 21:46:45 UTC,325216581,325216582,push
325203325,aa19474086e3a9b33067e6c63f0fee17fa83225a,,update_test_asserts,errored,536,2018-01-04 21:09:14 UTC,325203326,325203327,push
325202103,b97b76d24f7b94a9ee0a62ec18ea8fda5cdcc4ed,,master,passed,1211,2018-01-04 21:05:00 UTC,325202104,325202105,push
325201528,931741be83c0528f7b8e107e484e920b92308662,,update_test_asserts,errored,600,2018-01-04 21:56:31 UTC,325201529,325201530,push
325196298,ddbc9e30b0608ebdacb333f56f2519a4e26d4db6,,master,passed,1006,2018-01-04 20:47:14 UTC,325196299,325196300,push
325187034,8d3c7d4bce9ddab14065e09f8660cb2f997f5aaa,,Rozelette-branch_limit_test,passed,1089,2018-01-04 20:18:07 UTC,325187035,325187036,push
324875669,44636e63262d3b2ddafa789239ba0a45abb88dc2,,5505-required-variables,passed,1017,2018-01-04 02:32:25 UTC,324875670,324875671,push
324842602,bcc13d7fae223c49322bb1218e62c9bcecc2f35d,,master,passed,1144,2018-01-04 00:03:07 UTC,324842604,324842606,push
324777769,2d064614acd63f93eb8253a215aae21e8f01ceee,,5527-convert-errors,passed,1005,2018-01-03 22:03:33 UTC,324777770,324777771,push
318950442,ec95c38fa985a91f74b9234dcfdfe65877da6459,,master,passed,1053,2017-12-20 01:46:49 UTC,318950443,318950444,push
318928946,ebf1a658a6f48fd96849ed518609a6dd379350d8,,bump_docker_py,passed,1018,2017-12-20 00:38:47 UTC,318928947,318928948,push
318367748,4a4ee35ca001b529a13ebd2db2454d57770b3d35,,master,passed,1046,2017-12-19 00:09:51 UTC,318367749,318367750,push
318360724,cae6bf955750e6ef80f4c9e3b5f5b1df7aa1b964,,release,passed,1086,2017-12-18 23:51:25 UTC,318360725,318360726,push
318338713,8dd22a962a4295ada9c8a45a5c58d02f8f66333f,,1.18.0,passed,1091,2017-12-18 22:59:42 UTC,318338714,318338715,push
318298238,9191bf381334bfc4cd9bea8f84caff63b50d3cff,,master,passed,1138,2017-12-18 21:29:17 UTC,318298239,318298240,push
318294893,8dd22a962a4295ada9c8a45a5c58d02f8f66333f,,bump-1.18.0,passed,1143,2017-12-18 21:21:43 UTC,318294896,318294897,push
318276862,002505084710d96bc7c16a7c984ed02e10e475c8,,5489-convert-mounts,passed,1185,2017-12-18 20:39:56 UTC,318276863,318276864,push
316120638,497d597a544a6738ad09d553ce018797aac570e9,,bump-1.18.0,passed,1367,2017-12-13 22:00:37 UTC,316120639,316120640,push
316111967,28443e452feda12b54fd32516ab2fa482277a19a,,bump-1.18.0,errored,519,2017-12-13 21:42:53 UTC,316111968,316111969,push
315643311,9355d35c6bbdfce7e35260bad091f97bb0ae0c0a,,master,passed,948,2017-12-13 00:21:08 UTC,315643312,315643313,push
315626167,c8ba50ff1ee5a4c0019096512bda9aaaf6e53f06,,5414-tagless-images,passed,1346,2017-12-12 23:27:10 UTC,315626168,315626169,push
315610161,9f0f411ee02fb2f5381c20f044d9266e0a83f930,,5414-tagless-images,errored,492,2017-12-12 22:46:21 UTC,315610162,315610163,push
314991487,e8d4616723dce3946bb323314547d51f8c84d298,,master,failed,838,2017-12-11 20:31:21 UTC,314991490,314991491,push
314947200,c2a5dd4c89312aea63195f4f8620346de83d4e4b,,5462-stop_grace_period,passed,1020,2017-12-11 19:04:57 UTC,314947202,314947204,push
313758843,01cd2688bb9fcc891ade798974a33acc9cae3825,,release,passed,1025,2017-12-09 00:55:18 UTC,313758844,313758845,push
313758100,189468b07f295c8df8997e770701be31159ef54e,,1.18.0-rc2,passed,991,2017-12-09 00:11:35 UTC,313758101,313758102,push
313730045,0c5e82955ebb5f45cfc393b674879be384709b5d,,master,passed,1130,2017-12-08 22:55:33 UTC,313730046,313730047,push
313719974,189468b07f295c8df8997e770701be31159ef54e,,bump-1.18.0-rc2,passed,1121,2017-12-08 23:20:54 UTC,313719975,313719976,push
313714834,d0644bdff8ca78e73dee17279ce0eccd12fe41a6,,5443-handle-unicode-in-winerror,passed,1100,2017-12-08 22:18:18 UTC,313714838,313714839,push
313267335,a28610022b343192869d58e656244b52afc0e761,,master,passed,1063,2017-12-08 01:21:17 UTC,313267336,313267337,push
313237525,d60f94b1bf4d508c5b3de5dcda53dab1c930a28d,,5442-find_executable_utf_err,passed,1043,2017-12-07 23:48:20 UTC,313237526,313237527,push
313228429,e0eaf4bca437fe8d5bddcd5e86f0f1f407eb6b00,,master,passed,1221,2017-12-07 23:22:18 UTC,313228430,313228431,push
313200844,5c0a06475ccbce0aa8a36a5287b9401625255107,,5450-bind-relative-paths,passed,1198,2017-12-07 22:13:03 UTC,313200846,313200848,push
313159589,f0c7d777e9e19cdb45716ee698afe24069a7fd9f,,5450-bind-relative-paths,errored,575,2017-12-07 20:46:01 UTC,313159590,313159592,push
313140503,38ae7ae037fc0d626cf847c6781ebba67de9cfff,,master,passed,1262,2017-12-07 20:05:45 UTC,313140504,313140505,push
313127852,b2c52178baa200ac7ac14bb5dd5961ac141e8a08,,master,passed,1094,2017-12-07 19:37:48 UTC,313127853,313127854,push
312752656,8fc6ac1899ffd6d88cb08403192936a5a9e1aaf4,,release,passed,1005,2017-12-07 02:51:12 UTC,312752657,312752658,push
312752168,e96dfbac2a7982b8703abd3774ab661516096931,,1.18.0-rc1,passed,984,2017-12-07 02:49:10 UTC,312752169,312752170,push
312736178,e96dfbac2a7982b8703abd3774ab661516096931,,bump-1.18.0-rc1,passed,925,2017-12-07 01:41:57 UTC,312736179,312736180,push
312734723,621e27583f0cba4dd1ed1f1ad2d46f9aecb848ac,,bump-1.18.0-rc1,errored,530,2017-12-07 02:19:51 UTC,312734724,312734725,push
312731408,ea3c2a801b9a3759aab29dc1de5170129380a614,,bump-1.18.0-rc1,errored,533,2017-12-07 01:26:41 UTC,312731409,312731410,push
312730777,2a1089a524cba42a5592a0c8f29d3b5f9b5bffd3,,master,passed,995,2017-12-07 01:24:28 UTC,312730778,312730779,push
312719593,8155ddc7add99edd1c9a366f44c65ba4d62589a3,,custom_resource_names,passed,992,2017-12-07 01:24:37 UTC,312719595,312719596,push
312194841,86f30bf8cfb462055f8adbe330213652b5e26f17,,bump-1.18.0-rc1,passed,958,2017-12-06 02:29:33 UTC,312194842,312194843,push
312192404,d61eed37d1ad05ba8c9d01e6ba670ee4832495be,,bump-1.18.0-rc1,errored,587,2017-12-06 02:20:20 UTC,312192405,312192406,push
312174001,771bf5f7ea059f1efede26bd9b164e05467d289e,,master,passed,893,2017-12-06 01:17:16 UTC,312174002,312174003,push
312155956,79b20eb53f3c580b5202000708e9c39fae8f2c92,,5244-advanced-mount-support,passed,1000,2017-12-06 00:22:45 UTC,312155957,312155958,push
312145193,598cd7f3a4b01016c8e33ae73dd2d19365d747b5,,5244-advanced-mount-support,passed,917,2017-12-05 23:51:55 UTC,312145194,312145195,push
312137075,7586711745fdfca4763221fcff3d5b5375c5fe97,,5244-advanced-mount-support,errored,543,2017-12-05 23:31:24 UTC,312137078,312137082,push
312090758,41bbb79a6b617a3cc819250ec4f9daebbdc8cdef,,5244-advanced-mount-support,passed,1068,2017-12-05 21:40:23 UTC,312090759,312090760,push
312072104,52af788c16f2e8df7e336d9ce0324a29b493f867,,5244-advanced-mount-support,errored,699,2017-12-05 20:58:13 UTC,312072105,312072106,push
312061278,eabccda9d1602950847785d9fbedf815af5ccce0,,master,passed,991,2017-12-05 20:33:35 UTC,312061279,312061280,push
312060365,91bb682bdf90ad05074f5ca5c5171b9a00eaaac2,,master,passed,1035,2017-12-05 20:31:32 UTC,312060366,312060367,push
311721984,3797e8a99f9185dd80bcf70455cb63a2b78ffbf6,,5244-advanced-mount-support,passed,933,2017-12-05 07:35:32 UTC,311721985,311721986,push
311716015,338025f12d5d29d379dc34a8e2fbdcb3650395e7,,5244-advanced-mount-support,passed,882,2017-12-05 07:15:29 UTC,311716019,311716020,push
311714794,3a33e6fe0f6587cdcca183f327e64ac815acf0bd,,5244-advanced-mount-support,failed,1003,2017-12-05 07:10:55 UTC,311714795,311714796,push
311709223,f58550396cd51ea359124befd601648bd58ea840,,5244-advanced-mount-support,failed,904,2017-12-05 06:50:17 UTC,311709224,311709225,push
311583656,6cd0bc48836cd06983c255aaad6be047ce4a0394,,master,passed,876,2017-12-04 23:18:58 UTC,311583657,311583658,push
311557234,ceec0595bd093b26769c1823b19477086b3f956b,,5230-allow-port-publish-ranges,passed,1115,2017-12-04 22:16:32 UTC,311557236,311557237,push
311556101,3c232e42c166f453f1fef7a249fd689c9a5ce776,,master,passed,945,2017-12-04 22:13:47 UTC,311556106,311556110,push
310338641,3fddd22327c6d21501f486edd89a5956aa0627b7,,5230-allow-port-publish-ranges,errored,587,2017-12-02 03:37:01 UTC,310338642,310338643,push
