build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
753856867,0eada98182c7e4754927d5eefdd5e1ae72a9062d,,skel,passed,7998,2021-01-10 23:48:04 UTC,753856868,753856869,753856870,753856871,753856872,753856873,753856874,753856875,753856876,753856877,753856878,753856879,753856880,753856881,753856882,753856883,753856884,753856885,753856886,753856887,753856888,753856889,753856890,753856891,753856892,753856893,753856894,753856895,753856896,753856897,753856898,753856899,753856900,753856901,753856902,753856903,push
753833092,6592810f4181091fbd284e013b5ed91c08e3a479,,master,passed,8198,2021-01-10 21:10:40 UTC,753833093,753833094,753833095,753833096,753833097,753833098,753833099,753833100,753833101,753833102,753833103,753833104,753833105,753833106,753833107,753833108,753833109,753833110,753833111,753833112,753833113,753833114,753833115,753833116,753833117,753833118,753833119,753833120,753833121,753833122,753833123,753833124,753833125,753833126,753833127,753833128,push
753832661,7b9feca62967b44309d2413c1afbe4a26e0f5fad,,master,passed,7856,2021-01-10 20:01:05 UTC,753832662,753832663,753832664,753832665,753832666,753832667,753832668,753832669,753832670,753832671,753832672,753832673,753832674,753832675,753832676,753832677,753832678,753832679,753832680,753832681,753832682,753832683,753832684,753832685,753832686,753832687,753832688,753832689,753832690,753832691,753832692,753832693,753832694,753832695,753832696,753832697,push
753832602,151bbe35ca9fc2de3ca48a24668c2569cb8c56e5,,master,passed,7957,2021-01-10 20:00:14 UTC,753832603,753832604,753832605,753832606,753832607,753832608,753832609,753832610,753832611,753832612,753832613,753832614,753832615,753832616,753832617,753832618,753832619,753832620,753832621,753832622,753832623,753832624,753832625,753832626,753832627,753832628,753832629,753832630,753832631,753832632,753832633,753832634,753832635,753832636,753832637,753832638,push
753020488,d5d55783fdb7c5adc1d6eb4f6b86cf73da437dd6,450,master,failed,84,2021-01-05 16:39:06 UTC,753020489,753020490,753020491,753020492,753020493,753020494,753020495,753020496,753020497,753020498,753020499,753020500,753020501,753020502,753020503,753020504,753020505,753020507,753020508,753020509,753020511,753020512,753020513,753020515,753020517,753020519,753020522,753020524,753020526,753020528,753020530,753020531,753020533,753020534,753020535,753020536,pull_request
741397037,9887c9f57e9ee66dfddaacac73fbd85c713886b6,,master,passed,7709,2020-11-04 14:49:28 UTC,741397038,741397039,741397040,741397041,741397042,741397043,741397044,741397045,741397046,741397047,741397048,741397049,741397050,741397051,741397052,741397053,741397054,741397055,741397056,741397057,741397058,741397059,741397060,741397061,741397062,741397063,741397064,741397065,741397066,741397067,741397068,741397069,741397070,741397071,741397072,741397073,push
741342171,c1abe69b0cc165a7aa0236a5c28f277d3276b1fb,443,master,passed,7697,2020-11-04 09:26:01 UTC,741342172,741342173,741342174,741342175,741342176,741342177,741342178,741342179,741342180,741342181,741342182,741342183,741342184,741342185,741342186,741342187,741342188,741342189,741342190,741342191,741342192,741342193,741342194,741342195,741342196,741342197,741342198,741342199,741342200,741342201,741342202,741342203,741342204,741342205,741342206,741342207,pull_request
741341713,18bb9f7f09f67ae8c4a10c90d9940da0f51b0343,443,master,canceled,0,,741341714,741341715,741341716,741341717,741341718,741341719,741341720,741341721,741341722,741341723,741341724,741341725,741341726,741341727,741341728,741341729,741341730,741341731,741341732,741341733,741341734,741341735,741341736,741341737,741341738,741341739,741341740,741341741,741341742,741341743,741341744,741341745,741341746,741341747,741341748,741341749,pull_request
732224090,df3854ac8fbdaaaf9acd0fea0c97d730674b5ee3,438,master,passed,7852,2020-10-02 11:34:02 UTC,732224091,732224092,732224093,732224094,732224095,732224096,732224097,732224098,732224099,732224100,732224101,732224102,732224103,732224104,732224105,732224106,732224107,732224108,732224109,732224110,732224111,732224112,732224113,732224114,732224115,732224116,732224117,732224118,732224119,732224120,732224121,732224122,732224123,732224124,732224125,732224126,pull_request
729530264,cbc9bebbfaf084dc6d28683cb82d965fbe59e044,435,master,passed,7958,2020-09-23 06:26:23 UTC,729530265,729530266,729530267,729530268,729530269,729530270,729530271,729530272,729530273,729530274,729530275,729530276,729530277,729530278,729530279,729530280,729530281,729530282,729530283,729530284,729530285,729530286,729530287,729530288,729530289,729530290,729530291,729530292,729530293,729530294,729530295,729530296,729530297,729530298,729530299,729530300,pull_request
