build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
704888872,01706cd875ae526ec9a928db60c20c7d7723c533,108,master,passed,182,2020-07-04 10:49:25 UTC,704888873,704888874,704888875,704888876,704888877,pull_request
702983485,84e60a525e6f0788e88e090a11c5eb3b0e51a185,,master,passed,185,2020-06-28 22:44:32 UTC,702983486,702983487,702983488,702983489,702983490,push
702971609,2677fb5a6261c8af5a1781695433422d41b685c3,107,master,passed,193,2020-06-28 21:30:43 UTC,702971610,702971611,702971612,702971613,702971614,pull_request
702915787,3db95775ed154c191db74b8f4ea32fe72b8327c1,107,master,passed,188,2020-06-28 16:29:27 UTC,702915788,702915789,702915790,702915791,702915792,pull_request
657918027,f189ad26e898171c17c96df9898d581d026d9c6d,,master,passed,195,2020-03-03 20:08:46 UTC,657918029,657918030,657918031,657918032,657918033,push
657915060,60a407d273590a23aee301ac21574421de29b2d7,105,master,passed,193,2020-03-03 20:01:03 UTC,657915063,657915065,657915067,657915071,657915073,pull_request
657848050,1f80a613f9003f65358f3d7f5a9287f59fa4b94e,105,master,passed,188,2020-03-03 17:07:01 UTC,657848051,657848052,657848053,657848054,657848055,pull_request
657528694,bed01b2bee76485648193df5a6f8a2fb3765ae1e,105,master,passed,194,2020-03-02 23:19:38 UTC,657528695,657528696,657528697,657528698,657528699,pull_request
650696852,177203116c608149259e88730d5e271c723a81ee,,master,passed,189,2020-02-15 01:40:51 UTC,650696853,650696854,650696855,650696856,650696857,push
650435629,e8e773ee75a1e42a6259ec60bb5b4e24d88df104,104,master,passed,201,2020-02-14 13:21:43 UTC,650435630,650435631,650435632,650435633,650435634,pull_request
644904265,f8ef1a3c0a51a7691eb2b2a1bdd06335a03ff26f,,master,passed,186,2020-02-01 22:56:17 UTC,644904266,644904267,644904268,644904269,644904270,push
644903975,05526c1a6ac08d97e9a973c22a325f97dbebbe34,,master,passed,183,2020-02-01 22:54:51 UTC,644903976,644903977,644903978,644903979,644903980,push
644903749,c143011b1266bc1cf0c132c67ca26ee0906a68e9,,master,errored,189,2020-02-01 22:53:47 UTC,644903750,644903751,644903752,644903753,644903754,644903755,push
644902374,b76fac044decd5a7509e80f0a0cdb9c196e6dc37,103,master,passed,188,2020-02-01 22:47:32 UTC,644902375,644902376,644902377,644902378,644902379,pull_request
644899618,fd1948ee69670d85f7787143df59df8a60f94b59,102,master,errored,187,2020-02-01 22:39:50 UTC,644899619,644899620,644899621,644899622,644899623,644899624,pull_request
633533461,39ffe21ea75567eec6cef8ef26f0689ec3aa3bfd,,master,errored,188,2020-01-06 23:58:10 UTC,633533462,633533463,633533464,633533465,633533466,633533467,push
630446466,65f09fa04f501de0d12ab7a4dc3a7daaede29f08,101,master,errored,181,2019-12-28 21:58:11 UTC,630446467,630446468,630446469,630446470,630446471,630446472,pull_request
630238700,81105053cca16979570f608521158d4d70d1ba46,,master,errored,181,2019-12-28 06:25:13 UTC,630238701,630238702,630238703,630238704,630238705,630238706,push
630121081,9e6354423dd92307538c7b76fe6c78080e57dbd2,100,master,errored,187,2019-12-27 20:56:48 UTC,630121082,630121083,630121084,630121085,630121086,630121087,pull_request
608744637,6678f0b579d278012f68b219f3045ebac7e4f4a7,98,master,failed,225,2019-11-07 13:59:39 UTC,608744640,608744641,608744642,608744643,608744644,608744645,pull_request
608730273,d2c1ecc40b86a4b5f0b03c0fac2524d93e6aa179,97,master,failed,220,2019-11-07 13:24:52 UTC,608730274,608730275,608730276,608730277,608730278,608730279,pull_request
582677676,953b5cd37dd8cdb398198fe14b721a897bbaf686,97,master,failed,187,2019-09-09 13:08:57 UTC,582677677,582677678,582677679,582677680,582677681,582677682,pull_request
580976212,5fb95df0f380773b8c079e920bd46b24e3cf5e44,,master,failed,199,2019-09-05 00:27:33 UTC,580976213,580976214,580976215,580976216,580976217,580976218,push
