build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
743290936,85fa52ca23c3b81320f9e1ef15c8c6820f79f665,,master,passed,720,2020-11-12 23:43:43 UTC,743290937,743290938,743290939,743290940,743290941,743290942,push
742831756,49b1a801fa94c57bea5e5955293f3d334ddca2c5,,master,passed,1317,2020-11-11 00:48:02 UTC,742831757,742831758,742831759,742831760,742831761,742831762,push
742829498,1dcd05d35455375862fdd2ecdd5e1b1aed8fb40d,,master,canceled,0,,742829499,742829500,742829501,742829502,742829503,742829504,push
742828363,5fac4dfdfe521534900d355e565aec568467bfde,,master,canceled,0,,742828364,742828365,742828366,742828367,742828368,742828369,push
740361627,aec715bc3707b037ab5890eb4ee65f796bc3eeed,,master,passed,719,2020-10-31 04:57:33 UTC,740361628,740361629,740361630,740361631,740361632,740361633,push
740356904,31cd38a07810f12f9b7bb2ed2c6c43902bf39d3a,,master,failed,714,2020-10-31 04:08:18 UTC,740356905,740356906,740356907,740356908,740356909,740356910,push
736706549,d2b903a6f274df7e19d33ef80a719b9366c323c4,,master,passed,720,2020-10-17 21:50:44 UTC,736706550,736706551,736706552,736706553,736706554,736706555,push
736559381,44f0c26f32ae3041897538a2501efeaf05beead1,,master,passed,725,2020-10-17 03:52:05 UTC,736559382,736559383,736559384,736559385,736559386,736559387,push
736552454,fb995f9cbde20a8e9117a1ce2cf41941be1f91a3,,master,passed,761,2020-10-17 02:44:00 UTC,736552455,736552456,736552457,736552458,736552459,736552460,push
736289358,6976becd879c6718aec14c25027b443334975e50,,master,passed,754,2020-10-16 07:57:16 UTC,736289359,736289360,736289361,736289362,736289363,736289364,push
736286827,7a5475fb7ae2f438939dc6e2b0809d550f842415,,master,passed,727,2020-10-16 07:42:41 UTC,736286828,736286829,736286830,736286831,736286832,736286833,push
735959411,4c5b0dc4b22f9e91640218f0d25d12d704fb87ba,,master,passed,711,2020-10-15 07:24:31 UTC,735959412,735959413,735959414,735959415,735959416,735959417,push
735959241,d04292944b500aef5de0d82e030e8a490fb34bc8,,master,canceled,0,,735959242,735959243,735959244,735959245,735959246,735959247,push
735958708,049a9ad888623cc32e6b9418ce46d306c2427eea,,master,passed,733,2020-10-15 07:21:23 UTC,735958709,735958710,735958711,735958712,735958713,735958714,push
733248446,5e54639b2ef77a79e49eefa16321d7f7e3148aa1,,master,passed,740,2020-10-06 09:42:05 UTC,733248447,733248448,733248449,733248450,733248451,733248452,push
733243747,7f6242ee195b89bb5174a53d8d3e77ff367d20c0,74,master,passed,714,2020-10-06 09:20:50 UTC,733243748,733243749,733243750,733243751,733243752,733243753,pull_request
731747659,2d5b2e95d186c5b74d897c92376022cd6ec46a44,73,master,passed,775,2020-09-30 21:57:20 UTC,731747660,731747661,731747662,731747663,731747664,731747665,pull_request
731142347,b2b2a652b677cb3280c84b01f25832d3964b22b8,,master,passed,708,2020-09-29 01:28:10 UTC,731142348,731142349,731142350,731142351,731142352,731142353,push
