build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
206455511,1ea4a986a19c72f55be645a34b1ba7b42d108913,,master,passed,232,2017-03-01 02:30:16 UTC,206455512,206455513,206455514,206455515,push
206454755,5fd770ac06a376fa8172e679bf44f0c3ac2f0daf,591,master,errored,120,2017-03-01 02:23:18 UTC,206454756,206454758,206454760,206454762,pull_request
206454743,67af2c84b30e2b79f07f5a9e7eab2fd67570dfcb,,expand-config,errored,118,2017-03-01 02:10:18 UTC,206454744,206454745,206454746,206454747,push
206454642,1ad3444b8368c6559239d0e3cf406bac44d21ef2,,master,passed,263,2017-03-01 02:05:34 UTC,206454643,206454644,206454648,206454650,push
206300488,2e17ce804ada8c16e90b55a10a54ef6c300be11e,591,master,canceled,187,2017-03-01 01:46:15 UTC,206300490,206300492,206300493,206300495,pull_request
206299727,ae000c5abc0807a9dc5582ef48e77a3e3d4d5099,,expand-config,passed,232,2017-02-28 21:11:23 UTC,206299728,206299729,206299730,206299731,push
206299664,dbc897255bce48483e116af7c49438496eec49ed,,master,passed,600,2017-02-28 21:13:48 UTC,206299665,206299666,206299667,206299668,push
206299170,7b2524863527706366ee06d59c4bbf61f33a75d8,589,master,errored,107,2017-02-28 20:14:40 UTC,206299171,206299172,206299173,206299174,pull_request
206161910,28d7939f2b7ef159020ce7183ac88616f225a53b,,master,passed,209,2017-02-28 12:35:25 UTC,206161911,206161912,206161913,206161914,push
206098898,e623fbd3256dc32699c6d31c1bff86351bf4d589,590,master,passed,203,2017-02-28 08:38:07 UTC,206098899,206098900,206098901,206098906,pull_request
206061702,44be41e9d5d844addbebcaafdc80ac5c919640e0,589,master,passed,266,2017-02-28 04:58:36 UTC,206061703,206061704,206061705,206061706,pull_request
204428046,f7aaea821548ee11edc0424b3e87c4f1b97c065a,,pr-and-issue-template,passed,191,2017-02-23 00:39:56 UTC,204428047,204428048,204428049,204428050,push
204427711,06e22e24ec75cbadf8946ee60d264ddfdc4b7795,,master,passed,217,2017-02-23 00:38:47 UTC,204427712,204427713,204427714,204427715,push
204427259,7251596fd2b7e165811ec4dc57edc741992076a6,586,master,passed,189,2017-02-23 00:36:57 UTC,204427260,204427261,204427262,204427263,pull_request
204427237,023183e4dcbc7ff1770ae3fb2f58a399f4ed82ea,,pr-and-issue-template,passed,197,2017-02-23 00:36:54 UTC,204427238,204427239,204427240,204427241,push
