build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
318732184,134878b230cbf835bd013b7fe927f320298fc3b3,,fossabot-master,passed,248,2017-12-19 17:04:57 UTC,318732185,318732186,318732187,318732188,push
318717500,ad52c8be71e0b86c914eb3a8344debf4131fc441,27,master,canceled,2410,2017-12-19 16:36:26 UTC,318717501,318717502,318717503,318717504,pull_request
316456452,f6a1129d73090d7ce609b9ac91c2d62a0b716407,,master,passed,348,2017-12-14 14:46:58 UTC,316456453,316456454,316456455,316456456,push
316412455,d68491cc2c382d841da21e1463ca84af2eb65f3c,,master,passed,374,2017-12-14 13:11:39 UTC,316412456,316412457,316412458,316412459,push
315976786,cbbbd152ecc547e2554a8fe83e248fabf1adaaf9,,master,passed,319,2017-12-13 16:36:43 UTC,315976787,315976788,315976789,315976790,push
312979889,835e7a8e70700581402936a87e63db89b0c17a87,,master,passed,347,2017-12-07 14:18:17 UTC,312979890,312979891,312979892,312979893,push
311377321,38ec7be609a25394c93816839bd8fa3fae8f74d5,,master,passed,349,2017-12-04 15:50:50 UTC,311377322,311377323,311377324,311377325,push
311350470,f9aa190f0bc14c39c34ff5aad55375168c7d1afd,,master,passed,356,2017-12-04 14:59:06 UTC,311350471,311350472,311350473,311350474,push
311291813,b34000599cea8bbd954044b582c10de1abafb06b,,master,passed,350,2017-12-04 12:58:12 UTC,311291814,311291815,311291816,311291817,push
310269733,a78a73f5a3f6ad408f75b1ac310e899cc0fdaa01,,master,passed,332,2017-12-01 22:14:20 UTC,310269734,310269735,310269736,310269737,push
310247686,7a26218092c5c7f32b376bc12166a72e3432d199,,master,passed,422,2017-12-01 21:26:48 UTC,310247687,310247688,310247693,310247694,push
310243294,094ef58e24c918bc87faf320c204ba384c925769,,master,passed,469,2017-12-01 21:12:28 UTC,310243295,310243296,310243298,310243299,push
310240491,f8faf2cb0e1d2b96d8edb27444236d5cd6ff50bc,,master,passed,273,2017-12-01 21:00:28 UTC,310240492,310240493,310240494,310240495,push
310225042,def6b14cea13f39f7260ef2a22e804809f581d75,,master,failed,252,2017-12-01 20:19:30 UTC,310225043,310225044,310225045,310225046,push
305916745,f2d3f19b8a8e676443f5a88ed199f1889e94e9dd,,master,passed,350,2017-11-22 17:14:27 UTC,305916746,305916748,305916750,305916751,push
305909719,179c41c52b1968d19b65d47938e63d1a2f32a4c3,,master,passed,221,2017-11-22 17:01:39 UTC,305909720,305909721,305909723,305909725,push
272456893,b5d628865c324857bca9e24fa1843134fe5650bc,,master,passed,346,2017-09-06 12:17:31 UTC,272456894,272456895,272456896,272456897,push
272412686,9173a32c8ec210479b08d4203629e1727b0bb186,23,master,failed,305,2017-09-06 09:46:06 UTC,272412687,272412689,272412691,272412692,pull_request
272391527,cb15a7a94df0a8762a790ce124d8ea56de6ddc43,22,master,passed,350,2017-09-06 08:41:45 UTC,272391528,272391529,272391530,272391531,pull_request
272033910,a328ff72136bc63cf1a180e771f9fa590f5142cc,,master,passed,323,2017-09-05 12:25:33 UTC,272033911,272033912,272033913,272033914,push
272029766,3f28c6a31f78a6bf6758b04e28988de1988f2001,,master,failed,359,2017-09-05 12:12:02 UTC,272029767,272029768,272029769,272029770,push
271937763,cb823d1d672b0dbb554f496467aa65b88e0ef089,,master,passed,357,2017-09-05 06:56:46 UTC,271937764,271937765,271937766,271937767,push
269517088,7e86a69ad0d4c2502bab6a51cb62b6036f043ef0,,master,passed,348,2017-08-29 09:54:47 UTC,269517089,269517090,269517092,269517094,push
269505146,0c36e806a569cb4f4b83951595a2afa17b9e6d22,,master,passed,309,2017-08-29 09:17:05 UTC,269505147,269505148,269505149,269505150,push
269494480,93d49464117710cbc3c8f483db3a78d697bb48cb,,master,passed,288,2017-08-29 08:43:10 UTC,269494481,269494482,269494483,269494486,push
269166692,481e481f37145de075cd756f250dc074c6934c45,,master,passed,444,2017-08-28 12:07:11 UTC,269166693,269166694,269166695,269166696,push
269156884,ccac2a76bb7953b60ae4f7152593a6f6b9024b22,,master,passed,433,2017-08-28 11:35:52 UTC,269156885,269156886,269156887,269156888,push
269128625,2c9db62c02f7505d1b7c8d74b454a16eed521dff,,master,passed,294,2017-08-28 09:54:43 UTC,269128626,269128627,269128628,269128629,push
269119899,c7b7b2d297f6c6f13cc5ea6c81c7b87b21bda070,,master,passed,309,2017-08-28 09:22:42 UTC,269119910,269119911,269119912,269119914,push
268295507,eb1591017db299108af6e2d63643db4d14fe352b,,master,passed,290,2017-08-25 09:30:18 UTC,268295508,268295509,268295510,268295511,push
268279368,e3d531f5ecad6b82a9b9f068e5a37a1c2559dcc6,,master,passed,360,2017-08-25 08:35:21 UTC,268279369,268279370,268279371,268279372,push
268277153,0ec10a33faecaaa7ba8b1cfb7fa3a2edf81dcf9d,,0.6.0,passed,285,2017-08-25 08:27:11 UTC,268277155,268277158,268277159,268277160,push
268276619,0ec10a33faecaaa7ba8b1cfb7fa3a2edf81dcf9d,,master,passed,295,2017-08-25 08:24:38 UTC,268276620,268276621,268276622,268276623,push
268273793,8377396122b8992551687f0ce0bfcd58f3662920,,0.6.0,failed,305,2017-08-25 08:14:00 UTC,268273794,268273795,268273796,268273797,push
265502549,8377396122b8992551687f0ce0bfcd58f3662920,,master,passed,416,2017-08-17 09:29:38 UTC,265502550,265502551,265502552,265502553,push
265122125,d9740762c420216311a62685e0adcd095549e9b8,,master,passed,283,2017-08-16 11:56:34 UTC,265122126,265122127,265122128,265122129,push
265059919,9f7ca104880fdc81735083a5bf7e9d4b68ada047,,master,passed,424,2017-08-16 08:31:04 UTC,265059920,265059921,265059922,265059923,push
265051458,133f3a2c2b923c6665581e3658caff375f488d41,,master,passed,303,2017-08-16 08:03:30 UTC,265051459,265051460,265051461,265051462,push
264329940,1850bbb968fd72abb7e2e2df1ff19af9375b7f3a,,master,passed,287,2017-08-14 11:49:08 UTC,264329941,264329942,264329943,264329944,push
264318701,c58f8b04be9995055873345faad3ba9266808b57,,master,passed,300,2017-08-14 11:05:53 UTC,264318702,264318703,264318704,264318705,push
264308355,fac4667c5ecb9f2af1ec83331db23d9c0ce72f38,,master,passed,497,2017-08-14 10:25:18 UTC,264308356,264308359,264308361,264308363,push
264263783,9be297783b7c45e7c3a6dc42806f49f075e00296,,master,passed,307,2017-08-14 07:21:46 UTC,264263785,264263787,264263791,264263794,push
263451070,09f10d7cd05c6ead6d2709d69892aee7988b9a4a,,master,passed,284,2017-08-11 11:16:33 UTC,263451071,263451073,263451074,263451076,push
263427975,7d4f5570ae3c4d9bb0042dc54da69bc2d87c56cd,,master,passed,306,2017-08-11 09:56:49 UTC,263427976,263427977,263427978,263427979,push
263410638,16ae7c67903d8c603a376bdde6946299c2804101,,master,passed,287,2017-08-11 08:57:20 UTC,263410639,263410640,263410641,263410642,push
263013567,bcdf1212a50f750d3acf0a1f3e5e3ba56c78da84,,master,passed,302,2017-08-10 09:40:20 UTC,263013568,263013569,263013570,263013571,push
262769507,b14d5178446d5e028825f73626b7fa99b8874377,,master,passed,289,2017-08-09 17:50:30 UTC,262769508,262769509,262769512,262769513,push
260576386,bf1c89510cb1e145b5b4d706b9839c3da2a77867,,master,passed,363,2017-08-03 11:59:45 UTC,260576387,260576390,260576391,260576392,push
258129784,a9580e32f2dc6ff3b0f5ab7600c09f432d313d44,,master,passed,309,2017-07-27 12:48:49 UTC,258129785,258129787,258129791,258129792,push
258098649,f30221f85a307e953d12bd7ff4223650253b5bc9,,master,passed,299,2017-07-27 11:07:14 UTC,258098650,258098653,258098654,258098657,push
258092266,510d4f26017a8fb3baa491be04e37f4db01824da,,master,passed,362,2017-07-27 10:42:33 UTC,258092268,258092269,258092270,258092271,push
231942094,9b25e65d81a0cf667aadd175c2973e71d1953ba7,,master,passed,272,2017-05-13 19:33:14 UTC,231942095,231942096,231942097,231942098,push
231692047,e8505dad5e21011e8df002bff576371a1d95dae1,,master,passed,277,2017-05-12 19:52:53 UTC,231692048,231692049,231692050,231692051,push
227179713,fdf23240f6cf3f85187ddb4ed2cf93083c5b04eb,,master,passed,262,2017-04-29 17:22:16 UTC,227179714,227179715,227179716,227179717,push
227137040,b5f5ac0c76de7e00a63cad100efa8d88e4bae6b9,,master,passed,266,2017-04-29 13:35:46 UTC,227137041,227137042,227137043,227137044,push
227133438,2cb3747da8a4bc8b40efd69dd4934d1cb3bec046,,master,passed,240,2017-04-29 13:13:51 UTC,227133439,227133440,227133441,227133442,push
226844841,d25a53c93f1a768ceca16c9c85399942de5e56c5,,master,passed,340,2017-04-28 14:56:13 UTC,226844842,226844843,226844844,226844845,push
226820414,3755b426f5cdcfabdbd42203ff214c857e235995,,master,passed,244,2017-04-28 13:50:54 UTC,226820415,226820416,226820417,226820418,push
224000506,64bb9809fe015809d8adf239c5965893433207a7,,master,passed,288,2017-04-20 15:21:46 UTC,224000507,224000508,224000509,224000510,push
219042532,0c727b04eaa6ce2f4f768d24da5f1ec4f16d189a,,master,passed,255,2017-04-05 21:01:54 UTC,219042533,219042534,219042535,219042536,push
219032382,7b755966dca29fcaf48c3b2b3e1aa1664ad72aa3,,master,passed,232,2017-04-05 20:30:15 UTC,219032383,219032385,219032386,219032387,push
217551612,41f78ea9d1b172e8383537ba2a0f719e5b98e5f2,,master,passed,227,2017-04-01 15:58:09 UTC,217551613,217551615,217551616,217551617,push
215247580,9c970ba8af617a761ae8530bcd9033f93c5d0d4b,,master,passed,248,2017-03-26 16:19:21 UTC,215247581,215247582,215247583,215247584,push
