build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
755712905,5408c0ca8304ac6d18aefc36909cb31d95dbd10c,704,master,failed,3457,2021-01-22 17:47:44 UTC,755712906,755712907,755712908,755712909,755712910,755712911,755712912,755712913,755712914,755712915,755712916,755712917,755712918,755712919,755712920,755712921,755712922,755712923,755712924,755712925,755712926,pull_request
755238158,b4372ea374276f0f6e0e9cd87a00c6477beae743,703,master,failed,2136,2021-01-19 20:36:13 UTC,755238159,755238160,755238161,755238162,755238163,755238164,755238165,755238166,755238167,755238168,755238169,755238170,755238171,755238172,755238173,755238174,755238175,755238176,755238177,755238178,755238179,pull_request
743242043,ee9289da6167aaa0fed07bee50673851b17ed8a0,701,master,failed,2062,2020-11-12 19:19:26 UTC,743242044,743242045,743242046,743242047,743242048,743242049,743242050,743242051,743242052,743242053,743242054,743242055,743242056,743242057,743242058,743242059,743242060,743242061,743242062,743242063,743242064,pull_request
707625641,d14ab3ea81276c498f5c476e073d3338ffc1418a,686,master,failed,3039,2020-07-13 13:35:12 UTC,707625642,707625643,707625644,707625645,707625646,707625647,707625648,707625649,707625650,707625651,707625652,707625653,707625654,707625655,707625656,707625657,707625658,707625659,707625660,707625661,707625662,pull_request
707624253,4c1fbaf51dd7115d71a5cbb293db7e3f424432f3,686,master,failed,3325,2020-07-13 13:24:21 UTC,707624257,707624258,707624259,707624260,707624261,707624262,707624269,707624270,707624271,707624272,707624273,707624274,707624275,707624276,707624277,707624278,707624279,707624280,707624281,707624282,707624283,pull_request
701811937,6081bc985f683976c4a5d220f72c123e10ef0e05,698,master,passed,3110,2020-06-24 21:20:01 UTC,701811938,701811939,701811940,701811941,701811942,701811943,701811944,701811945,701811946,701811947,701811948,701811949,701811950,701811951,701811952,701811953,701811954,701811955,701811956,701811957,701811958,pull_request
701580809,854c8e8d45d9eadfc68140018b28c4c46ddbfa3a,698,master,failed,1163,2020-06-24 09:30:01 UTC,701580810,701580811,701580812,701580813,701580814,701580815,701580816,701580817,701580818,701580819,701580820,701580821,701580822,701580823,701580824,701580825,701580826,701580827,701580828,701580829,701580830,pull_request
672775991,41dafe827f76b2771efce9b0a7fc1f3d5e08ba18,,master,passed,3350,2020-04-09 01:24:09 UTC,672775992,672775993,672775994,672775995,672775996,672775997,672775998,672775999,672776000,672776001,672776002,672776003,672776004,672776005,672776006,672776007,672776008,672776009,672776010,672776011,672776012,push
672756615,5ba024018128b680d2f5567e6cc3dc5f04563b21,696,master,failed,1278,2020-04-08 23:58:35 UTC,672756616,672756617,672756618,672756619,672756620,672756621,672756622,672756623,672756624,672756625,672756626,672756627,672756628,672756629,672756630,672756631,672756632,672756633,672756634,672756635,672756636,pull_request
672746754,3f2e0296315721562439f3dd17847ee7b1f8b36e,694,master,passed,3121,2020-04-08 23:31:05 UTC,672746755,672746756,672746757,672746758,672746759,672746760,672746761,672746762,672746763,672746764,672746765,672746766,672746767,672746768,672746769,672746770,672746771,672746772,672746773,672746774,672746775,pull_request
672745379,f062e835636149889175da2e12bee44f61dabd3a,695,master,errored,760,2020-04-08 23:26:32 UTC,672745380,672745381,672745382,672745383,672745384,672745385,672745386,672745387,672745388,672745389,672745390,672745391,672745392,672745393,672745394,672745395,672745396,672745397,672745398,672745399,672745400,pull_request
