build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
304559575,a9dd7f167c9aa46dcfb09449c8ff56b9cf0fc1a7,77,master,failed,711,2017-11-20 04:20:25 UTC,304559576,304559577,304559578,304559579,304559580,304559581,pull_request
267942227,ef4086307249135220d2675d6a446ec70b7ef7d9,76,master,failed,856,2017-08-24 12:35:42 UTC,267942228,267942229,267942230,267942231,267942232,267942233,pull_request
207682609,40efdea325e6797420976838cc724d59bef9f434,74,master,failed,521,2017-03-04 14:18:41 UTC,207682610,207682611,207682612,207682613,207682614,207682615,pull_request
196286999,1a94ef21e391b2530cf21ed2a55cf1649ba0d30e,,feature/fix-test,failed,433,2017-01-29 06:54:58 UTC,196287000,196287001,196287002,196287003,196287004,196287005,push
196286989,50f2e1ebf646be8fae267a786a4cff80248ae10e,73,master,failed,355,2017-01-29 06:53:37 UTC,196286990,196286991,196286992,196286993,196286994,196286995,pull_request
196286746,00d8b68ea8d1d1c99999836f84c6c82d9a0d6232,73,master,failed,356,2017-01-29 06:50:23 UTC,196286747,196286748,196286749,196286750,196286751,196286752,pull_request
196286614,c1fde02b2e47545c189ee1effb6e89169f70cff7,,feature/fix-test,failed,348,2017-01-29 06:49:05 UTC,196286615,196286616,196286617,196286618,196286619,196286620,push
196270111,42422362eaed521f6eb1b0b6551fa17880f37ee6,,feature/test,failed,438,2017-01-29 06:00:44 UTC,196270112,196270113,196270114,196270115,196270116,196270117,push
196267933,7eb950507e5af1cd41c906e044dd23945e745696,,master,failed,430,2017-01-29 03:38:59 UTC,196267934,196267935,196267936,196267937,196267938,196267939,push
196266615,114eabb650552e350756d50a179a9b5dcf2e868a,,master,passed,569,2017-01-29 03:26:05 UTC,196266616,196266617,196266618,196266619,196266620,196266621,push
196264082,4030c6e4786cc107ca4c6794d777a445208617b9,72,master,passed,581,2017-01-29 03:06:34 UTC,196264083,196264084,196264085,196264086,196264087,196264088,pull_request
196263628,a62cc19ec3a8e435f2575584702ea21a5349cb30,,feature/travis,passed,506,2017-01-29 03:03:13 UTC,196263629,196263630,196263631,196263632,196263633,196263634,push
196258523,1fa869a5a4b003872798f9f1bf8aa9c5a1302bed,,feature/travis,failed,428,2017-01-29 02:13:41 UTC,196258524,196258525,196258526,196258527,196258528,196258529,push
