build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
749854509,cb72f1760d25d90917c6b80515986a1de5337997,,develop,passed,1515,2020-12-15 17:45:56 UTC,749854510,push
749853632,2a25fa70dcde572e5b9273c320fe8afc8596cb1b,,develop,canceled,0,,749853633,push
749847227,54507d2c4431b2c7bd1ee1d3376c83493723de19,,develop,canceled,0,,749847228,push
749839912,e2c72fc3d341b1bc5108c6214ed8e85740d716af,,develop,canceled,0,,749839913,push
749836474,1cfbfc245a4a754f48b7d9b87242cb0e7b3cd206,,develop,canceled,0,,749836475,push
749804796,3657f9b9a9f49005aa18a7a540b1ba75face1275,,develop,passed,1477,2020-12-15 12:47:54 UTC,749804797,push
749799495,361b43c3a22f8f873a19fce3d6f44d2fe52024e6,,develop,passed,1482,2020-12-15 12:02:35 UTC,749799496,push
749721734,ace7a19326888606c040433e32ed0845cea094a0,,develop,failed,430,2020-12-15 00:38:17 UTC,749721735,push
749721368,335a85a7cd95fe87ebe2f88555e6586d7e6cf6c7,,develop,canceled,0,,749721369,push
749721016,10f5129b90bbaac3b414768dd653a2b66a5e4db0,,develop,canceled,0,,749721017,push
749720128,100873d320a6c5b760684d65d86f5db90a6473c9,,develop,canceled,0,,749720129,push
749719295,19b5e2eb7540ff4a04bd4e13f8101eed0a071519,,develop,canceled,0,,749719296,push
749718391,90443e09294d239410dcb7ad71f13f9bff073c2d,,develop,canceled,0,,749718392,push
749716823,2cb4e60f67eb6e4a2e989d0d47e69086fe85d980,,develop,canceled,0,,749716824,push
749716248,8fe983c6feb45ef5635cb1022b32dc4d3e4f7f55,,develop,canceled,0,,749716249,push
749715738,2c9d2da1660ad7f1a0bc982bf39d672b07f30488,,develop,canceled,0,,749715739,push
749703515,4e8032b3068172d8b53a4bc101dfabc4405061ab,,v0.8.0,passed,1398,2020-12-14 22:41:49 UTC,749703516,push
749701632,4e8032b3068172d8b53a4bc101dfabc4405061ab,,develop,passed,1368,2020-12-14 22:32:59 UTC,749701633,push
749699215,04badb70752dce1614e24f104136e0e50b1e87d8,,develop,canceled,0,,749699216,push
749489054,f501da6d0eda1ecefe55bad0a8a82a7b071c23f6,280,develop,passed,1320,2020-12-13 22:49:24 UTC,749489055,pull_request
746357553,1798b92dfe75e85c95b6576176eae52d9046e773,,reqsense/ci-instrum-tests,errored,3644,2020-11-28 03:25:56 UTC,746357554,746357555,746357556,push
745738502,b2fcad913c987f936b8c11ae7b9b2838cb0acb7d,280,develop,passed,1331,2020-12-08 09:51:34 UTC,745738503,pull_request
745711426,6a265dadea8e18c96d2c114b76c604204fbc1478,280,develop,passed,1397,2020-11-24 20:42:19 UTC,745711427,pull_request
745703914,4dd55186c48def10cd01ea5a4b32387d0a81d136,280,develop,canceled,0,,745703915,pull_request
745698363,1496075fa3fe354f10532508e8e2289fc575b605,280,develop,canceled,0,,745698364,pull_request
745696840,f485c1fb299a6f725c6f01a715daf5335b78a69e,280,develop,canceled,0,,745696843,pull_request
745627013,7ec71b45e2d9c7768c7ffda2b60c94499ef7afc6,,develop,passed,1377,2020-11-24 13:06:13 UTC,745627014,push
745481394,6fc10d7d28dac0b04975411150d85e4eabb98d36,280,develop,passed,1450,2020-11-23 20:05:24 UTC,745481395,pull_request
735990859,d829aee6ce984f13e62975bca0bfb0ceb02e88b2,,develop,failed,435,2020-10-15 10:01:24 UTC,735990860,push
735372377,c30787dbfde581762ab331bf8fde805d5888f4d2,276,master,passed,1319,2020-10-13 12:34:49 UTC,735372378,pull_request
729193005,9452d32859c902fa5ad506821c12d683bef9b9cf,264,develop,errored,4270,2020-09-22 03:29:29 UTC,729193006,729193007,729193008,pull_request
729193001,236a565dccfc960262cd6175763a8b8aefe00035,,ci-instrumented-tests,errored,4291,2020-09-22 04:38:28 UTC,729193002,729193003,729193004,push
727881761,ae52944d28c940c7381622ac1c7c103562b81de2,264,develop,canceled,0,,727881762,727881763,727881764,727881765,pull_request
727881756,5d870a0823a5999ccbf729d0039c9b4a25a1e2c7,,ci-instrumented-tests,errored,4330,2020-09-22 02:52:34 UTC,727881757,727881758,727881759,727881760,push
727880945,3b275a6f5e04e4798a6adcbdc11c7b8881b55564,264,develop,canceled,3353,2020-09-17 01:28:51 UTC,727880946,727880947,727880948,727880949,pull_request
727880940,7bcc15b9020056899e3189e81824b4f69aac68fe,,ci-instrumented-tests,errored,3044,2020-09-17 01:57:47 UTC,727880941,727880942,727880943,727880944,push
727872523,b7aaa34aeb325156c26242bdabba0277d287865f,,ci-instrumented-tests,errored,4650,2020-09-17 00:24:51 UTC,727872524,727872525,727872526,727872527,api
727801280,ddd4034133db0c7214deda76bc03d1527b7b4103,,develop,errored,1319,2020-09-16 18:53:01 UTC,727801281,push
727786717,512258e582a1d85dddd9251626c8d4506d6cf327,270,develop,passed,1358,2020-09-16 17:59:14 UTC,727786718,pull_request
727785618,3ca78ef1cfb2b16e5458509bfcdcdda29cb966fb,,feature/app-mod-kt,errored,1363,2020-09-16 17:54:35 UTC,727785619,push
727763357,27683f1d41ced4ff47c79184558ca5cd2ee5ec71,264,develop,failed,6275,2020-09-16 16:27:43 UTC,727763358,727763359,727763360,727763361,pull_request
727763348,b7aaa34aeb325156c26242bdabba0277d287865f,,ci-instrumented-tests,errored,4773,2020-09-16 22:35:02 UTC,727763349,727763350,727763351,727763352,push
727714317,ab6d43f07b33b47a7672631ee1734c3c2a95e3a9,,ci-instrumented-tests,failed,4364,2020-09-16 16:00:15 UTC,727714318,727714319,727714320,727714321,api
727675452,5f877d52923cbeee7d310a49a40da2e31b2799ad,264,develop,canceled,0,2020-09-16 11:56:55 UTC,727675453,727675454,727675455,727675456,pull_request
727675427,ab6d43f07b33b47a7672631ee1734c3c2a95e3a9,,ci-instrumented-tests,failed,4103,2020-09-16 11:57:19 UTC,727675428,727675429,727675430,727675431,push
727557905,930bda6cd6be47e0172bea9fbbbdbf1eb6e990e6,,ci-instrumented-tests,failed,3732,2020-09-16 01:11:42 UTC,727557906,727557907,727557908,727557909,api
727552492,930bda6cd6be47e0172bea9fbbbdbf1eb6e990e6,,ci-instrumented-tests,failed,4534,2020-09-16 00:40:37 UTC,727552493,727552494,727552495,727552496,api
727546739,930bda6cd6be47e0172bea9fbbbdbf1eb6e990e6,,ci-instrumented-tests,canceled,6838,2020-09-16 00:01:50 UTC,727546740,727546741,727546742,727546743,api
727508771,a56bf1d6ec515110c2613cfbffab4c19b2cb18ab,264,develop,failed,4272,2020-09-15 21:11:16 UTC,727508772,727508773,727508774,727508775,pull_request
727508766,930bda6cd6be47e0172bea9fbbbdbf1eb6e990e6,,ci-instrumented-tests,failed,4674,2020-09-15 21:11:15 UTC,727508767,727508768,727508769,727508770,push
727502077,da44ab2a7670a82b7bdcdd53a2eb750e5342a2b8,264,develop,canceled,0,,727502078,727502079,727502080,727502081,pull_request
727502063,0f1f85acea761ba20f7014d04df740cd9ad2cb6e,,ci-instrumented-tests,failed,4571,2020-09-15 20:44:36 UTC,727502067,727502069,727502070,727502071,push
727501836,e837b237a4f5fd197091084cc50f044ddf49b70c,264,develop,canceled,-1,2020-09-15 20:39:56 UTC,727501837,727501838,727501839,727501840,pull_request
727501821,b6856013458e144a82470b803c0c6253a5ae1df5,,ci-instrumented-tests,canceled,0,,727501822,727501823,727501824,727501825,push
727500004,02c5daa7d7250f6fe08c9fa1c80ad7add5996097,264,develop,canceled,0,2020-09-15 20:33:28 UTC,727500005,727500006,727500007,727500008,pull_request
