build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
124363688,7b3dc951cfd4e034ad2510974f01ded5a31518af,,master,passed,1395,2016-04-20 02:36:25 UTC,124363689,124363690,124363691,124363692,124363693,124363694,push
124363627,5fc01a27e9b0a62ae8228ada7ff7bdf453c13a44,,moved_to_rails,failed,21,2016-04-20 02:29:48 UTC,124363628,push
33039750,5fc01a27e9b0a62ae8228ada7ff7bdf453c13a44,,master,failed,4,2014-08-20 07:14:01 UTC,33039751,push
33039731,7b3dc951cfd4e034ad2510974f01ded5a31518af,,archive,failed,305,2014-08-20 07:12:49 UTC,33039732,33039733,33039734,33039735,33039736,33039737,push
33039227,11068181d5db5eb8f473bea8c59019157cc6c7e8,109,master,errored,5,2014-08-20 07:11:17 UTC,33039228,pull_request
32817691,7b3dc951cfd4e034ad2510974f01ded5a31518af,,master,passed,453,2014-08-18 04:41:15 UTC,32817692,32817693,32817694,32817695,32817696,32817697,push
32817566,c442cf76dd01e3a358907c45bc5f84737fef8455,108,master,errored,5,2014-08-18 04:03:34 UTC,32817567,32817568,32817569,32817570,32817571,32817572,pull_request
32685543,14048ab9e93eb5f2eac7ede4bc41ffda4f2c88b4,,master,passed,513,2014-08-16 00:24:13 UTC,32685544,32685545,32685546,32685547,32685548,32685549,push
32673894,82f7960ba785a1863517ad3577993b320e59d853,107,master,passed,1372,2014-08-15 21:26:29 UTC,32673895,32673896,32673897,32673898,32673899,32673900,pull_request
32656163,d958127ae060f1418a58a4aad1c376a47a61fadb,,master,passed,1235,2014-08-15 17:40:00 UTC,32656164,32656165,32656166,32656167,32656168,32656169,push
32656156,65cfcb3e430244b890fec646f214c5e213a03102,106,master,errored,4,2014-08-15 17:39:32 UTC,32656157,32656158,32656159,32656160,32656161,32656162,pull_request
32656147,105fca4a9be3d3240d7b9d75376b31ed948bcb57,,revert-105-ignore-test-sqlite-db,errored,5,2014-08-15 17:39:30 UTC,32656148,32656149,32656150,32656151,32656152,32656153,push
32646542,49052a09124cc7bf59ead9c7fa7f2f0ff889ff8c,,master,failed,127,2014-08-15 15:45:44 UTC,32646543,32646544,32646545,32646546,32646547,32646548,push
