build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
420388316,4899cb1641fb0c428601cad55c1f0ca1e92d7451,,master,errored,1878,2018-08-25 04:13:19 UTC,420388317,420388318,420388319,420388320,420388321,420388322,push
420384151,60402de667f05e9eacddefe61edc29121efddcda,,master,errored,1884,2018-08-25 03:50:21 UTC,420384154,420384156,420384157,420384158,420384159,420384160,push
303670555,4bf1c14d24234ea293dd95d33ce4349faaf5d88c,101,master,errored,1431,2017-11-17 18:36:54 UTC,303670556,303670557,303670558,303670559,303670560,303670561,pull_request
268157606,d26b95222b1d19ca635d5eff9b1bae2fee7278ba,97,master,passed,1545,2017-08-24 22:09:24 UTC,268157607,268157608,268157609,268157610,268157611,268157612,pull_request
268102750,39e241ab6db1bc7b5c73f4b3de8eebbf06ba42f5,96,master,passed,2141,2017-08-24 19:22:52 UTC,268102752,268102755,268102756,268102757,268102758,268102759,pull_request
268101918,2f302e969541718bdfdd5e6cfe99f0b354ff2568,96,master,passed,1882,2017-08-24 21:19:21 UTC,268101919,268101920,268101921,268101922,268101923,268101924,pull_request
262609702,d289babf1bc6bb86183fe609f20d0ca36e1a9876,95,master,passed,1398,2017-08-09 10:41:08 UTC,262609703,262609704,262609705,262609707,262609708,262609709,pull_request
259101331,cbadc0aca1430a7e1d7dfa5b906f21a802e8a280,94,master,failed,3590,2017-07-30 15:26:25 UTC,259101332,259101333,259101334,259101335,259101336,259101337,pull_request
232487843,532258acb03a86b655dcf8c02e178a6d83c6586c,93,master,passed,1503,2017-05-15 15:53:24 UTC,232487844,232487845,232487846,232487847,232487848,232487849,pull_request
230965259,a6ca7ded100493499500a1bb2f13a36a6fdac695,92,master,passed,1404,2017-05-10 23:02:22 UTC,230965260,230965261,230965262,230965263,230965264,230965265,pull_request
219521507,7da61986c9032956667f8c9ce6144daadd14a88a,91,master,passed,932,2017-04-07 01:38:40 UTC,219521508,219521509,219521510,219521511,219521512,219521513,pull_request
192432162,00ed9eeee5d89d114770f96823f9250b22aa953f,87,master,passed,972,2017-01-16 17:36:35 UTC,192432163,192432164,192432165,192432166,192432167,192432168,pull_request
183464990,31baac37ffcd78c1c0c3a39ef2b0ee622756f440,79,master,passed,638,2016-12-13 02:09:48 UTC,183464991,183464992,183464993,183464994,183464995,183464996,pull_request
180141758,e06b670e48854202a3b03e9879efe27eae088a85,76,master,passed,894,2016-11-30 16:50:19 UTC,180141759,180141760,180141761,180141762,180141763,180141764,pull_request
179894726,21dbb107c796154fb37a8af1596a09997b5d67ff,82,master,passed,1097,2016-11-30 05:45:37 UTC,179894727,179894730,179894731,179894733,179894734,179894735,pull_request
177162060,50d83ea21cb0405e81efd284951e111b3a68d701,,master,passed,789,2016-11-18 22:36:23 UTC,177162061,177162062,177162066,177162068,177162069,177162070,push
177161523,4d25bed88813f1ff7ff7ff64025e723636bac4d0,,master,canceled,168,2016-11-18 22:34:43 UTC,177161524,177161526,177161529,177161531,177161532,177161533,push
177161179,021c5c284a041a94241e19cc26f7c5ef62c7e94b,,master,canceled,69,2016-11-18 22:33:40 UTC,177161180,177161182,177161184,177161186,177161187,177161188,push
177160153,eb621cac5111b9323c1a58008b530cae03240196,,master,canceled,197,2016-11-18 22:29:57 UTC,177160154,177160155,177160156,177160157,177160158,177160159,push
177156284,d98ea3f6fadb874b96cc0b6c3bcace6e6ec7ebb7,,master,canceled,1935,2016-11-18 22:13:32 UTC,177156285,177156286,177156287,177156288,177156291,177156292,push
176743290,46d1b7bd9773c3b7953a45a5f6c6deb9c9ad10a5,79,master,errored,4645,2016-11-17 16:26:19 UTC,176743291,176743292,176743293,176743294,176743295,176743296,pull_request
