build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
740189836,b54a3679c095cb7aff25c75dcc177d46415a3a4a,,master,failed,1004,2020-10-31 03:02:24 UTC,740189837,740189838,740189839,740189840,740189841,740189842,740189843,740189844,740189845,740189846,740189847,740189848,push
740175893,c75d417d009c0dc55640a8151a74845eb70fbeb0,326,master,errored,232,2020-10-31 02:01:57 UTC,740175894,740175895,740175896,740175897,740175898,740175899,740175900,740175901,740175902,740175903,740175904,740175905,pull_request
740175878,25d0bd73a19efc64a47efe3a2fe6103273c7a9de,,executable,errored,223,2020-10-31 00:52:51 UTC,740175879,740175880,740175881,740175882,740175883,740175884,740175885,740175886,740175887,740175888,740175889,740175890,push
740166545,f9e74de71ef06f120aca114d2a23f55d55694585,,executable,canceled,0,,740166546,740166547,740166549,740166551,740166552,740166553,740166554,740166555,740166556,740166558,740166559,740166560,push
740166529,ab34fa5cff2562a9d4361dc5a5f390b12a637642,326,master,failed,1044,2020-10-30 12:13:48 UTC,740166530,740166531,740166532,740166533,740166534,740166535,740166536,740166537,740166538,740166539,740166540,740166541,pull_request
740138996,d5e226cb156326dd6efaba32802f44148bdcfb4b,326,master,failed,1029,2020-10-30 10:31:29 UTC,740138997,740138998,740138999,740139000,740139001,740139002,740139003,740139004,740139005,740139006,740139007,740139008,pull_request
740138981,46b10f57d0533c15b156056cc8f45027f9822e91,,executable,failed,1035,2020-10-30 09:45:20 UTC,740138982,740138983,740138984,740138985,740138986,740138987,740138988,740138989,740138990,740138991,740138992,740138993,push
740138419,af567e78726f11bc37533289427b3480782d5aff,326,master,canceled,0,,740138420,740138421,740138422,740138423,740138424,740138425,740138426,740138427,740138428,740138429,740138430,740138431,pull_request
740138404,f7e63abe583e1dbd96bfe5e5d2e6bbc09768085d,,executable,canceled,0,,740138405,740138406,740138407,740138408,740138409,740138410,740138411,740138412,740138413,740138414,740138415,740138416,push
740138039,db445a22efaf946b07f513598a9709b41ed5da40,326,master,canceled,0,,740138040,740138041,740138042,740138043,740138044,740138045,740138046,740138047,740138048,740138049,740138050,740138051,pull_request
740138024,5aaf843e2fbcfae3ed275206a859c582476687ea,,executable,canceled,0,,740138025,740138026,740138027,740138028,740138029,740138030,740138031,740138032,740138033,740138034,740138035,740138036,push
740133450,a52af5d24c8240fea675ce606ca77af282d3f873,326,master,canceled,0,,740133451,740133452,740133453,740133454,740133455,740133456,740133457,740133458,740133459,740133460,740133461,740133462,pull_request
740133433,62e2152b74e9be7a6cf5105c029e01fe141e293a,,executable,canceled,0,,740133434,740133435,740133436,740133437,740133438,740133439,740133440,740133441,740133442,740133443,740133444,740133445,push
740133189,9a6ef17fbd6a28d810cc08146e3e7e8b15ecb76b,326,master,canceled,0,,740133190,740133191,740133192,740133193,740133194,740133195,740133196,740133197,740133198,740133199,740133200,740133201,pull_request
740133176,4d71d555fe23caa51c630eb6e0104671108f306a,,executable,canceled,0,,740133177,740133178,740133179,740133180,740133181,740133182,740133183,740133184,740133185,740133186,740133187,740133188,push
740131145,2c6bc64bd98b7c37c61078b143cefceb970062ee,326,master,canceled,0,,740131146,740131147,740131148,740131149,740131150,740131151,740131152,740131153,740131154,740131155,740131156,740131157,pull_request
740131111,d6ed7bc8f73a3b11e9c6e045394e034539911b30,,executable,canceled,0,,740131112,740131113,740131114,740131115,740131116,740131117,740131118,740131119,740131120,740131121,740131122,740131123,push
