build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
756429590,7c8102edb156dc577a2ffbbc87a05e9055dfee06,482,master,errored,150,2021-01-27 19:41:29 UTC,756429591,756429592,756429593,756429594,756429595,pull_request
756425269,bbe7b65a6f44b26659c97c989a63c14e9053a7ad,484,develop,canceled,0,,756425270,756425271,756425272,756425273,756425274,pull_request
756422730,7f0f3aba0fc49225b4456f0e8eb37fbbaf151eae,482,master,canceled,0,,756422731,756422732,756422733,756422734,756422735,pull_request
756422201,e99d8c46e497ab4f938626b3ed7a80421d57c345,482,master,canceled,0,,756422202,756422203,756422204,756422205,756422206,pull_request
756416841,6fc8f598dc6579134660f394e7629425be664e15,483,develop,errored,147,2021-01-27 16:36:01 UTC,756416842,756416843,756416844,756416845,756416846,pull_request
756410840,8025a3735441c2669fe34b74225672d2694a5807,482,master,canceled,0,,756410841,756410842,756410843,756410844,756410845,pull_request
756407092,dcd1fe85ff7b04962c1b58d361f0c7c97f98ba73,481,develop,passed,473,2021-01-27 14:11:55 UTC,756407095,756407096,756407097,756407098,756407099,pull_request
756376408,fd4a9c91d428c55d0b7de887f8de4b0a331a3d5c,,develop,passed,483,2021-01-27 08:50:57 UTC,756376409,756376410,756376411,756376412,756376413,push
756319657,e9191d3bdb9a782b5b17a617e48fd049872dd394,480,develop,passed,466,2021-01-26 23:41:37 UTC,756319658,756319659,756319660,756319661,756319662,pull_request
756304977,cff2304eb2c67c8511a06c9fda88a280dfc47d2f,480,develop,canceled,0,,756304978,756304979,756304980,756304981,756304982,pull_request
756250777,0922cb3d6103efafbdaff243e8b66bebaab1a469,,develop,passed,484,2021-01-26 15:30:53 UTC,756250778,756250779,756250780,756250781,756250782,push
756250039,fc41469e79bf8ece892c5d49aead6c405624212f,479,develop,errored,175,2021-01-26 14:29:03 UTC,756250040,756250041,756250042,756250043,756250044,pull_request
753892674,d24f08f76b6985e02811d28fb22dc7b80451a9f6,,develop,passed,555,2021-01-11 06:15:58 UTC,753892675,753892676,753892677,753892678,753892679,push
753838177,99c87e747397ac30c53f16bb134b8ab5ba2f6d04,473,develop,passed,457,2021-01-10 20:42:59 UTC,753838178,753838179,753838180,753838181,753838182,pull_request
753825710,7d9063a5518e33fd9760bdd75a4bf415e5fb0fed,473,develop,passed,538,2021-01-10 18:49:45 UTC,753825711,753825712,753825713,753825714,753825715,pull_request
752501378,6247b97cb2ff31302b1d430658e36f1abdda13db,,develop,passed,557,2021-01-02 07:34:45 UTC,752501379,752501380,752501381,752501382,752501383,push
752476454,e31840640254e85a19ccbec17fac32a746261370,472,develop,passed,476,2021-01-02 01:28:40 UTC,752476455,752476456,752476457,752476458,752476459,pull_request
751546337,9b52854f011f54ae0ad02c864f085d273a2050a0,,develop,passed,479,2020-12-26 08:54:35 UTC,751546338,751546339,751546340,751546341,751546342,push
751546239,0b56d6bb4d4c6c9f01d99781be99946f0d2551f3,,master,passed,555,2020-12-26 08:52:17 UTC,751546240,751546241,751546242,751546243,751546244,push
751493168,130c2fda5616ee08cddc234269ae9ce44bc82e4b,,develop,passed,538,2020-12-25 18:43:48 UTC,751493169,751493170,751493171,751493172,751493173,push
751491458,ece1e3522ba64f8c86281084782c1e54f2922456,469,develop,passed,520,2020-12-25 18:19:40 UTC,751491459,751491460,751491461,751491462,751491463,pull_request
751448478,9191360e8fab20b279940673e52ef5bf95b09381,,develop,passed,484,2020-12-25 09:06:54 UTC,751448479,751448480,751448481,751448482,751448483,push
751448445,9191360e8fab20b279940673e52ef5bf95b09381,,master,passed,470,2020-12-25 09:05:02 UTC,751448446,751448447,751448448,751448449,751448450,push
751447814,72c0ad3ac477b3ba143cc6f2de730d0eb74ca0ee,,v3.4.1,passed,472,2020-12-25 08:54:37 UTC,751447815,751447816,751447817,751447818,751447819,push
751447415,72c0ad3ac477b3ba143cc6f2de730d0eb74ca0ee,,master,passed,473,2020-12-25 08:49:55 UTC,751447416,751447417,751447418,751447419,751447420,push
751447306,6e68ec23b515632132077aee2c7331cea47a2a32,,master,passed,542,2020-12-25 08:47:57 UTC,751447307,751447308,751447309,751447310,751447311,push
751447278,a63d95b4e3f47928af90b50fb742c17fef2405a6,467,master,errored,145,2020-12-25 08:46:26 UTC,751447279,751447280,751447281,751447282,751447283,pull_request
751447107,1688030fa46124f1752496c9664e6a2de1493bb0,,develop,passed,548,2020-12-25 08:43:58 UTC,751447108,751447109,751447110,751447111,751447112,push
751447081,e4a544f6a360dc2486c05d12d480f06394bed165,466,develop,errored,185,2020-12-25 08:43:10 UTC,751447082,751447083,751447084,751447085,751447086,pull_request
751443455,bdbd6a13b8af043823e16b1989f039c097e1d1ab,,develop,passed,492,2020-12-25 07:30:03 UTC,751443456,751443457,751443458,751443459,751443460,push
751408778,fc934c56cf6ae9ecbbb4da2bb192ccc091ebca52,465,develop,passed,526,2020-12-24 23:32:00 UTC,751408779,751408780,751408781,751408782,751408783,pull_request
751314740,4d1f30b8c17245b36c81189c611d950e22f659ef,,develop,passed,550,2020-12-24 07:18:22 UTC,751314741,751314742,751314743,751314744,751314745,push
751198670,84c0b5778d33c9d6c7fd98f3f2d8dca1528e13f3,463,develop,passed,530,2020-12-23 14:20:16 UTC,751198671,751198672,751198673,751198674,751198675,pull_request
751195209,43b9500b97e4173d6ae9730ddf92c0cafc6a7913,,develop,passed,474,2020-12-23 13:50:32 UTC,751195210,751195211,751195212,751195213,751195214,push
751195165,99e51e31eb49dd8761e8911b05066f92744d4133,462,develop,errored,170,2020-12-23 13:48:19 UTC,751195166,751195167,751195168,751195169,751195170,pull_request
751172429,ffb74a0c873bf1e9697a28ac8af6fff7d0c6c585,,v3.4.0,passed,486,2020-12-23 09:57:15 UTC,751172430,751172431,751172432,751172433,751172434,push
751171914,ffb74a0c873bf1e9697a28ac8af6fff7d0c6c585,,master,passed,722,2020-12-23 09:51:36 UTC,751171915,751171916,751171917,751171918,751171919,push
751171866,a24137e43af79620ed31e5d31ea89f6a3d588034,460,master,errored,144,2020-12-23 09:50:46 UTC,751171867,751171868,751171869,751171870,751171871,pull_request
751171050,93667f431b038ef2cf4eed9f0f675939a275527d,,develop,passed,492,2020-12-23 09:43:40 UTC,751171051,751171052,751171053,751171054,751171055,push
751171035,2bc4417d5c9c76a15affce4210a0d5219cb2dd24,459,develop,errored,161,2020-12-23 09:42:54 UTC,751171036,751171037,751171038,751171039,751171040,pull_request
751170069,386cb6629f73d0eba1c955e559f6e78cfa67abcc,,develop,passed,574,2020-12-23 09:31:59 UTC,751170070,751170071,751170072,751170073,751170074,push
751170044,15d9be889098937e8cb26b78b97f9fcb34df3320,458,develop,errored,187,2020-12-23 09:30:53 UTC,751170045,751170046,751170047,751170048,751170049,pull_request
751062810,8e3e3b4df49e8c08ccd30e2a9abb3f149ce0dc0e,,develop,passed,515,2020-12-22 18:23:43 UTC,751062813,751062814,751062815,751062816,751062817,push
751062766,6dfc8f8f8d04ef394c3cafa9736ef20f5dbefd5c,457,develop,errored,145,2020-12-22 17:49:31 UTC,751062767,751062768,751062769,751062770,751062771,pull_request
750528800,148b5f740a685cd5267cb362460eaf8c1d8736d9,,develop,passed,760,2020-12-19 07:58:32 UTC,750528801,750528802,750528803,750528804,750528805,push
750525289,00520d84d44de6e1d68f3c1093dc02c62fe96b25,456,develop,passed,555,2020-12-19 06:42:24 UTC,750525290,750525291,750525292,750525293,750525294,pull_request
750187891,4ee87f9a45e0dfd15e31bfa7a37d847e3cee4424,456,develop,passed,759,2020-12-17 09:47:30 UTC,750187892,750187893,750187894,750187895,750187896,pull_request
747026891,0fd1142ae0ab916b2025d0863ce025804a6b1c09,453,master,passed,758,2020-12-01 18:50:37 UTC,747026892,747026893,747026894,747026895,747026896,pull_request
735258268,68f23a2586755a1a959c076833619d67049ba5d1,,develop,passed,508,2020-10-13 05:13:18 UTC,735258269,735258270,735258271,735258272,735258273,push
734758749,a70d8c441a9ba139065e9effe66ef27472b7289b,,master,passed,732,2020-10-11 15:29:17 UTC,734758750,734758751,734758752,734758753,734758754,push
734758182,d04198dbcab231798273470f30d1eb2413317078,,develop,passed,761,2020-10-11 15:26:14 UTC,734758183,734758184,734758185,734758186,734758187,push
734549298,cdaf9992b430be1f0df403216e4eaf5393485c50,443,master,passed,481,2020-10-10 13:49:13 UTC,734549299,734549300,734549301,734549302,734549303,pull_request
733531140,d53f49374ef1c1c5c46d595ccfe1948245867c0c,443,master,passed,788,2020-10-07 02:37:08 UTC,733531141,733531142,733531143,733531144,733531145,pull_request
729449304,59387d99ff1d291392ef4c074a8a3605699f504e,440,master,passed,484,2020-09-22 21:53:22 UTC,729449305,729449306,729449307,729449308,729449309,pull_request
729447521,1d0e338375bebf2bb2610e344ecffb512ffaec23,440,master,passed,749,2020-09-22 21:46:24 UTC,729447522,729447523,729447524,729447525,729447526,pull_request
723865264,a4cb6ac13dc8dbc087e7647f5240bb0196b1c55c,,develop,passed,532,2020-09-03 17:25:07 UTC,723865265,723865266,723865267,723865268,723865269,push
723863452,d299bc38deeaa8ebb934ca54d00a352c36abd1f4,438,master,passed,785,2020-09-03 17:16:55 UTC,723863453,723863454,723863455,723863456,723863457,pull_request
715885265,d72fe58528c45b9ac1cee1bdfb29331110a20a1c,430,develop,passed,555,2020-08-07 15:28:22 UTC,715885266,715885267,715885268,715885269,715885270,pull_request
715878073,870cff71db2fdad07cb08b9473bab0143d9e8b96,,develop,passed,540,2020-08-07 15:03:43 UTC,715878074,715878075,715878076,715878077,715878078,push
715877922,729f4f5484bc3a064d664ff49be07e2a63cbde5a,429,develop,errored,170,2020-08-07 15:02:57 UTC,715877923,715877924,715877925,715877926,715877927,pull_request
711603589,d255103fba9294fee3239816949c1f001167b53b,,develop,passed,524,2020-07-24 21:48:16 UTC,711603590,711603591,711603592,711603593,711603594,push
711603343,17f52fd05ab6c8a19895470f7dbdafe490deb85e,425,develop,errored,184,2020-07-24 21:47:35 UTC,711603344,711603345,711603346,711603347,711603348,pull_request
