build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
752021558,3cda0f1094e89dd6366f69f9ed062645c3108a76,,master,passed,291,2020-12-29 19:52:09 UTC,752021559,752021560,752021561,752021562,752021563,push
751802263,9e57da7429fa45c5c6bea66e865c9c87cda21318,716,master,passed,294,2020-12-28 11:56:54 UTC,751802264,751802265,751802266,751802267,751802268,pull_request
751761947,885298f11246f69e88833e6e6ca0785f155032d3,716,master,passed,293,2020-12-28 04:39:15 UTC,751761948,751761949,751761950,751761951,751761952,pull_request
750259356,f35528e240c4ff47df2b7bf4858845b4cb4b423d,,master,passed,290,2020-12-17 18:03:33 UTC,750259357,750259358,750259359,750259360,750259361,push
750230220,3c4dac94325a93f8b56393803d2784885b21df4c,711,master,passed,290,2020-12-17 15:26:13 UTC,750230221,750230222,750230223,750230224,750230225,pull_request
742495973,fe68c3fd839b26e4ff23d121468979c81edde31a,711,master,passed,302,2020-11-09 17:47:09 UTC,742495974,742495975,742495976,742495977,742495978,pull_request
740358995,91a8691eb7b16a5b34db7caf8f0959a5a4e2d3bf,714,master,passed,293,2020-10-31 04:30:11 UTC,740358996,740358997,740358998,740358999,740359000,pull_request
736456003,b9a457dcd576a64c6bae1d055fd0eddcd48328b1,711,master,passed,306,2020-10-16 18:16:31 UTC,736456004,736456005,736456006,736456007,736456008,pull_request
735928806,e40a88626d3551eba3764395788d83aa2b3ae564,,master,passed,299,2020-10-15 04:17:38 UTC,735928807,735928808,735928809,735928810,735928811,push
735335763,45a619af422115b1dae793e6320068dbbaf125c0,710,master,passed,299,2020-10-13 10:15:08 UTC,735335764,735335765,735335766,735335767,735335768,pull_request
733242968,b5eb9c0a97b50ac79834033da957ff2ac70112ab,710,master,errored,419,2020-10-06 09:16:04 UTC,733242969,733242970,733242971,733242972,733242973,733242974,733242975,733242976,pull_request
732497424,ab7880721addf679d05dc3841baeeb9fbe5ccef6,710,master,errored,413,2020-10-03 12:19:28 UTC,732497425,732497426,732497427,732497428,732497429,732497430,732497431,732497432,pull_request
730194486,58bdc527c1eaf6991364d955798949d2d85cd980,,master,passed,397,2020-09-25 08:50:18 UTC,730194487,730194488,730194489,730194490,730194491,730194492,730194493,push
730130270,57c7aa0cd6ccf3cd168709a8470b621142ff744b,709,master,passed,427,2020-09-25 01:47:31 UTC,730130271,730130272,730130273,730130274,730130275,730130276,730130277,pull_request
696960088,0e8b82730a143c07c919bb8773f017338f637016,,v0.18.1,passed,412,2020-06-10 18:44:58 UTC,696960089,696960090,696960091,696960092,696960093,696960094,696960095,push
696958744,0e8b82730a143c07c919bb8773f017338f637016,,master,passed,418,2020-06-10 18:40:34 UTC,696958745,696958746,696958747,696958748,696958749,696958750,696958751,push
696957481,c24d20c8b96eddff0021ffafbff27be91d243673,703,master,passed,400,2020-06-10 18:37:12 UTC,696957482,696957483,696957484,696957485,696957486,696957487,696957488,pull_request
696957421,68251a95811cd6e9c02e76fd464ec6a654d838e8,,release-0.18.1,passed,428,2020-06-10 18:35:38 UTC,696957422,696957423,696957424,696957425,696957426,696957427,696957428,push
696954178,8fa06c99f08f7642e03e17e8e1bc0f3f363ed4d3,,master,passed,402,2020-06-10 18:24:20 UTC,696954187,696954188,696954189,696954190,696954191,696954192,696954193,push
694055965,c49f5ed7bfd8cb1543f252dd74456d52ba60ecd9,702,master,passed,418,2020-06-02 23:13:59 UTC,694055966,694055967,694055968,694055969,694055970,694055971,694055972,pull_request
693360586,542acbec71fcb72049c84f389b2a7af46b9aeccc,701,master,passed,419,2020-06-01 08:09:00 UTC,693360587,693360588,693360589,693360590,693360591,693360592,693360593,pull_request
683759366,6f79d64145cdeb3cbaa2e2e47dfd412d77ca4988,700,master,passed,438,2020-05-06 09:44:54 UTC,683759367,683759368,683759369,683759370,683759371,683759372,683759373,pull_request
676156559,0986ff362911617c6446960cc770e3352971f693,,master,passed,421,2020-04-17 11:46:33 UTC,676156560,676156561,676156562,676156563,676156564,676156565,676156566,push
