build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
754174174,dee1fd779ac874407c55a2d999c2a25670c6af50,,master,errored,418,2021-01-12 20:21:26 UTC,754174175,754174176,754174177,754174178,754174179,754174180,754174181,754174182,754174183,push
754173942,b6c4d8f854f54d13a318daa0b8195289766c7963,,master,canceled,0,,754173943,754173944,754173945,754173946,754173947,754173948,754173949,754173950,754173951,push
754171587,5d98a04e1a3b6e6ae07389ab19a988b5a4a5c941,,master,canceled,0,,754171588,754171589,754171590,754171591,754171592,754171593,754171594,754171595,754171596,push
754170575,5d98a04e1a3b6e6ae07389ab19a988b5a4a5c941,,new_supported_ruby_rails_versions,errored,418,2021-01-12 19:28:11 UTC,754170576,754170577,754170578,754170579,754170580,754170581,754170582,754170583,754170584,push
754128733,70a24944626cf068c4a5abbb18cefbd04bcf4818,,new_supported_ruby_rails_versions,errored,412,2021-01-12 14:54:11 UTC,754128734,754128735,754128736,754128737,754128738,754128739,754128740,754128741,754128742,push
754063008,56cd45918dbe793ab56a88fe397013ac1a31430f,,new_supported_ruby_rails_versions,errored,407,2021-01-12 04:40:46 UTC,754063009,754063010,754063011,754063012,754063013,754063014,754063015,754063016,754063017,push
754062774,bd554410604c73fa9d8ab20385e8ef4ffab5b2a3,,new_supported_ruby_rails_versions,errored,536,2021-01-12 04:38:06 UTC,754062775,754062776,754062777,754062778,754062779,754062780,754062781,754062782,push
754059480,bd554410604c73fa9d8ab20385e8ef4ffab5b2a3,,master,errored,544,2021-01-12 04:01:06 UTC,754059481,754059482,754059483,754059484,754059485,754059486,754059487,754059488,push
754058939,99850e5bb8088c34dabe350af1e728d2e398fafc,,master,errored,557,2021-01-12 03:55:49 UTC,754058940,754058941,754058942,754058943,754058944,754058945,754058946,754058947,push
754058293,2dc1711c891a2b1796ec7e985aee48a406e6ab7d,,master,errored,531,2021-01-12 03:48:48 UTC,754058294,754058295,754058296,754058297,754058298,754058299,754058300,754058301,push
754058068,209e4cc598ef29249a5ab0d671954298279737b6,,master,canceled,0,,754058069,754058070,754058071,754058072,754058073,754058074,754058075,754058076,push
752799322,4e221408cc49cc17fa66161ce0aa532ebb45daa3,,master,errored,529,2021-01-04 13:49:00 UTC,752799323,752799324,752799325,752799326,752799327,752799328,752799329,752799330,push
752608494,3c2791e33ddee155e6700374520da8cc21082bf7,197,master,errored,540,2021-01-03 03:56:11 UTC,752608495,752608496,752608497,752608498,752608499,752608500,752608501,752608502,pull_request
720839138,7cd7cfc5eeedc2bf6ee52b44e3acf73574e50049,195,master,errored,552,2020-08-25 00:40:49 UTC,720839139,720839140,720839141,720839142,720839143,720839144,720839145,720839146,pull_request
708799373,327f7d5cd036fc0a37242b1a755fa5c078af602e,194,master,errored,536,2020-07-16 15:34:14 UTC,708799374,708799375,708799376,708799377,708799378,708799379,708799380,708799381,pull_request
668882743,f17ce76dbba5648336cae2371c96c9728b669e31,,master,errored,558,2020-03-30 18:08:41 UTC,668882745,668882746,668882749,668882752,668882753,668882754,668882755,668882756,push
668873589,3d5a1a71d3bd96a3a419c81a790c7c3e7f0c59e4,,master,errored,553,2020-03-30 17:45:35 UTC,668873590,668873591,668873592,668873593,668873594,668873595,668873596,668873597,push
463358936,bbb922c6ea92d6aad22d23865b88a2e36e418a46,193,master,passed,772,2018-12-04 14:05:13 UTC,463358937,463358938,463358939,463358940,463358941,463358942,463358943,463358944,pull_request
426065108,41a07465e1763f961acc81482b1749a453aea227,192,master,passed,855,2018-09-08 10:48:40 UTC,426065109,426065110,426065111,426065112,426065113,426065114,426065115,426065116,pull_request
418443639,606344bb03492b7badee1bb99924c64d62674b33,192,master,passed,790,2018-08-20 22:11:18 UTC,418443640,418443641,418443642,418443643,418443644,418443645,418443646,418443647,pull_request
416334734,762c2c27593ff706fd5ef730e335e646e2c9d749,,master,passed,815,2018-08-15 12:20:25 UTC,416334736,416334738,416334740,416334741,416334742,416334743,416334744,416334745,push
416164194,996206fe9a525a2927ac1b8ff079db821040843d,190,master,passed,960,2018-08-15 00:24:28 UTC,416164195,416164196,416164197,416164198,416164199,416164200,416164201,416164202,pull_request
399459803,72c3902a19df5bfc519fe5c40bdb7d2153e1c4e5,189,master,passed,1179,2018-07-03 07:37:37 UTC,399459804,399459805,399459806,399459807,399459808,399459809,399459810,399459811,pull_request
344423745,1d53f33723432eced89fad16ebf21149938f4a48,185,master,passed,956,2018-02-21 17:23:12 UTC,344423746,344423747,344423748,344423749,344423750,344423751,344423752,344423753,pull_request
