build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
616139804,9b0c9fbaf4148f8b46c38b3e2aa9255ef7a86d8a,,master,passed,3031,2019-11-24 00:59:30 UTC,616139805,616139806,616139807,616139808,616139809,616139810,616139811,616139812,616139813,616139814,616139815,616139816,616139817,616139818,616139819,616139820,616139821,616139822,616139823,616139824,616139825,616139826,616139827,616139828,push
615967246,7b96024db58726c15abad0c1177b8e06fab92c96,435,master,passed,3123,2019-11-23 13:17:58 UTC,615967247,615967248,615967249,615967250,615967251,615967252,615967253,615967254,615967255,615967256,615967257,615967258,615967259,615967260,615967261,615967262,615967263,615967264,615967265,615967266,615967267,615967268,615967269,615967270,pull_request
596842935,e9aea78abc02f8e5c7cd47d074cf59a17be03121,454,master,failed,3257,2019-10-12 01:35:00 UTC,596842936,596842937,596842938,596842939,596842940,596842941,596842942,596842943,596842944,596842945,596842946,596842947,596842948,596842949,596842950,596842951,596842952,596842953,596842954,596842955,596842956,596842957,596842958,596842959,pull_request
596842905,a7e9e55dadfe405a098cbd56306b1ad3c7970bd0,,hax,failed,3311,2019-10-12 00:57:38 UTC,596842906,596842907,596842908,596842909,596842910,596842911,596842912,596842913,596842914,596842915,596842916,596842917,596842918,596842919,596842920,596842921,596842922,596842923,596842924,596842925,596842926,596842927,596842928,596842929,push
596842397,cbf6ee203eb352f306fbe08eb669c8d067098bd6,454,master,canceled,0,,596842398,596842399,596842400,596842401,596842402,596842403,596842404,596842405,596842406,596842407,596842408,596842409,596842410,596842411,596842412,596842413,596842415,596842416,596842418,596842419,596842420,596842421,596842422,596842423,pull_request
596842366,98067fbc8b1f7477c9910e4a77965775296d6fd3,,hax,canceled,0,,596842367,596842368,596842369,596842370,596842371,596842372,596842373,596842374,596842375,596842376,596842377,596842378,596842379,596842380,596842381,596842382,596842383,596842384,596842385,596842386,596842387,596842388,596842389,596842390,push
596842188,3ede28f27562dcc86b420d61656c0e78124bdec8,454,master,canceled,0,,596842189,596842190,596842191,596842192,596842193,596842194,596842195,596842196,596842197,596842198,596842199,596842200,596842201,596842202,596842203,596842204,596842205,596842206,596842207,596842208,596842209,596842210,596842211,596842212,pull_request
596842057,c5478ca08b34acd3ca49e2344fe0f60e2381f3ea,,hax,errored,687,2019-10-12 00:41:06 UTC,596842058,596842059,596842060,596842061,596842062,596842063,596842064,596842065,596842066,596842067,596842068,596842069,596842070,596842071,596842072,596842073,596842074,596842075,596842076,596842077,596842078,596842079,596842080,596842081,push
589197894,f6f2dcb1247747d6b93010c4db9f357b7d763833,450,master,passed,2894,2019-09-24 22:56:09 UTC,589197895,589197896,589197897,589197898,589197899,589197900,589197901,589197902,589197903,589197904,589197905,589197906,589197907,589197908,589197909,589197910,589197911,589197912,589197913,589197914,589197915,589197916,589197917,589197918,pull_request
588942073,abd7d7c8a65accc0ad86a8811ce14a01a386337f,,master,passed,3086,2019-09-24 13:00:08 UTC,588942074,588942075,588942076,588942077,588942078,588942079,588942080,588942081,588942082,588942083,588942084,588942085,588942086,588942087,588942088,588942089,588942090,588942091,588942092,588942093,588942094,588942095,588942096,588942097,push
