build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
529946553,2c97eee7ffb75da327fd2f8f53e8f62170a96019,,azure-pipelines,passed,1413,2019-05-08 19:40:54 UTC,529946554,529946555,529946556,529946559,529946560,529946561,529946562,529946563,529946564,529946565,529946566,529946569,529946570,529946571,push
529946106,19a9c95d5bb924e3c95916927f40ae2a777ce71f,510,master,passed,1214,2019-05-08 19:39:54 UTC,529946107,529946109,529946110,529946112,529946113,529946114,529946115,529946116,529946117,529946118,529946119,529946121,529946122,529946123,pull_request
529944695,9958fdbbdc6721b5b526e397dc3d3376422acb18,510,master,passed,1147,2019-05-08 19:31:10 UTC,529944696,529944697,529944698,529944699,529944700,529944701,529944702,529944703,529944704,529944705,529944706,529944707,529944708,529944709,pull_request
529944668,ce9e1efabcd3026f18f7a64dba27c73c2317d9a8,,azure-pipelines,passed,1105,2019-05-08 19:31:05 UTC,529944669,529944670,529944671,529944672,529944673,529944674,529944675,529944676,529944677,529944678,529944679,529944680,529944681,529944682,push
529930706,a4a181c64517e51139e79d646e01af2465c96fbe,521,master,passed,1216,2019-05-08 19:04:54 UTC,529930707,529930708,529930709,529930710,529930711,529930712,529930713,529930714,529930715,529930716,529930717,529930718,529930719,529930720,pull_request
529929654,88915f6a784bd1744fe1137f7261b17f8d3531ca,510,master,passed,1249,2019-05-08 18:56:19 UTC,529929655,529929656,529929657,529929658,529929659,529929660,529929661,529929662,529929663,529929664,529929665,529929666,529929667,529929668,pull_request
529929605,b467dd3da36753ded6598d236bee78205ac73d0f,,azure-pipelines,passed,1148,2019-05-08 18:56:15 UTC,529929606,529929607,529929608,529929609,529929610,529929611,529929612,529929613,529929614,529929615,529929616,529929617,529929618,529929619,push
529861549,0acfba66f465503a0cc952db0394b2396b5a1cc5,,master,passed,1226,2019-05-08 16:16:29 UTC,529861551,529861552,529861554,529861555,529861556,529861557,529861558,529861559,529861560,529861561,529861562,529861563,529861564,529861565,push
529855573,4293c583f4c8090ba81a2b4f2bac0cbaa29906aa,522,master,passed,1149,2019-05-08 16:02:33 UTC,529855575,529855577,529855578,529855579,529855580,529855581,529855582,529855583,529855584,529855585,529855587,529855588,529855589,529855590,pull_request
527487515,de84609505845edc0e05c2ff918a44085816e35e,,master,passed,1279,2019-05-02 20:51:08 UTC,527487516,527487518,527487519,527487520,527487521,527487523,527487524,527487525,527487526,527487527,527487528,527487529,527487530,527487531,push
526933177,4e3a7377499a1f3d46e624c9ef015d812011a919,522,master,passed,1134,2019-05-01 16:18:13 UTC,526933178,526933179,526933180,526933181,526933182,526933183,526933184,526933185,526933186,526933187,526933188,526933189,526933190,526933191,pull_request
526295658,9556c8e1f6c907d72d968819ce57cea4b2c586ce,506,master,passed,1195,2019-04-30 06:36:00 UTC,526295659,526295660,526295661,526295662,526295663,526295664,526295665,526295666,526295667,526295668,526295669,526295670,526295671,526295672,pull_request
519731196,6fa28b3b074a935038dd701382eb67f0e953d097,,master,passed,1249,2019-04-13 19:04:42 UTC,519731197,519731198,519731199,519731200,519731201,519731202,519731203,519731204,519731205,519731206,519731207,519731208,519731209,519731210,push
511871312,e5ef7712e41f3dd1e025f56ee7c48df9e63c1975,522,master,passed,1206,2019-03-27 07:19:45 UTC,511871313,511871314,511871315,511871316,511871317,511871318,511871319,511871320,511871321,511871322,511871323,511871324,511871325,511871326,pull_request
