build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
743931354,37e6a7e88667b4a98fdf5e946771e2ae0fd847a5,,master,passed,331,2020-11-16 13:07:57 UTC,743931355,743931356,743931357,743931358,743931359,743931360,743931361,743931362,743931363,push
743924882,ae84825a85060ab8c707bb169c5c55ee59d7a6f7,,v4.2.0,passed,321,2020-11-16 12:35:16 UTC,743924883,743924884,743924885,743924886,743924887,743924888,743924889,743924890,743924891,push
743924872,ae84825a85060ab8c707bb169c5c55ee59d7a6f7,,master,passed,331,2020-11-16 12:05:16 UTC,743924873,743924874,743924875,743924876,743924877,743924878,743924879,743924880,743924881,push
743912696,507a7c0bfdf7da3bfb6a0cff9624295cf1119986,,master,passed,322,2020-11-16 10:50:08 UTC,743912697,743912698,743912699,743912700,743912701,743912702,743912703,743912704,743912705,push
743911670,e5ff14f67b9ec09c11a3de2d7b6376b3d0833e25,,master,canceled,0,,743911671,743911672,743911673,743911674,743911675,743911676,743911677,743911678,743911679,push
743911085,f3e6a5754e89cda30fa88ef8b9dfa31e1697a688,,master,canceled,0,,743911086,743911087,743911088,743911089,743911090,743911091,743911092,743911093,743911094,push
743908445,ba23dee9a989087b71608ac893629384810a4d83,,master,canceled,114,2020-11-16 10:20:12 UTC,743908446,743908447,743908448,743908449,743908450,743908451,743908452,743908453,743908454,push
743903985,e3c6e5fb0481c14c326460408c2d0d038adf7ddc,,master,passed,298,2020-11-16 09:51:07 UTC,743903986,743903987,743903988,743903989,743903990,743903991,743903992,743903993,743903994,push
743794216,9c2c529938ba4fd558d967a640210ab629f839e1,115,master,passed,313,2020-11-15 19:26:33 UTC,743794217,743794218,743794219,743794220,743794221,743794222,743794223,743794224,743794225,pull_request
724555985,6e8133724a842cae640ff6fa3d00abd71fd8a457,110,master,failed,306,2020-09-05 23:28:56 UTC,724555986,724555987,724555988,724555989,724555990,724555991,724555992,724555993,724555994,pull_request
694840290,f18fb027cf92bf461040b4d152893c02b9462e94,,master,passed,291,2020-06-04 23:03:36 UTC,694840291,694840292,694840293,694840294,694840295,694840296,694840297,694840298,694840299,push
694839338,d9f3e6f64b275ba729a9011842ddd70b2b8ab4ba,,v4.1.0,passed,305,2020-06-04 23:01:31 UTC,694839339,694839340,694839341,694839342,694839343,694839344,694839345,694839346,694839347,push
694839320,d9f3e6f64b275ba729a9011842ddd70b2b8ab4ba,,master,passed,296,2020-06-04 23:00:26 UTC,694839321,694839322,694839323,694839324,694839325,694839326,694839327,694839328,694839329,push
694634844,1aaf872716cb46330fd49e89663da1a568e54f0b,,master,passed,288,2020-06-04 13:09:51 UTC,694634845,694634846,694634847,694634848,694634849,694634850,694634851,694634852,694634853,push
694610849,fe4b7ff1a7b02064945e6d143e706c23a1d91159,,master,failed,289,2020-06-04 11:48:58 UTC,694610850,694610851,694610852,694610853,694610854,694610855,694610856,694610857,694610858,push
679865704,acd0932548024d1f263d0ba13e82982a0e3f36ec,,master,passed,299,2020-04-26 22:44:49 UTC,679865705,679865706,679865707,679865708,679865709,679865710,679865711,679865712,679865713,push
679863517,26f81d0d323a4276ce94380f5a262ed2e978140f,,master,passed,295,2020-04-26 22:34:54 UTC,679863518,679863519,679863520,679863521,679863522,679863523,679863524,679863525,679863526,push
679862471,e8572751f1c49020029b26185e35e65bff41240f,,v4.0.0,passed,294,2020-04-26 22:31:50 UTC,679862472,679862473,679862474,679862475,679862476,679862477,679862478,679862479,679862480,push
679862457,e8572751f1c49020029b26185e35e65bff41240f,,master,passed,297,2020-04-26 22:30:58 UTC,679862458,679862459,679862460,679862461,679862462,679862463,679862464,679862465,679862466,push
679791206,8ecbb1157822360f5bdb24231fd50f25a6247620,,master,passed,286,2020-04-26 17:56:10 UTC,679791207,679791208,679791209,679791210,679791211,679791212,679791213,679791214,679791215,push
679790234,c98177a4e50b810798583b6859d9c81f80d5d47a,,master,failed,302,2020-04-26 17:52:48 UTC,679790235,679790236,679790237,679790238,679790239,679790240,679790241,679790242,679790243,push
679771307,75d3fef41c5e605853f0c388c77dc44d5b4cbed2,,master,passed,302,2020-04-26 16:48:34 UTC,679771308,679771309,679771310,679771311,679771312,679771313,679771314,679771315,679771316,push
679677982,bb03ca83779b221b5fcf87052d1d7ab69cedcf4a,,master,passed,286,2020-04-26 11:23:51 UTC,679677983,679677984,679677985,679677986,679677987,679677988,679677989,679677990,679677991,push
679677351,575b46ade7188152e1b82de84be949bf3f8a300b,,master,passed,252,2020-04-26 11:20:20 UTC,679677352,679677353,679677354,679677355,679677356,679677357,679677358,679677359,push
679670917,0d8a608386dfd0d1bd8c6cba7e2c1458c707f340,,master,passed,255,2020-04-26 10:41:11 UTC,679670918,679670919,679670920,679670921,679670922,679670923,679670924,679670925,push
679670133,fc8bcd6772b53ef5cc14cd4c6199d63cd2c71f30,,master,passed,247,2020-04-26 10:38:08 UTC,679670134,679670135,679670136,679670137,679670138,679670139,679670140,679670141,push
679549501,05ac98778de3b2dd40e17e7367d615442c2d4df8,102,master,failed,263,2020-04-25 23:37:03 UTC,679549502,679549503,679549504,679549505,679549506,679549507,679549508,679549509,pull_request
679493004,a0212d43c19af75f0452c86146173dd7ed2af72f,102,master,failed,258,2020-04-25 19:01:38 UTC,679493005,679493006,679493007,679493008,679493009,679493010,679493011,679493012,pull_request
679420818,30ed454460be154f4f51952ab12946f66a192f64,102,master,passed,258,2020-04-25 14:31:40 UTC,679420819,679420820,679420821,679420822,679420823,679420824,679420825,679420826,pull_request
679420509,4823305f58cb40072eed18e8be05e8611fc4d898,102,master,passed,261,2020-04-25 14:30:19 UTC,679420510,679420511,679420512,679420513,679420514,679420515,679420516,679420517,pull_request
678391211,51748c24f5aa53175b0f2712b814f7ea581f04e4,,master,passed,262,2020-04-22 23:21:29 UTC,678391212,678391213,678391214,678391215,678391216,678391217,678391218,678391219,push
678390392,92934eff6e7d6c2f92b51953a91bc51136c12226,,master,failed,266,2020-04-22 23:17:52 UTC,678390393,678390394,678390395,678390396,678390397,678390398,678390399,678390400,push
677370538,63df442c44373f82437d08560b2264293d39d766,91,master,passed,255,2020-04-20 18:03:34 UTC,677370539,677370540,677370541,677370542,677370543,677370544,677370545,677370546,pull_request
677040223,8178f6dd74dab47b993ba532dd12f0cfdb5799f1,,master,passed,250,2020-04-19 23:20:49 UTC,677040224,677040225,677040226,677040227,677040228,677040229,677040230,677040231,push
677039292,97a4dab0365d8fc8c5aa799b16986f1053b61b4a,,master,failed,252,2020-04-19 23:16:38 UTC,677039293,677039294,677039295,677039296,677039297,677039298,677039299,677039300,push
673326244,e99d9ffd9ba3523de70ab407ce1c676935a67e1a,99,master,failed,254,2020-04-10 08:16:38 UTC,673326245,673326246,673326247,673326248,673326249,673326250,673326251,673326252,pull_request
668489878,ede7b2096f36dc5988bf0a446ae066245b096ecd,97,master,passed,257,2020-03-29 21:01:49 UTC,668489879,668489880,668489881,668489882,668489883,668489884,668489885,668489886,pull_request
654509472,2a2ca3d3a8a4003c4377f888d3379c23e030bb77,95,master,failed,237,2020-02-24 17:16:55 UTC,654509473,654509474,654509475,654509476,654509477,654509478,654509479,654509480,pull_request
623410333,096ea7f9dd12b26389c4107e7c7e51f3ec67fcd0,91,master,passed,268,2019-12-10 22:29:04 UTC,623410334,623410335,623410336,623410337,623410338,623410339,623410340,623410341,pull_request
596910596,35a0c45729bb269291d642def1bcea2858cf8c70,,master,passed,302,2019-10-12 07:25:24 UTC,596910597,596910598,596910599,596910600,596910601,596910602,596910603,596910604,push
550198795,a5010712589258576a2c7163ebd2033964af1d7d,,master,passed,248,2019-06-25 09:52:02 UTC,550198796,550198797,550198798,550198799,550198800,550198801,550198802,550198803,push
541724604,96fafd43c2d0275f2d4042e95faefce24183ec02,,master,passed,335,2019-06-05 12:54:47 UTC,541724605,541724606,541724607,541724608,541724609,541724610,541724611,541724612,push
541690320,cba759763ec3121ba3d59f1423fd6ed462a49a75,85,master,passed,330,2019-06-05 11:29:11 UTC,541690324,541690325,541690326,541690327,541690328,541690330,541690331,541690332,pull_request
537388054,34cba452392639373e0ffcbda18cfa5bf31fc169,,master,passed,332,2019-05-26 09:14:52 UTC,537388055,537388056,537388057,537388058,537388059,537388060,537388061,537388062,push
537387710,a5e4ce14e7eaee812edeb0d389c093fefb1fc824,,master,passed,350,2019-05-26 09:11:52 UTC,537387711,537387712,537387713,537387714,537387715,537387716,537387717,537387718,push
537295978,413ab8ff2ab614ae4b9c22d7f1ab0f79723e7cae,,master,passed,373,2019-05-25 23:05:59 UTC,537295979,537295980,537295981,537295982,537295983,537295984,537295985,537295986,push
