build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
141169611,64f6005f6b41ea8d70e4c0b00a1b204bce997c4d,,master,errored,37,2016-06-29 19:36:01 UTC,141169616,push
141169456,0740c9ff2e8c8e5f5cf5a92e6332f30b6ae31f58,,master,errored,37,2016-06-29 19:35:27 UTC,141169460,push
141169224,372b4973b95cc66317e968f84527de84cc8144ae,,master,errored,37,2016-06-29 19:33:19 UTC,141169235,push
100084264,343a7ab672d8b4f0ddb84ec240cde7d94b46397a,,master,errored,2094,2016-01-04 10:57:55 UTC,100084268,100084273,100084277,100084280,100084281,100084283,100084285,100084287,100084290,100084291,100084292,100084293,100084294,100084295,100084298,100084299,100084300,100084301,push
100084090,7048b54f984bdf82234d9d16736c35d15c0ab2c9,,master,errored,1987,2016-01-04 10:46:36 UTC,100084091,100084092,100084095,100084098,100084100,100084101,100084102,100084103,100084104,100084105,100084106,100084107,100084108,100084109,100084110,100084113,100084114,100084115,push
99235924,6cb47518af0c0eb8a26d4aa69b773578444c0006,361,master,errored,2115,2015-12-29 10:35:08 UTC,99235926,99235928,99235930,99235931,99235932,99235933,99235934,99235935,99235936,99235937,99235938,99235939,99235940,99235941,99235942,99235943,99235944,99235945,pull_request
98428665,cd6aa9fea11c9b7c00075892b562d5e13d954311,359,master,errored,2005,2015-12-22 23:56:08 UTC,98428666,98428667,98428668,98428669,98428670,98428671,98428673,98428675,98428676,98428679,98428680,98428681,98428682,98428683,98428684,98428685,98428686,98428687,pull_request
93584305,2683517597c6c893b8812c1838464223c3621159,,master,failed,1724,2015-11-27 20:28:25 UTC,93584306,93584307,93584308,93584309,93584310,93584312,93584314,93584316,93584317,93584319,93584322,93584325,93584331,93584332,93584333,93584334,93584335,93584336,push
93580900,c08b59fb9ab26b078e791daaad62990a4b9d5d7d,,master,failed,1528,2015-11-27 19:58:38 UTC,93580901,93580904,93580908,93580909,93580910,93580911,93580912,93580913,93580914,93580915,93580916,93580917,93580918,93580919,93580920,93580921,93580922,93580923,push
91179184,b3293fefe5a2741276a645619f50126ab1fee700,,master,failed,1104,2015-11-15 02:01:56 UTC,91179185,91179186,91179187,91179188,91179189,91179190,91179191,91179192,91179193,91179194,91179195,91179196,91179197,91179198,91179199,91179200,91179201,91179202,push
90804052,7e2f0b0c624e6ae611302f0da1b26a700bdda732,353,master,failed,1683,2015-11-12 19:54:44 UTC,90804053,90804054,90804055,90804056,90804057,90804058,90804059,90804060,90804061,90804062,90804063,90804064,90804065,90804066,90804067,90804068,90804069,90804070,pull_request
90483545,52dde81375a216ac9c7090eb5b64e3d851e59a44,352,master,passed,1572,2015-11-11 09:22:58 UTC,90483546,90483547,90483548,90483549,90483550,90483551,90483552,90483553,90483554,90483555,90483556,90483557,90483558,90483559,90483560,90483561,90483562,90483563,pull_request
87435510,c5f25ddccc99a72d02102ddf4df6ed6dfc829d9f,350,master,canceled,416828,2015-10-27 10:36:46 UTC,87435511,87435514,87435518,87435522,87435526,87435529,87435530,87435531,87435532,87435533,87435534,87435535,87435536,87435537,87435538,87435539,87435540,87435541,pull_request
87162584,3e278db1f2835596fed934ee7a929cded77452b6,349,master,passed,1115,2015-10-24 05:06:23 UTC,87162585,87162586,87162587,87162588,87162589,87162590,87162592,87162595,87162597,87162599,87162601,87162603,87162604,87162605,87162606,87162607,87162608,87162609,pull_request
86956504,f5b8ed10f392d1defc1e4c6530bb5a643a51e5d0,349,master,failed,1175,2015-10-23 03:06:25 UTC,86956505,86956506,86956507,86956508,86956509,86956510,86956511,86956512,86956513,86956514,86956515,86956516,86956517,86956518,86956519,86956520,86956521,86956522,pull_request
85848981,bfe3728dbd72eadbddac233d595a76044055d019,348,master,failed,1232,2015-10-17 00:32:29 UTC,85848986,85848992,85848994,85848995,85848996,85848998,85849002,85849003,85849004,85849005,85849006,85849010,85849014,85849015,85849016,85849018,85849026,85849027,pull_request
85785945,2041e94b9fb208ad6bdd868298f2a8a1be140e0a,347,master,failed,1235,2015-10-16 18:09:28 UTC,85785946,85785947,85785948,85785949,85785950,85785951,85785952,85785953,85785954,85785955,85785956,85785957,85785959,85785961,85785963,85785965,85785967,85785973,pull_request
85785471,e743a67249c5153d824a7f37831b1ae05faf4697,347,master,passed,1574,2015-10-16 18:01:39 UTC,85785477,85785478,85785479,85785480,85785481,85785482,85785483,85785484,85785486,85785490,85785493,85785495,85785497,85785498,85785499,85785500,85785502,85785504,pull_request
83925145,ed0f4f9baa5226ba428bb4e84104e8af815a5eb1,,master,failed,1479,2015-10-06 16:19:47 UTC,83925147,83925148,83925149,83925150,83925151,83925152,83925153,83925154,83925155,83925156,83925157,83925158,83925159,83925160,83925161,83925162,83925163,83925164,push
