build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
759944734,bcafb9b7de4d78d8d1bf4b39ddf8c620d86a3cca,467,master,passed,829,2021-02-22 05:35:40 UTC,759944735,759944736,759944737,759944738,759944739,759944740,759944741,759944742,759944743,759944744,759944745,759944746,759944747,759944748,759944749,pull_request
759944714,c9385a597d65f9fb38f573e9e46790d4a5108ef2,,dependabot/pip/django-3.1.7,passed,821,2021-02-22 05:31:30 UTC,759944715,759944716,759944717,759944718,759944719,759944720,759944722,759944724,759944725,759944726,759944727,759944728,759944729,759944730,759944731,push
757191272,0489a33676bc9542b42b4ef8030a9ab3dee35af0,466,master,passed,832,2021-02-02 07:42:08 UTC,757191273,757191274,757191275,757191276,757191277,757191278,757191279,757191280,757191281,757191282,757191283,757191284,757191285,757191286,757191287,pull_request
757191256,470f6ce29be8cd680b4dc9bd8d4004128179f03d,,dependabot/pip/django-3.1.6,passed,802,2021-02-02 06:08:32 UTC,757191257,757191258,757191259,757191260,757191261,757191262,757191263,757191264,757191265,757191266,757191267,757191268,757191269,757191270,757191271,push
756208607,1a4c2938f28f3869bbd3d371cf522da6090d5295,,master,passed,1068,2021-01-26 07:09:05 UTC,756208608,756208609,756208610,756208611,756208612,756208613,756208614,756208615,756208616,756208617,756208618,756208619,756208620,756208621,756208622,push
756208591,93be1a2d0734daaf281e14a295c0e28c66a4bfd0,,master,canceled,0,,756208592,756208593,756208594,756208595,756208596,756208597,756208598,756208599,756208600,756208601,756208602,756208603,756208604,756208605,756208606,push
752933192,5c187aaf6449ec9c7df081a22fb84468cb1f00f6,,dependabot/pip/django-3.1.5,passed,794,2021-01-05 05:41:33 UTC,752933193,752933194,752933195,752933196,752933197,752933198,752933199,752933200,752933201,752933202,752933203,752933204,752933205,752933206,752933207,push
752933176,2927532607a305d7658dbca2147ef4ff896cbb2b,464,master,passed,808,2021-01-05 05:35:25 UTC,752933177,752933178,752933179,752933180,752933181,752933182,752933183,752933184,752933185,752933186,752933187,752933188,752933189,752933190,752933191,pull_request
750160893,290b49c86fb01ba447cef44a1d51b54f570d1d90,461,master,passed,793,2020-12-17 06:08:44 UTC,750160894,750160895,750160896,750160897,750160898,750160899,750160900,750160901,750160902,750160903,750160904,750160905,750160906,750160907,750160908,pull_request
750160873,af46f56b48bf8edc22ba87a81bfb9397d0261941,,dependabot/pip/requests-2.25.1,passed,789,2020-12-17 05:40:33 UTC,750160874,750160875,750160876,750160877,750160878,750160879,750160880,750160881,750160882,750160883,750160884,750160885,750160886,750160887,750160888,push
747370823,26f7f974370178ec5977394b3e7cadbd41ccbdae,458,master,passed,795,2020-12-03 09:04:16 UTC,747370824,747370825,747370826,747370827,747370828,747370829,747370830,747370831,747370832,747370833,747370834,747370835,747370836,747370837,747370838,pull_request
747134291,751796ad6ed02ed5ac6c8236b22b8d8bbfa8b408,457,master,passed,807,2020-12-02 09:07:12 UTC,747134292,747134293,747134294,747134295,747134296,747134297,747134298,747134299,747134300,747134301,747134302,747134303,747134304,747134305,747134306,pull_request
747134275,07bebb4379f9725cb782a92a4365adacac7270dc,,dependabot/pip/django-3.1.4,passed,885,2020-12-02 06:27:22 UTC,747134276,747134277,747134278,747134279,747134280,747134281,747134282,747134283,747134284,747134285,747134286,747134287,747134288,747134289,747134290,push
743106956,49341260c69173da9f29cad1d94385734f1488ad,454,master,passed,814,2020-11-12 06:27:54 UTC,743106957,743106958,743106959,743106960,743106961,743106962,743106963,743106964,743106965,743106966,743106967,743106968,743106969,743106970,743106971,pull_request
743106938,c2e7996f2efb86b1162e0929a9281fd3abab26be,,dependabot/pip/requests-2.25.0,passed,794,2020-11-12 05:47:34 UTC,743106939,743106940,743106941,743106942,743106943,743106944,743106945,743106946,743106947,743106948,743106949,743106950,743106951,743106952,743106953,push
