build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
479596742,0a1478fdc464f4c9e2121ed07e1e6cbd7107ed36,5566,master,passed,30833,2019-01-15 10:18:18 UTC,479596743,479596744,479596745,479596746,479596747,479596748,479596749,479596750,479596751,479596752,479596753,pull_request
479596689,8370de47c6b36b5b49f9c3ed25cd32c8cfd4f8c8,,ms_wdl_mt,passed,955,2019-01-15 10:10:13 UTC,479596693,479596706,479596709,479596713,479596714,479596715,479596716,479596717,479596720,479596721,479596722,push
479522793,3181c9db50cb75068ca03ccaa756f4bad0377a86,5566,master,canceled,0,,479522794,479522795,479522797,479522799,479522800,479522801,479522803,479522805,479522806,479522807,479522808,pull_request
479522723,56b7333e61418065c01cd5314135a66acf39475d,,ms_wdl_mt,canceled,0,,479522724,479522725,479522726,479522727,479522728,479522729,479522730,479522731,479522732,479522733,479522734,push
478535144,3e7ab92722d76bb00e0e9383c42d0686c79caee5,5566,master,passed,30347,2019-01-11 21:10:02 UTC,478535145,478535146,478535147,478535148,478535149,478535150,478535151,478535152,478535153,478535154,478535155,pull_request
478535098,823585e189051b7db8acb2f1ac475c93e4e28d2a,,ms_wdl_mt,passed,995,2019-01-11 21:10:00 UTC,478535099,478535100,478535101,478535102,478535106,478535107,478535108,478535111,478535113,478535114,478535115,push
478521645,4f6d65de44bde9d53b72596fbb1bcb334d7f695f,,ts_parallel,errored,0,2019-01-11 20:33:15 UTC,478521646,push
478521255,efecb4cafda86ad0cb7ca8992e331282b7f66e36,,lb_allow_customizing_caching_strategy,canceled,0,2019-01-11 20:30:39 UTC,478521256,push
478492969,99ede46dc28935a1780e247dce80e8d40c548603,,lb_add_compare_intervals_tool,failed,13516,2019-01-11 20:32:06 UTC,478492970,478492971,478492972,478492973,478492974,478492975,478492976,push
478460717,55a2a49bf14d9ce3d3679d2865018d5d9045f4a5,5566,master,failed,26427,2019-01-11 18:49:28 UTC,478460720,478460726,478460730,478460734,478460735,478460736,478460737,478460738,478460739,478460740,478460741,pull_request
478460689,16d0b58ad6d13c3726da0d1bf59382ead7e70e5c,,ms_wdl_mt,passed,899,2019-01-11 18:40:09 UTC,478460690,478460693,478460694,478460695,478460698,478460699,478460700,478460703,478460706,478460707,478460708,push
477194495,40c35fb87e099e2bc5bd0f483e1e0eb98e87e1ac,,mkn_cnv_caller_new_way_of_estimating_kernel_density_bandwidth_tmp,errored,40216,2019-01-09 06:11:03 UTC,477194496,477194497,477194498,477194499,477194500,477194503,477194504,477194505,477194506,477194507,477194508,push
477121767,b9cd25fc7fd6bf175282f788b550e2c1b1812bba,,mkn_cnv_caller_new_way_of_estimating_kernel_density_bandwidth,failed,40702,2019-01-09 01:14:57 UTC,477121768,477121777,477121778,477121780,477121782,477121783,477121785,477121786,477121787,477121788,477121789,push
476897105,4e327fabd896be79c59c048b5975dedb0d91a0ce,,mkn_cnv_caller_new_way_of_estimating_kernel_density_bandwidth,failed,36991,2019-01-08 15:28:16 UTC,476897106,476897107,476897108,476897109,476897110,476897111,476897112,476897113,476897114,476897115,476897118,push
