build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
754866595,09800527efa28b4793b794bd076a7089639d44f9,,main,passed,1312,2021-01-17 12:24:51 UTC,754866596,754866597,754866598,754866599,754866600,push
754810777,09800527efa28b4793b794bd076a7089639d44f9,,master,passed,1705,2021-01-16 21:06:43 UTC,754810778,754810779,754810780,754810781,754810782,push
754646639,da965ac2ec8473d5268232c0661e857fba55a549,192,master,passed,1643,2021-01-15 17:57:37 UTC,754646640,754646641,754646642,754646643,754646644,pull_request
754644988,2b2c23b2c99e802d61027621d0e18616bbda4bbd,192,master,canceled,0,,754644989,754644990,754644991,754644992,754644993,pull_request
754639379,5f2cd24d714aecac9d82cdbf975b1738d9e2c535,,master,passed,1714,2021-01-15 15:41:23 UTC,754639380,754639381,754639382,754639383,754639384,push
754639348,3dfb5c8953736eda9fe2e4aa218990942cd660e0,194,master,errored,130,2021-01-15 15:29:47 UTC,754639349,754639350,754639351,754639352,754639353,pull_request
754637159,dbbfada6a1eb6ccf5cb794bafe05ebf4a8eab660,194,master,passed,1268,2021-01-15 15:09:51 UTC,754637160,754637161,754637162,754637163,754637164,pull_request
753572348,bb3b0f73d8149204871d745eab2c593d282dab8b,194,master,passed,1580,2021-01-08 17:35:48 UTC,753572349,753572350,753572351,753572352,753572353,pull_request
753571753,85995a7c26617b1f356746a7fa72e1b702241ac6,194,master,canceled,0,,753571754,753571755,753571756,753571757,753571758,pull_request
748758927,aeb95c9326b374099206ccca7267c2ec80ac7b26,192,master,passed,1517,2020-12-10 14:05:58 UTC,748758928,748758929,748758930,748758931,748758932,pull_request
747800279,3c9355e0baa3c5764f7098946eee7dc8c227ad2d,192,master,errored,452,2020-12-05 13:14:41 UTC,747800280,747800281,747800282,747800283,747800284,pull_request
747708354,4aa8cb44a2ff83c7976421ce9402e7eb78666221,192,master,errored,531,2020-12-04 21:54:10 UTC,747708355,747708356,747708357,747708358,747708359,pull_request
747676771,11de44d63191c8092ed06f41a439f5778415b31c,192,master,errored,524,2020-12-04 18:56:23 UTC,747676772,747676773,747676774,747676775,747676776,pull_request
747674360,4bf3113caedc5ff4f10c10cfb372de8cd92f931b,192,master,canceled,0,,747674361,747674362,747674363,747674364,747674365,pull_request
741906911,c0ee0a761a5ddabcb1afe3edcc8fa4599876cf43,,master,passed,1784,2020-11-06 16:10:54 UTC,741906914,741906915,741906916,741906917,741906918,push
741890216,a1e4c32dac2279eb42c67efa44c111ec00e055b5,191,master,passed,1494,2020-11-06 15:02:43 UTC,741890217,741890218,741890219,741890220,741890221,pull_request
741888361,d9a7e0ddc7548dc9a6c3e3672f2096288756f687,191,master,canceled,0,,741888362,741888363,741888364,741888365,741888366,pull_request
741885319,e6b22fcf68b90b74b870ded556363344c5159822,191,master,errored,741,2020-11-06 14:35:23 UTC,741885320,741885321,741885322,741885323,741885324,pull_request
741880569,34a40bb55bb5316994387a702f45ac0e81527b41,191,master,errored,509,2020-11-06 14:05:10 UTC,741880570,741880571,741880572,741880573,741880574,pull_request
741877557,ebb94130bcd16e95d6eaf487a9af48d91e57506f,191,master,errored,430,2020-11-06 13:44:34 UTC,741877558,741877559,741877560,741877561,741877562,pull_request
