build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
728002241,f67b70eeb4e642d06475c831af530cb31b44d69d,,master,passed,273,2020-09-17 12:50:55 UTC,728002242,728002243,728002244,728002245,728002246,push
727097123,9242283e60a3e450f615961b3cb4206810b91e1b,,master,passed,394,2020-09-14 16:22:57 UTC,727097124,727097125,727097126,727097127,727097128,push
727096574,ac90a3b0d5e427303167e41b84513b67542f76a3,,master,passed,322,2020-09-14 16:20:59 UTC,727096575,727096576,727096577,727096578,727096579,push
718210899,59c20d38c58c76618164760d546aa5b989a79b8b,,master,passed,281,2020-08-15 16:26:50 UTC,718210900,718210901,718210902,718210903,718210904,push
718210691,dc8281535e6ab678de834ec4323f22a6d7534e68,,master,passed,271,2020-08-15 16:25:47 UTC,718210692,718210693,718210694,718210695,718210696,push
717793897,135b87b64ddf982566618ad064a41f9cb9d0f8e4,,master,passed,260,2020-08-14 03:17:06 UTC,717793898,717793899,717793900,717793901,717793902,push
717793014,a3275f4e16c9888a424c76df010233dce8010fa7,,master,passed,269,2020-08-14 03:09:52 UTC,717793015,717793016,717793017,717793018,717793019,push
717792915,5b5e1c6634d988d40e519d144bd036ebe663598c,,master,passed,261,2020-08-14 03:08:33 UTC,717792916,717792917,717792918,717792919,717792920,push
717792587,e36572736b0e2b0cecbdc0ce187249c0aeef7e6c,,master,passed,270,2020-08-14 03:05:44 UTC,717792588,717792589,717792590,717792591,717792592,push
712915619,59eabcdb5c7000d304916c70c6aa34668529a28b,,master,passed,263,2020-07-29 13:30:55 UTC,712915620,712915621,712915622,712915623,712915624,push
712912749,843a8eebce02ab6397da18b19c1a7f35c437a76f,,master,passed,261,2020-07-29 13:22:31 UTC,712912750,712912751,712912752,712912753,712912754,push
712911919,7a7948d39d9aedf9139185ab8a6dd8104837d1b1,,master,passed,393,2020-07-29 13:19:55 UTC,712911920,712911921,712911922,712911923,712911924,push
712911204,0ea76148be2b9366bb97853a36942d93d73ef663,,master,passed,270,2020-07-29 13:17:19 UTC,712911205,712911206,712911207,712911208,712911209,push
712530808,93ed24876457c527c63a8aef996deac3fe46efa3,,master,passed,447,2020-07-28 11:51:03 UTC,712530809,712530810,712530811,712530812,712530813,712530814,push
712363121,a572fdf3dae1ad41727809133a6cce5882006070,,master,passed,322,2020-07-27 22:11:06 UTC,712363122,712363123,712363124,712363125,712363126,712363127,push
712361516,ef2ac0985fed6b8bdf41646d0ca91b7306666b53,,master,passed,314,2020-07-27 22:02:58 UTC,712361517,712361518,712361519,712361520,712361521,712361522,push
712360898,6d1e67d1ff1366ec3a9579a1cc7d21c2edd1a726,,master,passed,326,2020-07-27 22:00:45 UTC,712360899,712360900,712360901,712360902,712360903,712360904,push
712360146,7694cdb3f7fe33511a6273b2896daf8091f264ef,,master,passed,310,2020-07-27 21:58:24 UTC,712360147,712360148,712360149,712360150,712360151,712360152,push
712359473,5b6d85dd282694ca9c2b25f460ce8ffa4f8f352d,,master,passed,317,2020-07-27 21:55:57 UTC,712359474,712359475,712359476,712359477,712359478,712359479,push
712359384,da930a2f4cd56b18ee4a8c91ff0995151e1f951c,,master,passed,448,2020-07-27 21:54:51 UTC,712359385,712359386,712359387,712359388,712359389,712359390,push
712357031,8742bc45c9b6162cfff963de7b8554e65e0f4c97,,master,passed,312,2020-07-27 21:45:19 UTC,712357032,712357033,712357034,712357035,712357036,712357037,push
712356670,e8acb4b0f3fba69e6e3e7613fb32dfbcd2ceba20,,master,passed,350,2020-07-27 21:44:00 UTC,712356671,712356672,712356673,712356674,712356675,712356676,push
712348157,169e16f9f5edf5f74168105c688f7828feecc0cf,28,master,passed,457,2020-07-27 21:14:33 UTC,712348158,712348159,712348162,712348163,712348164,712348165,pull_request
712346349,8d4d509be2e4d612fc5ec07f2a55d332ccd7682d,28,master,failed,322,2020-07-27 21:08:03 UTC,712346350,712346351,712346352,712346353,712346354,712346355,pull_request
712338111,8dcd78313c5187efae20a606bde3eab144892dce,28,master,failed,317,2020-07-27 20:32:43 UTC,712338112,712338113,712338114,712338115,712338116,712338117,pull_request
