build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
730210817,98090f97f08de633f1a0480d411c7e395a3c7a8c,,4-stable,passed,424,2020-09-25 10:06:20 UTC,730210818,730210819,730210820,730210821,push
730210502,8ef38e0e410ae18cf95fb509683114f5a77bca35,,4-stable,passed,465,2020-09-25 10:04:49 UTC,730210503,730210504,730210505,730210506,push
719209394,20be99f4d93d501e1648d791de04a7ce82acae0a,,4-stable,passed,406,2020-08-19 08:33:58 UTC,719209395,719209396,719209397,719209398,push
719208333,cc547f7172926d5cd414ff041c22c0da67a0f991,,4-stable,passed,418,2020-08-19 08:28:16 UTC,719208334,719208335,719208336,719208337,push
719206701,22bd0405f69c812517a734471a59b16e13fd1cf5,,4-stable,failed,379,2020-08-19 08:20:17 UTC,719206702,719206703,719206704,719206705,push
719202769,4434336101213502c90c260d67385fccbbc4708c,,4-stable,failed,437,2020-08-19 08:01:46 UTC,719202770,719202771,719202772,719202773,push
719201994,a242f251f893dd2b54640d5b04e2819227d49b5f,,4-stable,errored,268,2020-08-19 07:58:38 UTC,719201995,719201996,719201997,719201998,719201999,push
702266534,d049a18b4803b3c54763446223cb5b3d9cc1a933,224,master,passed,310,2020-06-26 05:21:14 UTC,702266535,702266536,pull_request
702263234,bc0866bad871d2d64294869704d7665d57da775f,223,master,passed,323,2020-06-26 04:58:46 UTC,702263235,702263236,pull_request
631295227,312df73b5d0937d1124cf0c96d4c90d1153b7d97,,master,errored,55,2019-12-31 13:37:42 UTC,631295228,631295229,push
572271363,964a827c0b99f742ddbcd143b178e79c59aed56a,,master,passed,355,2019-08-15 12:09:41 UTC,572271366,572271367,push
572256179,e80f7fddd372e18d884b06c5739543d64c0e2429,,master,passed,549,2019-08-15 11:22:54 UTC,572256180,572256181,push
572239999,10008493769b8d65bb7f90b639027165accc2bc5,,master,passed,339,2019-08-15 10:34:48 UTC,572240000,572240001,572240002,push
346726899,c1a1f85f791b74e40ee6a1e2d53f19b5f7cbe0ba,,master,passed,743,2018-02-27 11:16:55 UTC,346726900,346726901,346726902,push
345893722,c2d1c2b9b987983a2a4b81a8f979acff356cbf64,,master,passed,746,2018-02-25 11:18:59 UTC,345893723,345893724,345893725,push
345891540,544a5cfd547c88a6c1849440c366c08e47ea1025,,master,errored,635,2018-02-25 11:07:52 UTC,345891541,345891542,345891543,345891544,345891546,push
243617206,81121a81ead81007c2a808795f9a3bdf535e6a7e,,master,failed,602,2017-06-16 10:37:37 UTC,243617207,243617208,243617209,243617210,243617212,push
243371236,bfef05ec780ea7d9aa587dadd22d4d259d8a01dd,213,master,failed,441,2017-06-15 18:15:52 UTC,243371237,243371238,243371239,243371240,243371241,pull_request
197825838,5f8c26280186a2cf282bdb347a5b8fe19377415a,209,master,failed,282,2017-02-02 22:44:07 UTC,197825839,197825840,197825841,197825842,197825843,pull_request
175336821,63c0aea704202ae1e7d5021ec14ad51e8bb1735a,,master,passed,367,2016-11-12 17:04:37 UTC,175336822,175336823,175336824,175336825,175336826,push
