build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
281229577,4f73b804561896d29cf5226bfc4c01f0da26be2e,,master,passed,2506,2017-09-29 10:04:18 UTC,281229581,281229582,281229584,281229587,281229588,281229590,281229591,281229593,281229594,281229595,281229596,281229597,push
281223485,08fbcc9a70d5efea76b6b435267a81959d9f7da2,,master,passed,2468,2017-09-29 09:44:15 UTC,281223486,281223487,281223488,281223489,281223490,281223491,281223492,281223493,281223495,281223497,281223498,281223499,push
280820682,f61ad741f630e864ae6b4d87328e9517c3a31aa6,,master,passed,2576,2017-09-28 11:07:29 UTC,280820683,280820684,280820685,280820686,280820687,280820688,280820691,280820692,280820693,280820694,280820695,280820696,push
280813895,a3ab31785b57a5ffb84f1b51079d6ad7028fe0c7,,master,passed,3066,2017-09-28 10:45:41 UTC,280813896,280813897,280813898,280813899,280813900,280813901,280813902,280813905,280813907,280813908,280813910,280813912,push
280632589,4873417ba2030dcb6e7ac2d8e4e5dded75125598,1204,master,passed,1811,2017-09-27 22:01:17 UTC,280632590,280632591,280632592,280632593,280632594,280632595,280632596,280632597,280632598,280632599,280632600,280632601,pull_request
280628345,61557d25ed61aa4eabe4d3064d5d8f131cbce420,1204,master,passed,1889,2017-09-27 21:54:54 UTC,280628346,280628348,280628349,280628350,280628351,280628353,280628354,280628355,280628356,280628357,280628358,280628359,pull_request
280626390,021798484de054c37488b2e5db78db57251bae24,,master,passed,2333,2017-09-27 21:50:36 UTC,280626392,280626393,280626395,280626396,280626398,280626400,280626404,280626406,280626409,280626411,280626413,280626415,push
280623778,acebeca332095ad3e09d8b65072d434879da557d,1204,master,canceled,1230,2017-09-27 21:42:13 UTC,280623785,280623790,280623800,280623804,280623807,280623810,280623813,280623816,280623818,280623821,280623824,280623829,pull_request
280623692,41529c8bb06c4bda3eef5a14bdfadf225d3d2114,,master,failed,2371,2017-09-27 21:37:08 UTC,280623696,280623697,280623699,280623700,280623701,280623703,280623704,280623705,280623706,280623708,280623709,280623711,push
280623031,da8cf3cab7b14899cdd12c6d3c54b848a206c8eb,,master,canceled,0,,280623032,280623033,280623034,280623036,280623037,280623038,280623040,280623041,280623042,280623043,280623044,280623045,push
280622733,e520c9260ff3b73385a4bb87173d7597a7f161bf,1130,master,errored,172,2017-09-27 21:35:41 UTC,280622734,280622735,280622736,280622739,280622740,280622741,280622746,280622747,280622750,280622751,280622752,280622753,pull_request
280619702,f27ce92125a63c2e7654d2136aa51a445e0aff62,1130,master,errored,1118,2017-09-27 21:29:01 UTC,280619709,280619712,280619716,280619717,280619721,280619724,280619725,280619727,280619728,280619730,280619741,280619743,pull_request
280618820,9460a91983c42bd2ca47cd455638d0eeb0fb4080,1130,master,errored,1085,2017-09-27 21:24:33 UTC,280618821,280618822,280618823,280618824,280618825,280618826,280618827,280618828,280618829,280618830,280618831,280618832,pull_request
280614913,5e1ad2da573224063bfec8894a2d56c0e2ba47dd,1130,master,errored,1060,2017-09-27 21:13:09 UTC,280614914,280614918,280614919,280614920,280614921,280614922,280614923,280614924,280614925,280614926,280614927,280614928,pull_request
280609536,f85216417cd1eeb383e5049996db484a053ee232,1130,master,errored,991,2017-09-27 20:57:50 UTC,280609537,280609538,280609539,280609542,280609544,280609546,280609547,280609548,280609549,280609550,280609552,280609554,pull_request
280600925,c25a90fba05996a9b3ef35246567e7cac91eedc1,1130,master,errored,1007,2017-09-27 20:33:43 UTC,280600926,280600927,280600928,280600929,280600930,280600931,280600932,280600933,280600934,280600935,280600936,280600937,pull_request
280595736,9362cdf1fe2a9064ccbc2ac10e06b20f4d5f3aa6,1130,master,errored,932,2017-09-27 20:20:10 UTC,280595737,280595738,280595739,280595740,280595741,280595743,280595744,280595745,280595746,280595747,280595748,280595749,pull_request
280594071,d2fd54e0a06aa1760dc4dd45ba0c60edf145989e,1130,master,errored,871,2017-09-27 20:15:37 UTC,280594073,280594076,280594080,280594085,280594086,280594089,280594090,280594091,280594092,280594093,280594094,280594095,pull_request
280593447,a0af073e949c8b8fc3e6e60feb0d91b073a0534b,1130,master,canceled,0,,280593448,280593449,280593450,280593451,280593452,280593453,280593454,280593455,280593456,280593457,280593458,280593459,pull_request
280592394,679a35874a4f795d2baceec011b6160130bca11f,1204,master,failed,2576,2017-09-27 20:10:14 UTC,280592395,280592396,280592397,280592398,280592402,280592403,280592405,280592407,280592410,280592411,280592412,280592413,pull_request
280588814,d5803293473279523899466e80d60b82f507fe86,1130,master,errored,922,2017-09-27 20:01:38 UTC,280588816,280588818,280588819,280588820,280588821,280588822,280588823,280588824,280588826,280588827,280588828,280588829,pull_request
280587918,1f8c7b33b93d24495e19a1f7019e48783c948754,1130,master,errored,925,2017-09-27 19:57:28 UTC,280587919,280587921,280587922,280587923,280587924,280587925,280587926,280587927,280587928,280587929,280587930,280587931,pull_request
280581395,5dc75166c32fded4e4b1dbe78d0d9234002bf35c,1130,master,errored,971,2017-09-27 19:39:39 UTC,280581396,280581397,280581398,280581400,280581402,280581405,280581406,280581407,280581408,280581409,280581412,280581413,pull_request
280577494,cae3f7d162973ce78c8b75d23d4a6e433fd53970,1130,master,errored,894,2017-09-27 19:30:19 UTC,280577495,280577496,280577497,280577498,280577499,280577500,280577501,280577502,280577503,280577504,280577505,280577506,pull_request
280575459,0fd11ded0c3ac8706befb85c4f0279174e2890d4,1130,master,errored,942,2017-09-27 19:24:34 UTC,280575460,280575461,280575462,280575464,280575465,280575466,280575468,280575469,280575470,280575471,280575472,280575473,pull_request
280571713,ad42cd0ff948dbfff1c45fcfe0692453ce079d98,,master,failed,2161,2017-09-27 19:13:12 UTC,280571714,280571715,280571716,280571717,280571718,280571719,280571720,280571722,280571723,280571724,280571725,280571727,push
