build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761580471,4ddfb4809663655bbaae66d0bf6152c5033c738b,,v2.11.6,passed,272,2021-03-05 13:51:09 UTC,761580472,push
761578159,4ddfb4809663655bbaae66d0bf6152c5033c738b,,stable/2.11.x,passed,271,2021-03-05 13:26:38 UTC,761578160,push
761574359,1a40d97506877440bffba588971ffd33f1a8315e,,stable/2.11.x,passed,273,2021-03-05 12:38:39 UTC,761574360,push
761573999,cb0c643d837f8e2a44b608d92ce05513c112c471,,stable/2.11.x,passed,59,2021-03-05 12:32:54 UTC,761574000,push
761573903,2d66f4979ccd6b4660e3d204bd02976117ed734a,,stable/2.11.x,passed,264,2021-03-05 12:31:56 UTC,761573904,push
761569719,f374ebda1df3cf091131e232472255b9af4e11a2,,stable/2.11.x,passed,267,2021-03-05 11:40:36 UTC,761569720,push
761440147,6e20cecb7751cd768678face1ce4203bc24dc4b7,,stable/2.11.x,passed,282,2021-03-04 13:59:48 UTC,761440148,push
761437295,92bd56197e33f24f8cb819dc88c2b8c106a39a41,,stable/2.11.x,passed,250,2021-03-04 13:31:02 UTC,761437296,push
760140415,f2dfff80619137903b520c3e943fae43316b6ac0,,after-modeladmin-fix,errored,622,2021-02-23 10:21:17 UTC,760140416,760140417,760140418,760140419,760140420,760140421,760140422,760140423,760140424,760140425,760140426,760140427,760140428,760140429,760140430,760140431,760140432,760140433,push
760140394,1c67aa6a48eba5ca3ae12251436164abd4eb41dd,,caltech-upgrade-point-1,errored,619,2021-02-23 10:17:15 UTC,760140395,760140396,760140397,760140398,760140399,760140400,760140401,760140402,760140403,760140404,760140405,760140406,760140407,760140408,760140409,760140410,760140411,760140412,push
759459964,8b71a13f0a4342f2a4b9503e352ced36a25d8819,,v2.11.5,passed,259,2021-02-18 09:31:20 UTC,759459965,push
759458730,8b71a13f0a4342f2a4b9503e352ced36a25d8819,,stable/2.11.x,passed,240,2021-02-18 09:15:53 UTC,759458731,push
759209785,381245c81c218716f5a23668027e981ca57bf362,,v2.11.4,passed,277,2021-02-16 16:41:57 UTC,759209786,push
759183763,381245c81c218716f5a23668027e981ca57bf362,,stable/2.11.x,passed,273,2021-02-16 12:47:28 UTC,759183764,push
759183223,7803ebcd6354806ee3c854706fe6f2d07fa0057d,,stable/2.11.x,passed,245,2021-02-16 12:34:08 UTC,759183224,push
757375978,0d8d9f56b55a3219d407b6e383223fb5a3839505,,stable/2.11.x,passed,270,2021-02-03 11:05:16 UTC,757375979,push
757375728,0827c8afbd3b4afdae8505836d26b2e5c2d91729,,stable/2.11.x,passed,280,2021-02-03 11:03:17 UTC,757375729,push
756719561,7e6b40c09c2659db562ccd7c187bd46429fba290,,stable/2.11.x,passed,273,2021-01-30 04:56:38 UTC,756719564,push
748834730,69f3f5c0d200785a1151127af4f2b0a4e3ac418d,,v2.11.3,passed,280,2020-12-10 20:29:19 UTC,748834731,push
748823918,69f3f5c0d200785a1151127af4f2b0a4e3ac418d,,stable/2.11.x,passed,279,2020-12-10 19:38:25 UTC,748823919,push
748822471,949a68342e707ac2f1f261fc50b0d905ac44c833,,stable/2.11.x,passed,281,2020-12-10 19:32:51 UTC,748822472,push
748816838,7c2ae57a2d33ca3d637e4de58a078667247af75c,,stable/2.11.x,passed,290,2020-12-10 19:11:04 UTC,748816839,push
748798353,7fd9a49e9cc1db834a80cf5192a57109b54d419b,,stable/2.11.x,passed,270,2020-12-10 17:46:09 UTC,748798354,push
748587549,d249e6015211aa81962cab675efb90b964a43175,,stable/2.11.x,passed,252,2020-12-09 17:48:27 UTC,748587550,push
748367446,e45f188f6c562c7a8d483620ae63dc5171d06d66,,stable/2.11.x,passed,268,2020-12-08 17:04:05 UTC,748367447,push
747623870,bf659bd4a941ce0da3b3685371b9818ea0438bfe,,v2.11.2,passed,281,2020-12-04 14:10:03 UTC,747623871,push
747623755,bf659bd4a941ce0da3b3685371b9818ea0438bfe,,stable/2.11.x,passed,267,2020-12-04 14:09:20 UTC,747623756,push
747621571,7a777b4caa74c0fb1fd8a7beb08711c1a4b8efbe,,v2.11.2,passed,272,2020-12-04 13:53:16 UTC,747621572,push
747621470,7a777b4caa74c0fb1fd8a7beb08711c1a4b8efbe,,stable/2.11.x,passed,266,2020-12-04 13:51:52 UTC,747621471,push
744217759,ecf3950426bc4d117f7be24b8bf6746e89484c7c,,v2.11.2,passed,314,2020-11-17 17:59:50 UTC,744217760,push
744215646,ecf3950426bc4d117f7be24b8bf6746e89484c7c,,stable/2.11.x,passed,287,2020-11-17 17:01:15 UTC,744215647,push
744208072,49f3e5be8e0b305537fe25012b7a00ec4a178820,,stable/2.11.x,passed,287,2020-11-17 16:58:56 UTC,744208073,push
744195851,2fdb2e8aef5932be118d9e277397f25115ea588a,,stable/2.11.x,passed,260,2020-11-17 16:56:28 UTC,744195852,push
744158854,28146e00156f2969d795f0d0f540644357f89269,,stable/2.11.x,passed,274,2020-11-17 11:52:14 UTC,744158855,push
743996436,734199b06af615a4fd9751ae31414db86cd64e4c,,stable/2.11.x,passed,250,2020-11-16 18:12:25 UTC,743996437,push
743959206,6c967dfb8e99199d2f317c3d7423b65f98d2861b,,stable/2.11.x,passed,285,2020-11-16 15:28:10 UTC,743959207,push
743924810,786b91440cb568dc037d923509ea5a1becfb7c07,,stable/2.11.x,passed,313,2020-11-16 12:49:06 UTC,743924811,push
743911643,19cf596af92e6204bbd3fceef09d6418bc383122,,stable/2.11.x,passed,264,2020-11-16 10:42:04 UTC,743911644,push
743456730,9b0fd41e8b43eb78647c53ce1ce325a8e9eb6cfa,,stable/2.11.x,passed,251,2020-11-13 20:37:15 UTC,743456731,push
741939093,0e7e15c4108fd5fd93a6abf6e246a1f9df6b48b2,,v2.11.1,passed,297,2020-11-06 19:37:08 UTC,741939094,push
741935728,0e7e15c4108fd5fd93a6abf6e246a1f9df6b48b2,,stable/2.11.x,passed,257,2020-11-06 19:36:35 UTC,741935729,push
