build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761519707,3cce251c9ed2a9ee66c8f8984fff3d19d45999df,,master,passed,580,2021-03-05 01:20:26 UTC,761519708,761519709,761519710,761519711,761519712,761519713,761519714,761519715,761519716,761519717,761519718,761519719,cron
760526343,3cce251c9ed2a9ee66c8f8984fff3d19d45999df,,master,passed,591,2021-02-26 01:20:01 UTC,760526344,760526347,760526348,760526349,760526350,760526351,760526354,760526355,760526356,760526358,760526359,760526361,cron
759568354,3cce251c9ed2a9ee66c8f8984fff3d19d45999df,,master,passed,542,2021-02-19 01:43:33 UTC,759568355,759568356,759568357,759568358,759568359,759568360,759568361,759568362,759568363,759568364,759568365,759568366,cron
758620675,3cce251c9ed2a9ee66c8f8984fff3d19d45999df,,master,passed,553,2021-02-12 01:55:55 UTC,758620676,758620677,758620678,758620679,758620680,758620681,758620682,758620683,758620684,758620685,758620686,758620687,cron
757630550,3cce251c9ed2a9ee66c8f8984fff3d19d45999df,,master,passed,595,2021-02-05 01:46:34 UTC,757630551,757630552,757630553,757630555,757630556,757630558,757630559,757630560,757630561,757630562,757630563,757630564,cron
756659279,3cce251c9ed2a9ee66c8f8984fff3d19d45999df,,master,passed,563,2021-01-29 04:10:14 UTC,756659280,756659281,756659282,756659283,756659284,756659285,756659286,756659287,756659288,756659289,756659290,756659291,cron
755626130,3cce251c9ed2a9ee66c8f8984fff3d19d45999df,,master,passed,544,2021-01-22 02:30:56 UTC,755626131,755626132,755626133,755626134,755626135,755626136,755626137,755626138,755626139,755626140,755626141,755626142,cron
754618374,a79185e7994f0857eb5f86c81590bc65991fe571,108,master,passed,538,2021-01-15 12:22:47 UTC,754618375,754618376,754618377,754618378,754618379,754618380,754618381,754618382,754618383,754618384,754618385,754618386,pull_request
754558171,3cce251c9ed2a9ee66c8f8984fff3d19d45999df,,master,passed,539,2021-01-15 01:25:58 UTC,754558174,754558175,754558176,754558177,754558178,754558179,754558180,754558181,754558182,754558183,754558184,754558185,cron
753457407,3cce251c9ed2a9ee66c8f8984fff3d19d45999df,,master,passed,549,2021-01-08 01:21:10 UTC,753457408,753457409,753457410,753457411,753457413,753457414,753457415,753457417,753457418,753457420,753457422,753457424,cron
