build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
749817057,d7f3bfc226cdd4b2a3897272a2f3397a6896faa3,,dev-zsx,errored,25617,2020-12-15 14:19:41 UTC,749817058,749817059,749817060,749817061,749817064,749817065,749817066,749817067,749817068,push
749769750,7cb87b85fa16ba5960b0a64f5a05385cba5644f8,,dev-fah,passed,27402,2020-12-15 09:10:27 UTC,749769751,749769752,749769753,749769754,749769755,749769756,749769757,749769758,749769759,push
749761884,ff69868273d0e353e312eea9e7e7fb1acbeaa7f5,,dev-fah,passed,21997,2020-12-15 07:17:05 UTC,749761885,749761886,749761887,749761888,749761889,749761890,749761891,749761892,749761893,push
749753075,e9c8f08f861293d5dc2f4e005b7b6ed47125ef17,,dev-fah,failed,17536,2020-12-15 05:32:39 UTC,749753076,749753077,749753078,749753079,749753080,749753081,749753082,749753083,749753084,push
749740525,678d3bb405f5304a4f8be0af17ae7d1e866a38f6,,dev-zsx,errored,25019,2020-12-15 03:20:58 UTC,749740526,749740527,749740528,749740529,749740530,749740531,749740532,749740533,749740534,push
749555258,1b54999113698cb20ecd0e094ff46f52bf0ceae5,,dev-zsx,errored,25326,2020-12-14 07:29:14 UTC,749555259,749555260,749555261,749555262,749555263,749555264,749555265,749555266,749555267,push
749526841,82a7b50fb41560d1eb1eea367ed3fa77fcca5024,,dev-zsx,errored,24519,2020-12-14 05:24:02 UTC,749526842,749526843,749526844,749526845,749526846,749526847,749526848,749526849,749526850,push
749519398,0b29daf017616d3f6ce1cb4f6cf6ce58101bf932,,dev-zsx,passed,22241,2020-12-14 03:57:01 UTC,749519399,749519400,749519401,749519402,749519403,749519404,749519405,749519406,749519407,push
749515615,98597bab3b9ce6d86f82ad3dcee166531c16ed74,,dev-zsx_test,passed,22054,2020-12-14 02:36:34 UTC,749515616,749515617,749515618,749515619,749515620,749515621,749515622,749515623,749515624,push
748263383,af7d64418cdb4d6337f6d093e5c2c713098d7af1,,dev-zsx_test,failed,17702,2020-12-08 04:04:14 UTC,748263384,748263385,748263386,748263387,748263388,748263389,748263390,748263391,748263392,push
