build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
355324850,0376c18849d3c04097a62c212b42e881eafc667e,329,master,passed,1952,2018-03-19 11:57:19 UTC,355324851,355324852,355324853,355324854,355324855,355324856,355324857,355324858,355324859,355324860,355324861,355324862,pull_request
355321296,808a60f238ff019b84f23baa417ef06d6bc1297d,,master,passed,1740,2018-03-19 11:46:04 UTC,355321297,355321298,355321299,355321300,355321301,355321302,355321303,355321304,355321305,355321306,355321307,355321308,push
352774269,b044a35d3355543f2e109e0c7682b75d9cccccd2,329,master,passed,2011,2018-03-13 10:45:36 UTC,352774270,352774274,352774277,352774278,352774281,352774282,352774284,352774285,352774286,352774287,352774293,352774294,pull_request
352772183,d95ca5b09373b40fcc892ce163296f94b092c00c,328,master,passed,2115,2018-03-13 10:40:03 UTC,352772184,352772185,352772186,352772187,352772188,352772189,352772190,352772191,352772192,352772193,352772194,352772195,pull_request
343389918,70000d8af45f7020a88f796b056cc0a1be2410dd,,master,passed,2134,2018-02-19 14:38:25 UTC,343389919,343389922,343389923,343389924,343389925,343389931,343389932,343389933,343389934,343389935,343389936,343389937,push
343293069,88c4d9e16c803237c9802fb71006455c36b32e96,326,master,passed,2285,2018-02-19 10:03:27 UTC,343293070,343293071,343293072,343293073,343293074,343293075,343293076,343293077,343293078,343293079,343293080,343293081,pull_request
310796662,0fb00bc31000577a2cb567209cfde770566e9613,324,master,passed,2090,2017-12-03 10:07:29 UTC,310796663,310796664,310796665,310796666,310796667,310796668,310796669,310796670,310796671,310796672,310796673,310796674,pull_request
302837899,30177bc4ecdb137a9ef20fb622c079ece7eddda6,323,master,failed,1904,2017-11-16 04:06:41 UTC,302837900,302837901,302837902,302837903,302837904,302837905,302837906,302837907,302837908,302837909,302837910,302837911,pull_request
298895126,cf214174bd1ed63bbc27611f750d62093ffb32b9,322,master,failed,1693,2017-11-08 03:04:43 UTC,298895127,298895128,298895129,298895130,298895131,298895132,298895133,298895134,298895135,298895136,298895137,298895138,pull_request
298894176,7d432e7b9a9fd19d558a19baec281b4c08a83651,322,master,failed,1813,2017-11-08 02:59:51 UTC,298894177,298894178,298894179,298894180,298894181,298894182,298894183,298894184,298894185,298894186,298894187,298894188,pull_request
298873239,acba0cc4d2d1c2369cadc4ceebe68f6bf6118a6f,322,master,failed,1854,2017-11-08 01:37:26 UTC,298873240,298873241,298873242,298873243,298873244,298873245,298873246,298873247,298873248,298873249,298873250,298873251,pull_request
268963675,e9dccdcffd5ff336539b982a8fe6f958ea0b35a3,,master,passed,3239,2017-08-27 18:41:22 UTC,268963677,268963678,268963679,268963680,268963681,268963682,268963683,268963684,268963685,268963686,268963687,268963688,push
268868315,e9218287eb4d61b03d384e8dc9b921ab49a0b4a6,321,master,passed,2822,2017-08-27 10:39:19 UTC,268868317,268868318,268868319,268868320,268868321,268868322,268868323,268868324,268868325,268868326,268868327,268868328,pull_request
256773532,abe77eaf1b5f8da0a7e46135f2966fd294526b7a,,v2.0.8,passed,2327,2017-07-24 07:13:31 UTC,256773533,256773534,256773535,256773536,256773537,256773538,256773539,256773540,256773541,256773542,256773543,256773544,push
256773279,abe77eaf1b5f8da0a7e46135f2966fd294526b7a,,master,passed,2510,2017-07-24 07:05:18 UTC,256773280,256773281,256773282,256773283,256773284,256773285,256773286,256773287,256773288,256773289,256773290,256773291,push
256771756,8e53a8c7b12c61a6698695f8b7f0fa83619512f3,,master,passed,2329,2017-07-24 06:58:32 UTC,256771757,256771758,256771759,256771760,256771761,256771762,256771763,256771764,256771765,256771766,256771767,256771768,push
256721702,213edea0245bb8d4a7a44f68fb8057e5d5bb0c9e,317,master,passed,1806,2017-07-24 01:10:19 UTC,256721703,256721704,256721705,256721706,256721707,256721708,256721709,256721710,256721711,256721712,256721713,256721714,pull_request
255139407,dc5fd9f357f22880f2ea03af8bc18a1cefdb3d67,,master,passed,2251,2017-07-19 06:43:44 UTC,255139408,255139409,255139410,255139411,255139412,255139413,255139414,255139415,255139416,255139417,255139418,255139419,push
255139122,924e5a0b511a076457394b250db12c925a964424,,master,passed,2226,2017-07-19 06:36:10 UTC,255139123,255139124,255139125,255139126,255139127,255139128,255139129,255139130,255139131,255139132,255139133,255139134,push
255139062,c0c6e6e1dc498433115d918e3fbf76ea139f953a,,master,passed,2519,2017-07-19 06:30:01 UTC,255139063,255139065,255139068,255139069,255139071,255139074,255139076,255139078,255139079,255139080,255139081,255139082,push
255138991,727cd5a554e6f16d59e394657d48cc0d1bf01135,,master,canceled,38,2017-07-19 06:29:29 UTC,255138992,255138993,255138994,255138995,255138996,255138997,255138998,255138999,255139000,255139001,255139002,255139003,255139004,255139005,push
255137378,f928612e94c3875c91b6d8bd85e0d4a854ea9fb7,,master,canceled,761,2017-07-19 06:24:59 UTC,255137379,255137380,255137381,255137382,255137383,255137384,255137385,255137386,255137387,255137388,255137389,255137390,255137391,255137392,255137393,255137394,255137395,255137396,push
255136551,c037ff307e4dac756cc35da78c75710f17891a06,,master,failed,3275,2017-07-19 06:16:16 UTC,255136552,255136553,255136554,255136555,255136556,255136557,255136558,255136559,255136560,255136561,255136562,255136563,255136564,255136565,255136566,255136567,255136568,255136569,push
255076541,650872ef5a4ef604ac3f6002f10fdf0884bca5b6,320,master,failed,3363,2017-07-19 00:17:17 UTC,255076542,255076543,255076544,255076545,255076546,255076547,255076548,255076549,255076550,255076551,255076552,255076553,255076554,255076555,255076557,255076558,255076560,255076561,pull_request
238768174,25c2a442faa404ab5f87669fea4d9100c41d4c20,317,master,failed,2941,2017-06-02 14:26:17 UTC,238768175,238768176,238768177,238768178,238768179,238768180,238768181,238768182,238768183,238768184,238768185,238768186,238768187,238768188,238768189,238768190,238768191,238768192,pull_request
238767866,4953c23df46308d691a8078ce72597dcd80cfd6e,318,master,failed,2887,2017-06-02 14:14:27 UTC,238767867,238767868,238767869,238767870,238767871,238767872,238767873,238767874,238767875,238767876,238767877,238767878,238767879,238767880,238767881,238767882,238767883,238767884,pull_request
238754615,a7bdb880b86988c25ae6fc140b5cf6ed554eaea8,317,master,failed,2992,2017-06-02 13:39:34 UTC,238754616,238754617,238754618,238754619,238754620,238754621,238754622,238754623,238754626,238754627,238754628,238754629,238754630,238754631,238754632,238754633,238754634,238754635,pull_request
232799179,90c603c6539c38e596efb85dff2e5d0e3bf68057,,master,failed,2453,2017-05-16 12:09:42 UTC,232799180,232799181,232799182,232799183,232799184,232799185,232799186,232799187,232799188,232799189,232799190,232799191,232799192,232799193,232799194,232799195,232799196,232799197,push
232322967,51d9a3f085552b3dfb27f5d614dff14c2d7e1dd6,,master,passed,2713,2017-05-16 07:13:37 UTC,232322968,232322969,232322970,232322971,232322972,232322973,232322974,232322975,232322976,232322977,232322978,232322979,232322980,232322981,232322982,232322983,232322984,232322985,push
223674169,a92175095a97c399c40479b6689ab814ddf4d6f4,,master,passed,2354,2017-04-19 18:35:45 UTC,223674171,223674172,223674173,223674174,223674175,223674176,223674177,223674178,223674179,223674180,223674181,223674182,223674183,223674184,223674185,223674186,223674187,223674188,push
223620961,1a6680d353b158b2402096ef4f0251a50b839e06,314,master,passed,2591,2017-04-19 16:13:46 UTC,223620963,223620967,223620970,223620972,223620974,223620976,223620977,223620979,223620983,223620984,223620985,223620987,223620988,223620990,223620995,223620996,223620997,223620998,pull_request
215965641,9c9ad648fadf9aa62fd7315e2d577a9699ff404b,312,master,passed,2068,2017-03-28 15:11:22 UTC,215965642,215965643,215965644,215965645,215965646,215965647,215965648,215965649,215965650,215965651,215965652,215965653,215965654,215965655,pull_request
215965487,cbf51f77092285e66204ac2af438f04728562b6f,312,master,passed,2194,2017-03-28 15:13:12 UTC,215965488,215965489,215965490,215965491,215965492,215965493,215965494,215965495,215965496,215965497,215965498,215965499,215965500,215965501,pull_request
215960022,f3dcad2f0cb79a7d37a985c0ca1611df324d39e3,312,master,passed,2131,2017-03-28 15:03:13 UTC,215960023,215960024,215960025,215960026,215960027,215960028,215960029,215960030,215960031,215960032,215960033,215960034,215960035,215960036,pull_request
215959856,b4d595970dc5a662fd9ba3a143576bb602a99639,312,master,passed,1995,2017-03-28 14:49:04 UTC,215959857,215959858,215959859,215959860,215959861,215959862,215959863,215959864,215959866,215959868,215959869,215959871,215959872,215959873,pull_request
215959603,6a1cca59a1a7e3e5b7c25a160d3da13b3090b606,312,master,passed,2175,2017-03-28 14:41:15 UTC,215959604,215959605,215959606,215959607,215959608,215959609,215959610,215959611,215959612,215959613,215959614,215959615,215959616,215959617,pull_request
215952576,68b08fff4418ac0dba80c1a6a856e112c6915b6f,312,master,passed,1947,2017-03-28 14:33:19 UTC,215952577,215952578,215952579,215952580,215952581,215952582,215952583,215952584,215952585,215952586,215952587,215952588,215952589,215952590,pull_request
