build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
756824483,be822821e72b3944fbf99d0bf52da553ffef85b8,5337,master,errored,1004,2021-01-30 16:39:27 UTC,756824484,756824485,756824486,756824487,756824488,756824489,756824490,756824491,756824492,756824493,756824494,756824495,756824496,756824497,756824498,756824499,756824500,756824501,756824502,756824503,756824504,756824505,756824506,756824507,756824508,756824509,756824510,756824511,756824512,756824513,756824514,756824515,756824516,756824517,756824518,756824519,756824520,756824521,756824522,756824523,756824524,pull_request
756702859,2487775bcb51da597cb9c6d7c250ec9b650ad96c,5327,master,passed,5926,2021-01-30 08:49:57 UTC,756702860,756702861,756702862,756702863,756702864,756702865,756702866,756702867,756702868,756702869,756702870,756702871,756702872,756702873,756702874,756702875,756702876,756702877,756702878,756702879,756702880,756702881,756702882,756702883,756702884,756702885,756702886,756702887,756702888,756702889,756702890,756702891,756702892,756702893,756702894,756702895,756702896,756702897,756702898,756702899,756702900,pull_request
756702813,51c05a5b212f376180141fff9077075d0340c8ab,,ca-omniauth-2,passed,5951,2021-01-29 12:45:39 UTC,756702814,756702815,756702816,756702817,756702818,756702819,756702820,756702821,756702822,756702823,756702824,756702825,756702826,756702827,756702828,756702829,756702830,756702831,756702832,756702833,756702834,756702835,756702836,756702837,756702838,756702839,756702840,756702841,756702842,756702843,756702844,756702845,756702846,756702847,756702848,756702849,756702850,756702851,756702852,756702853,756702854,push
756250797,a9e06e4905326e01d706041a576481cd64bf5f61,5336,master,errored,1041,2021-01-26 14:37:47 UTC,756250798,756250799,756250800,756250801,756250802,756250803,756250804,756250805,756250806,756250807,756250808,756250809,756250810,756250811,756250812,756250813,756250814,756250815,756250816,756250817,756250818,756250819,756250820,756250821,756250822,756250823,756250824,756250825,756250826,756250827,756250828,756250829,756250830,756250831,756250832,756250833,756250834,756250835,756250836,756250837,756250838,pull_request
755934988,81bf3ad8c1e3812448ba4588598493c8e80ecf10,,master,failed,5460,2021-01-24 11:51:38 UTC,755934989,755934990,755934991,755934992,755934993,755934994,755934995,755934996,755934997,755934998,755934999,755935000,755935001,755935002,755935003,755935004,755935005,755935006,755935007,755935008,755935009,755935010,755935011,755935012,755935013,755935014,755935015,755935016,755935017,755935018,755935019,755935020,755935021,755935022,755935023,755935024,755935025,755935026,755935027,755935028,755935029,push
755919042,a1b2d4bc6aafb2a27139beb7659aa63694296834,5334,master,failed,5499,2021-01-24 07:24:08 UTC,755919043,755919044,755919045,755919046,755919047,755919048,755919049,755919050,755919051,755919052,755919053,755919054,755919055,755919056,755919057,755919058,755919059,755919060,755919061,755919062,755919063,755919064,755919065,755919066,755919067,755919068,755919069,755919070,755919071,755919072,755919073,755919074,755919075,755919076,755919077,755919078,755919079,755919080,755919081,755919082,755919083,pull_request
755680725,41e2901e883a9f7144b4c8b13cc937bfd3c5aee9,5327,master,passed,5914,2021-01-23 00:59:49 UTC,755680726,755680727,755680728,755680729,755680730,755680731,755680732,755680733,755680734,755680735,755680736,755680737,755680738,755680739,755680740,755680741,755680742,755680743,755680744,755680745,755680746,755680747,755680748,755680749,755680750,755680751,755680752,755680753,755680754,755680755,755680756,755680757,755680758,755680759,755680760,755680761,755680762,755680763,755680764,755680765,755680766,pull_request
755680678,1d138dd40cdc291a427b89027d16a869818a5c19,,ca-omniauth-2,passed,5937,2021-01-22 12:57:05 UTC,755680679,755680680,755680681,755680682,755680683,755680684,755680685,755680686,755680687,755680688,755680689,755680690,755680691,755680692,755680693,755680694,755680695,755680696,755680697,755680698,755680699,755680700,755680701,755680702,755680703,755680704,755680705,755680706,755680707,755680708,755680709,755680710,755680711,755680712,755680713,755680714,755680715,755680716,755680717,755680718,755680719,push
755225897,5d25a68a1b0f304bbc9e4c7ba7aba62faef7040a,5327,master,passed,6007,2021-01-20 00:20:12 UTC,755225898,755225899,755225900,755225901,755225902,755225903,755225904,755225905,755225906,755225907,755225908,755225909,755225910,755225911,755225912,755225913,755225914,755225915,755225916,755225917,755225918,755225919,755225920,755225921,755225922,755225923,755225924,755225925,755225926,755225927,755225928,755225929,755225930,755225931,755225932,755225933,755225934,755225935,755225936,755225937,755225938,pull_request
755225843,c43ae8cb4723726916a01a9b7f561b6efe3a3308,,ca-omniauth-2,passed,5958,2021-01-19 19:01:52 UTC,755225844,755225845,755225846,755225847,755225848,755225849,755225850,755225851,755225852,755225853,755225854,755225855,755225856,755225857,755225858,755225859,755225860,755225861,755225862,755225863,755225864,755225865,755225866,755225867,755225868,755225869,755225870,755225871,755225872,755225873,755225874,755225875,755225876,755225877,755225878,755225879,755225880,755225881,755225882,755225883,755225884,push
