build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
645245799,f67840ea5bea011c9afb0783560d853dfe37c9ff,945,master,passed,145,2020-02-03 01:27:36 UTC,645245800,pull_request
633729832,7159616642e0be7c5b3ef380b848e16b7e99355b,,master,passed,134,2020-01-07 11:48:54 UTC,633729833,push
633700778,2868d13459ae8c560c84c4336e94a1ecac31928e,944,master,passed,144,2020-01-07 10:26:55 UTC,633700779,pull_request
628997807,1db5572aa4bac6c40fd811c51dd63f1b6ad57dcf,,master,passed,138,2019-12-24 06:01:55 UTC,628997808,push
628002266,8be56f052810747946e12a32e63afdb376b4af98,838,master,passed,142,2019-12-21 03:43:51 UTC,628002267,pull_request
626026328,456fad18bb0cfacc7fbc1fb7588f369c8b039abb,,master,passed,156,2019-12-17 05:04:07 UTC,626026329,push
626009773,3038a31df581295ad93f4aecf7e8189764eaf79d,942,master,passed,162,2019-12-17 03:54:07 UTC,626009774,pull_request
626008381,f40a5c0c886f7468fbdd99c1f53be31d6fa4b354,942,master,passed,163,2019-12-17 03:47:40 UTC,626008382,pull_request
626006732,bd44366fc671791ebf96bac62c8d91903e65514d,942,master,passed,131,2019-12-17 03:38:55 UTC,626006733,pull_request
622975354,e60412ea897a86ca8d1be2b5fc4f5ab5f7726fa9,793,master,failed,57,2019-12-10 01:38:20 UTC,622975355,pull_request
622975114,77672294458e615ddaae34aa409da075242904d3,,eval-point-coco,failed,59,2019-12-10 01:37:28 UTC,622975115,push
622528312,fa5981a646d1639b282f036e89cc52323de88e4a,,master,passed,132,2019-12-09 07:42:52 UTC,622528313,push
622516300,ba1d13d03827691b9bc395a72470c315a651fae8,940,master,passed,168,2019-12-09 07:08:55 UTC,622516301,pull_request
622509649,9ea3cecf71227c6cf73d27d6bc97a7bfa36962ed,939,master,failed,221,2019-12-09 06:47:44 UTC,622509650,622509651,pull_request
622509600,ab9c0341dd353d137886f998714c6f4b46dfb636,,revert-787-point-data,failed,208,2019-12-09 06:47:33 UTC,622509601,622509602,push
622439856,862f822a38ad1cad5115054480a0eb482c603e7d,938,master,passed,137,2019-12-09 01:30:14 UTC,622439857,pull_request
622418531,60f6de1e62b6973cef67aff6aed5a37b41f0caa3,793,master,failed,206,2019-12-08 23:40:32 UTC,622418532,622418533,pull_request
622418454,e561b703d480cc07ae17e34042bd1a258808ac28,,eval-point-coco,errored,38,2019-12-08 23:40:17 UTC,622418455,622418456,push
621493460,b9c774c6e6c6ed66a33907ed4417f1c32f37329a,838,master,failed,209,2019-12-06 08:27:02 UTC,621493462,621493463,pull_request
621484742,dd53840cb85f7aa4cf3b65eb855d7febce87f057,,master,failed,219,2019-12-06 08:01:18 UTC,621484743,621484744,push
621466041,1ca701d68f3c7c9e87bf9b5bbf2ece6270be7794,,master,failed,181,2019-12-06 06:34:32 UTC,621466042,621466043,push
611118998,b9355fa675ec5c7d16bf07c73c8956d25ad8bcb0,,master,passed,291,2019-11-12 23:11:03 UTC,611118999,611119000,push
610759798,859956aae4222425ae6fe58d667c8f619504d212,936,master,passed,333,2019-11-12 09:05:31 UTC,610759799,610759800,pull_request
610731458,04b28a806e6485e4c3da46291ab3e7c58349e144,,master,passed,276,2019-11-12 07:42:58 UTC,610731459,610731460,push
610707040,80dbdf8157597cf1d8d5d86b904831d0f864dc5a,935,master,passed,281,2019-11-12 06:15:29 UTC,610707041,610707042,pull_request
