build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
693429228,80b32e3075e42f535d66c6f5fb55d816133793c9,,master,passed,3188,2020-06-01 12:28:33 UTC,693429229,693429230,693429231,693429232,693429233,693429234,693429235,693429236,693429237,693429238,693429239,693429240,693429241,693429242,693429243,693429244,693429245,693429246,693429247,693429248,693429249,693429250,693429251,693429252,push
693281025,e6a3b4de163e0773b6c97e78098909384418b88c,1117,master,passed,3230,2020-06-01 01:12:17 UTC,693281026,693281027,693281028,693281029,693281030,693281031,693281032,693281033,693281034,693281035,693281036,693281037,693281038,693281039,693281040,693281041,693281042,693281043,693281044,693281045,693281046,693281047,693281048,693281049,pull_request
693090833,d9d5b462ce992b946034a6bf56322bdc3a446901,1114,master,passed,4559,2020-05-31 23:56:33 UTC,693090834,693090835,693090836,693090837,693090838,693090839,693090840,693090841,693090842,693090843,693090844,693090845,693090846,693090847,693090848,693090849,693090850,693090851,693090852,693090853,693090854,693090855,693090856,693090857,pull_request
693036237,d8a30bcd7bb56d4d889b59038335085bc1d799ec,1114,master,passed,4760,2020-05-31 02:28:18 UTC,693036238,693036239,693036240,693036241,693036242,693036243,693036244,693036245,693036246,693036247,693036248,693036249,693036250,693036251,693036252,693036253,693036254,693036255,693036256,693036257,693036258,693036259,693036260,693036261,pull_request
692846220,f08ae07129466c926cf059fa6951c9a616ad5f7a,1114,master,errored,3674,2020-05-30 10:39:55 UTC,692846221,692846222,692846223,692846224,692846225,692846226,692846227,692846228,692846229,692846230,692846231,692846232,692846233,692846234,692846235,692846236,692846237,692846238,692846239,692846240,692846241,692846242,692846243,692846244,pull_request
692845651,b962488e8619e28ff920557549b5d97fc2fcec6f,1114,master,errored,3992,2020-05-30 10:25:15 UTC,692845652,692845653,692845654,692845655,692845656,692845657,692845658,692845659,692845660,692845661,692845662,692845663,692845664,692845665,692845666,692845667,692845668,692845669,692845670,692845671,692845672,692845673,692845674,692845675,pull_request
692844858,25d73dded1bf1e0e22f9f9677b5b9a25815544c2,1114,master,canceled,0,,692844859,692844860,692844861,692844862,692844863,692844864,692844865,692844866,692844867,692844868,692844869,692844870,692844871,692844872,692844873,692844874,692844875,692844876,692844877,692844878,692844879,692844880,692844881,692844882,pull_request
692843076,c3aa288711c1e4745141eae8d973a3e0e611c570,1114,master,errored,4009,2020-05-30 10:09:24 UTC,692843077,692843078,692843079,692843080,692843081,692843082,692843083,692843084,692843085,692843086,692843087,692843088,692843089,692843090,692843091,692843092,692843093,692843094,692843095,692843096,692843097,692843098,692843099,692843100,pull_request
692842401,f97fe4a48e35a4765aa02048acc12baeab7214f6,1114,master,errored,2471,2020-05-30 09:59:02 UTC,692842402,692842403,692842404,692842405,692842406,692842407,692842408,692842409,692842410,692842411,692842412,692842413,692842414,692842415,692842416,692842417,692842418,692842419,692842420,692842421,692842422,692842423,692842424,692842425,pull_request
692840181,420089afeec768ec016512540a07a54d27de7c70,1114,master,errored,2429,2020-05-30 09:48:37 UTC,692840182,692840183,692840184,692840185,692840186,692840188,692840189,692840190,692840191,692840192,692840193,692840195,692840196,692840197,692840199,692840200,692840201,692840202,692840203,692840204,692840205,692840206,692840207,692840208,pull_request
