build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
749039289,0f313e4104b14b293159d6832055555551fdec98,,master,passed,551,2020-12-11 13:42:52 UTC,749039290,749039291,749039292,749039293,749039294,749039295,749039296,749039297,749039298,749039299,749039300,749039301,push
748739960,8d91453918236c57c5fc7dbeacff9b81295f6df9,,master,passed,547,2020-12-10 11:41:17 UTC,748739961,748739962,748739963,748739964,748739965,748739966,748739967,748739968,748739969,748739970,748739971,748739972,push
743587666,d7c59621c27ab43f6b399e510cd7b79b13294326,,master,passed,567,2020-11-14 13:15:49 UTC,743587667,743587669,743587670,743587671,743587674,743587676,743587679,743587681,743587683,743587686,743587688,743587690,push
743586720,aba852aa040e66b2c1f08a419caa9e530578589f,,master,passed,552,2020-11-14 13:03:54 UTC,743586721,743586722,743586723,743586724,743586725,743586726,743586727,743586728,743586729,743586730,743586731,743586732,push
743468668,16d84e4cadc67f7f3d81dcdb75dc2fde1905e37a,,master,passed,555,2020-11-14 01:49:57 UTC,743468669,743468670,743468671,743468672,743468673,743468674,743468675,743468676,743468677,743468678,743468679,743468680,push
743468651,76c2a9aff689a4096480cd039046da22bbbe7897,,0.20-bugfix,passed,560,2020-11-13 20:10:01 UTC,743468652,743468653,743468654,743468655,743468656,743468657,743468658,743468659,743468660,743468661,743468662,743468663,743468664,743468665,743468666,743468667,push
743465661,ff2acf1c02bd392cd292d22ae930e5f5f6348d3b,,master,canceled,-6834,2020-11-13 19:13:48 UTC,743465662,743465663,743465664,743465665,743465666,743465667,743465668,743465669,743465670,743465671,743465672,743465673,push
743465438,fc9e6fc6ace58dc2b9aa7ad9e3d68a3038974330,,master,canceled,0,,743465439,743465440,743465441,743465442,743465443,743465444,743465445,743465446,743465447,743465448,743465449,743465450,push
742960839,979147905da6266674c03aed04680b356f7bfe9c,863,master,passed,585,2020-11-11 15:51:14 UTC,742960840,742960841,742960842,742960843,742960844,742960845,742960846,742960847,742960848,742960850,742960851,742960853,pull_request
742832449,7ffd9b4bb4ad3dbfd9e1a2437a316a417eaf1ff6,862,master,passed,570,2020-11-11 09:35:28 UTC,742832450,742832451,742832452,742832453,742832454,742832455,742832456,742832457,742832458,742832459,742832460,742832461,pull_request
742786458,15580483e5fa587d31396bb516767d8c359bb025,,0.20.1-release,passed,541,2020-11-11 06:43:18 UTC,742786459,742786460,742786461,742786462,742786463,742786464,742786465,742786466,742786467,742786468,742786469,742786470,742786471,742786472,742786473,742786474,push
742786427,c94c8f833bbccc4124f2c836d1e248166a4facfe,,master,passed,563,2020-11-11 04:16:15 UTC,742786428,742786429,742786430,742786431,742786432,742786433,742786434,742786435,742786436,742786437,742786438,742786439,push
742786108,15580483e5fa587d31396bb516767d8c359bb025,,0.20-bugfix,passed,561,2020-11-10 20:54:27 UTC,742786109,742786110,742786111,742786112,742786113,742786114,742786115,742786116,742786117,742786118,742786119,742786120,742786121,742786122,742786123,742786124,push
742293783,e66dc0ac766ad38bba41dea9a1612dcda2b2fb5e,,master,passed,597,2020-11-08 21:19:49 UTC,742293784,742293785,742293786,742293787,742293788,742293789,742293790,742293791,742293792,742293793,742293794,742293795,push
740569361,081e3f2d8dbdf08e3ea53bdfea115914c48cc002,,master,passed,563,2020-11-01 09:28:14 UTC,740569362,740569363,740569364,740569365,740569366,740569367,740569368,740569369,740569370,740569371,740569372,740569373,push
