build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
755079173,3c4a4f9420bc19dbe4bc592070c51b73e71fbf6c,1307,master,passed,2418,2021-01-18 23:32:29 UTC,755079174,755079175,755079176,755079177,755079178,755079180,755079181,755079183,755079184,755079186,755079188,755079190,755079191,755079193,755079195,755079197,755079199,pull_request
755079155,8017e058fa886f152b19fc7bb573ecd2a325b97b,,use_records_for_joined_resources,passed,2457,2021-01-18 22:39:21 UTC,755079156,755079157,755079158,755079159,755079160,755079161,755079162,755079163,755079164,755079165,755079166,755079167,755079168,755079169,755079170,755079171,755079172,push
755073253,6df561ec9228f1b7672d4849fa4dfdd8e31fda35,1314,master,passed,2429,2021-01-18 21:29:59 UTC,755073254,755073255,755073256,755073257,755073258,755073259,755073260,755073261,755073262,755073263,755073264,755073265,755073266,755073267,755073268,755073269,755073270,pull_request
755073235,cdc59394567dec43fc7a85f6663e77f1c16f6613,,md5_cache_keys,passed,2393,2021-01-18 19:48:58 UTC,755073236,755073237,755073238,755073239,755073240,755073241,755073242,755073243,755073244,755073245,755073246,755073247,755073248,755073249,755073250,755073251,755073252,push
754661298,aefca55b81fdb62ff5410e0de7d068d1b166c6e4,1314,master,passed,2443,2021-01-15 21:18:59 UTC,754661299,754661300,754661301,754661302,754661303,754661304,754661305,754661306,754661307,754661308,754661309,754661310,754661311,754661312,754661313,754661314,754661315,pull_request
754661278,66990236be29bfa2dba6388dfad48af63e030bd4,,md5_cache_keys,passed,2488,2021-01-15 19:26:28 UTC,754661279,754661280,754661281,754661282,754661283,754661284,754661285,754661286,754661287,754661288,754661289,754661290,754661291,754661292,754661293,754661294,754661295,push
754652748,d90b932293c393e97333437da56e3a3b9a843696,1314,master,canceled,0,,754652749,754652750,754652751,754652752,754652753,754652754,754652755,754652756,754652757,754652758,754652759,754652760,754652761,754652762,754652763,754652764,754652765,pull_request
754652722,1a529c10749089e990391cd6aab8151d8cb2bcee,,md5_cache_keys,errored,1002,2021-01-15 16:53:20 UTC,754652723,754652724,754652725,754652726,754652727,754652728,754652729,754652730,754652731,754652732,754652733,754652734,754652735,754652736,754652737,754652738,754652739,push
754190378,a27cc30d4495ed81d2a5f7d1db83b688ecbed0e4,1348,master,passed,2452,2021-01-12 23:03:48 UTC,754190379,754190380,754190381,754190382,754190383,754190384,754190385,754190386,754190387,754190388,754190389,754190390,754190391,754190392,754190393,754190394,754190395,pull_request
754190360,c544a06b676a6d286975e02d509fa120aaecf24a,,refactor_for_simple_serialization,passed,2460,2021-01-12 21:52:53 UTC,754190361,754190362,754190363,754190364,754190365,754190366,754190367,754190368,754190369,754190370,754190371,754190372,754190373,754190374,754190375,754190376,754190377,push
