build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
595775110,b867b871389a4c8db4bbe4ea00cb597f1377ac38,459,kinetic-devel,failed,6206,2019-10-09 19:10:21 UTC,595775111,595775112,595775113,595775114,595775115,595775116,pull_request
591048294,48830864d014c9294dca77ae01df89d5567ffbaa,457,kinetic-devel,passed,6687,2019-09-29 09:02:15 UTC,591048295,591048296,591048297,591048298,591048299,591048300,pull_request
586658709,5eca4e6df1acb004c63a9a55ca9bd773eb1d3f32,,kinetic-devel,passed,6889,2019-09-18 18:03:36 UTC,586658710,586658711,586658712,586658713,586658714,586658715,push
585645778,678ef99e787f1a179043c2f77bb60974c2d024a4,371,melodic-devel,passed,6741,2019-09-16 15:37:18 UTC,585645779,585645781,585645782,585645783,585645784,585645786,pull_request
585611411,45a1db63638ee3d540277ce0abdcf6ed5ffe0b46,371,melodic-devel,passed,6889,2019-09-16 14:24:49 UTC,585611412,585611413,585611414,585611415,585611416,585611417,pull_request
585585061,c8c27c15579fad1d817cc6cfac7a8e62a3da081d,,melodic-devel,passed,7722,2019-09-16 14:02:14 UTC,585585062,585585063,585585064,585585065,585585066,585585067,push
585583338,c8c27c15579fad1d817cc6cfac7a8e62a3da081d,,kinetic-devel,passed,7152,2019-09-16 13:42:15 UTC,585583339,585583340,585583341,585583342,585583343,585583344,push
585500407,7349e218f3211bdd48205d4f744647e0922bb3f7,454,kinetic-devel,passed,6653,2019-09-16 10:03:18 UTC,585500408,585500409,585500410,585500411,585500412,585500413,pull_request
585500342,b37411d6c34db075f9b5f5fe96d6d9a7e53d9425,454,kinetic-devel,canceled,0,,585500343,585500344,585500345,585500346,585500347,585500348,pull_request
585465635,2d06520a3297d4e9cf51e62b2155673301439968,454,kinetic-devel,failed,5010,2019-09-16 08:28:12 UTC,585465636,585465637,585465638,585465639,585465640,585465641,pull_request
585178490,3f4839e19209be8acf207c8e34be9175473bc65c,454,kinetic-devel,passed,6749,2019-09-15 11:20:56 UTC,585178494,585178495,585178496,585178497,585178498,585178499,pull_request
584055263,ae91c7be98443d6ab295e8869aa66b53b89e7e9a,454,kinetic-devel,passed,6799,2019-09-12 09:50:27 UTC,584055264,584055265,584055266,584055267,584055268,584055269,pull_request
584050776,75cf8ae5d724940fc4580561cb81479ac7ea9135,454,kinetic-devel,passed,6758,2019-09-12 09:23:33 UTC,584050777,584050778,584050779,584050780,584050781,584050782,pull_request
584045848,d7c3c52d2eab748094a1e0a1bc29a02e6f7982bd,454,kinetic-devel,passed,6730,2019-09-12 09:08:45 UTC,584045849,584045850,584045851,584045852,584045853,584045854,pull_request
581092961,ac8ee5634e2d8db416e43c1420dd8b27ea76c6c6,453,melodic-devel,passed,7060,2019-09-09 08:53:19 UTC,581092962,581092963,581092964,581092965,581092966,581092967,pull_request
580983808,50539c73bc0d46990e6860e2a22b8504765690f2,453,melodic-devel,errored,15159,2019-09-05 01:06:47 UTC,580983809,580983810,580983811,580983812,580983813,580983814,pull_request
580595546,24575f1db9c23142ff80b9330f311f0ce8080a56,453,melodic-devel,errored,150,2019-09-04 07:48:04 UTC,580595547,580595548,580595549,580595550,580595551,580595552,pull_request
