build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
741899348,700181c5f9e5b4804c6999f6554ace6ad9470f30,236,master,passed,691,2020-11-06 15:17:31 UTC,741899353,741899356,741899358,741899365,741899368,741899372,pull_request
704091679,b53737eb93994bb053873d0bdc6fba3022cb8e57,234,master,passed,298,2020-07-01 21:14:13 UTC,704091680,704091681,704091682,pull_request
672660412,6ef6a1f614eb1658b980a3876fc7735b700abac4,231,master,passed,326,2020-04-08 19:18:39 UTC,672660413,672660414,672660415,pull_request
672644010,d91e2b873fe78eb26eb4ea40f6ae28bda5a8e220,231,master,failed,317,2020-04-08 18:32:54 UTC,672644011,672644012,672644013,pull_request
641118466,8b22094d2cbb5577b27349c451610e55dea8883b,230,master,passed,314,2020-01-23 22:18:24 UTC,641118467,641118468,641118469,pull_request
641098604,d56bd669c16d506bf206468be727e4507c45217a,230,master,passed,329,2020-01-23 21:27:07 UTC,641098605,641098606,641098607,pull_request
621924227,85d61ba02a9c8e108598767f9c5c3bec8d0fdb3a,229,master,passed,337,2019-12-07 07:28:47 UTC,621924228,621924229,621924230,pull_request
620991730,d84e3afc781e073cc80b526356e18e2f0b3992bf,226,master,passed,381,2019-12-05 07:06:38 UTC,620991731,620991732,620991733,pull_request
619476941,572ccd10af95c07c199e13a9a2fa2a552d5551cc,226,master,passed,360,2019-12-02 06:59:50 UTC,619476942,619476943,619476944,pull_request
618238493,8fe24a55c8945298ea5b707e2e4fe04f94656e6f,226,master,passed,363,2019-11-28 15:06:11 UTC,618238494,618238495,618238496,pull_request
617665524,3a27a140eddb4102b25bb7f9509a092e6983b0e5,226,master,passed,402,2019-11-27 10:53:09 UTC,617665525,617665526,617665527,pull_request
617661410,44030f88f77224ab3eb67799666d6814a398b279,226,master,failed,371,2019-11-27 10:42:48 UTC,617661411,617661412,617661413,pull_request
596934432,a9df1260d58156b6a91c2ff2c5e04b1e32fd9b6a,224,master,passed,366,2019-10-12 09:26:04 UTC,596934433,596934434,596934435,pull_request
584418706,247fe4591d37a8f96ee4c673e04c763cd5ceab19,223,master,passed,347,2019-09-13 03:05:56 UTC,584418707,584418708,584418709,pull_request
584418097,16e5f0ea5cb84f2fea5abda7842199f9981487d8,223,master,passed,352,2019-09-13 03:02:25 UTC,584418098,584418099,584418100,pull_request
581755350,91be5fdd752c432e7809325ff8d9c9a0e59094f7,220,master,passed,369,2019-09-06 16:22:01 UTC,581755351,581755352,581755353,pull_request
578797789,7c9bdc48386e20cf4c410c748196b4c3d7437757,222,master,passed,362,2019-08-30 12:37:48 UTC,578797790,578797791,578797792,pull_request
574927638,024a886e55205e8d12db9b3a2a2d912314278597,220,master,passed,362,2019-08-21 15:49:38 UTC,574927639,574927640,574927641,pull_request
570088518,19c6d3b097b043ea9b72e2a8f0e00f8c1b20bd9c,219,master,passed,364,2019-08-10 02:16:42 UTC,570088519,570088520,570088521,pull_request
569873210,d3cfdb7d4c6267955b50abf05978b7360936313a,219,master,failed,346,2019-08-09 14:42:08 UTC,569873211,569873212,569873213,pull_request
559185377,dc4c451230baeb9a26e51d6f7d67945e231f88bd,215,master,passed,333,2019-07-15 23:35:56 UTC,559185378,559185379,559185380,pull_request
550108164,ac2c83f8e492ed87b6c3cb3a869edd8822f9ec49,216,master,passed,317,2019-06-25 06:04:43 UTC,550108165,550108166,550108167,pull_request
546890820,82a3543215b6fb4e835f4d1adb1b13666562e27e,215,master,errored,311,2019-06-17 18:25:10 UTC,546890821,546890822,546890823,pull_request
510389381,e4b7474e00eb83a77f98f70c4680b1ddd38549f8,214,master,passed,386,2019-03-23 19:34:55 UTC,510389382,510389383,510389384,pull_request
510389034,05acb67f5c8d57f6b5653909ae6a7542164fada8,214,master,passed,423,2019-03-23 19:33:30 UTC,510389035,510389036,510389037,510389038,pull_request
510387413,d3d3d07fe5177f6d98ba74f8f7b18c7b05687ade,213,master,passed,345,2019-03-23 19:30:16 UTC,510387414,510387415,510387416,pull_request
510387369,9a63741b09c72201cc6a359795f4f0ff87254ef3,,bump-go-version,passed,369,2019-03-23 19:25:22 UTC,510387370,510387371,510387372,push
500114169,9d61e64a74f51dda1bc95e3382b932124e361cec,210,master,passed,425,2019-03-01 01:28:44 UTC,500114170,500114171,500114172,500114173,pull_request
494840022,5cf28f947102fc1c564c3595a48fb3abfe056dff,208,master,failed,361,2019-02-18 11:26:01 UTC,494840023,494840024,494840025,494840026,pull_request
494683331,25a84ff92183e2f8ac018ba1db54f8a07b3c0e04,,master,passed,418,2019-02-18 02:31:06 UTC,494683332,494683333,494683334,494683335,push
494087288,6de3bb4296b729f7ef4a292af7dcef970b141245,207,master,passed,433,2019-02-16 02:46:30 UTC,494087289,494087290,494087291,494087292,pull_request
494075445,de56207ee69b19033e89021115aa06d16bb8b0be,,master,passed,421,2019-02-16 01:50:23 UTC,494075446,494075447,494075448,494075449,push
493630364,880abb7e20887e8cb4284130217f362afc079a70,206,master,passed,402,2019-02-15 07:40:12 UTC,493630365,493630366,493630367,493630368,pull_request
490480453,dbb6c18f67de4edf8244c23b32163126b3b8251e,205,master,errored,154,2019-02-08 10:38:44 UTC,490480455,490480457,490480458,490480460,pull_request
461464198,8b5a441dc60e8d9bb9bf9d22060b6d94fa599983,,master,passed,347,2018-11-29 20:23:29 UTC,461464199,461464200,461464201,461464202,push
461454653,46255c97470170171ca1eb123843e68e6cb84b1a,201,master,passed,337,2018-11-29 20:01:58 UTC,461454654,461454655,461454656,461454657,pull_request
461454625,0a9f1875f88be49471689e0465c479d0a1261e69,,registered-global-tracer,passed,331,2018-11-29 20:01:01 UTC,461454626,461454627,461454628,461454629,push
461449294,5c6e9f0b6147cf503dd0e42709999914f26bc2b4,201,master,passed,348,2018-11-29 19:48:12 UTC,461449295,461449296,461449297,461449298,pull_request
461449265,b12a8d23099c8361ca821491424d4ba431cfa92f,,registered-global-tracer,errored,346,2018-11-29 19:47:48 UTC,461449269,461449270,461449271,461449272,push
461381447,f6bb0d0069d8d2525187fefef15b38c212ae8d9a,,master,passed,357,2018-11-29 17:07:51 UTC,461381448,461381449,461381450,461381451,push
461376243,d99da4cdb14c3be30ec73094ed88d915548c0e8f,202,master,passed,355,2018-11-29 16:58:11 UTC,461376244,461376245,461376246,461376248,pull_request
461376183,a7d191059cc146d4c1946b685b41a5a9b6e2ee9c,,fix-lint,passed,332,2018-11-29 16:57:03 UTC,461376184,461376185,461376186,461376187,push
461369440,1df6211912e9187ccb803ea1c863260ce8bbcd42,202,master,passed,462,2018-11-29 16:53:12 UTC,461369441,461369442,461369443,461369444,pull_request
461369430,7374acf0ffb32cc51622ddbdad1e97e78c6cf6ec,,fix-lint,passed,364,2018-11-29 16:43:19 UTC,461369431,461369432,461369433,461369434,push
461366901,70d38f8d514f0939d89e68a3255c565d72ea26f5,202,master,failed,325,2018-11-29 16:38:07 UTC,461366902,461366903,461366904,461366905,pull_request
461365936,d934bbc7ccab90ac58386637baa4e72af0a1df26,,fix-lint,failed,313,2018-11-29 16:36:15 UTC,461365937,461365938,461365939,461365940,push
461357372,6b6f234010e1ed7b15741dd4e9b06332b2fba00b,,master,errored,334,2018-11-29 16:18:48 UTC,461357373,461357374,461357375,461357376,push
