build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
725294077,c9b27bdbb4bef0512edf89a16f1536b9d76e4e57,,pydyf,failed,651,2020-09-08 15:59:25 UTC,725294078,725294079,725294080,725294091,725294096,725294097,push
724047768,41f871f12db9f4338c0a6f3f2f59ab61f39a8b03,,master,passed,677,2020-09-04 06:41:53 UTC,724047769,724047770,724047771,724047772,724047773,push
724042320,89ab158868f3c88f12762a942bed5488d07f499c,,master,failed,721,2020-09-04 06:13:03 UTC,724042321,724042322,724042323,724042324,724042325,724042326,push
723205479,c607c01a8c8a6760a7666a586ef8391b8d1fc55d,,master,failed,717,2020-09-01 19:31:34 UTC,723205480,723205481,723205482,723205483,723205484,723205485,push
719249687,a668b8a97562e97516f85c028bade4840ad27116,1195,master,failed,784,2020-08-19 11:38:43 UTC,719249688,719249689,719249690,719249691,719249692,719249693,pull_request
719226994,e74fa1861f3507769011fdbd6ab442ce7c768a9c,1195,master,failed,774,2020-08-19 09:53:51 UTC,719226995,719226996,719226997,719226998,719226999,719227000,pull_request
713991692,598e747b2ce27c1df3f8a8d599aa301921a4201f,,master,failed,709,2020-08-01 14:03:52 UTC,713991693,713991694,713991695,713991696,713991697,713991698,push
709830892,c61d43623d6c036d0bf1c42835dadd0a0b68468d,1165,master,failed,858,2020-07-31 10:56:25 UTC,709830893,709830894,709830895,709830896,709830897,709830898,pull_request
709824294,8d9155982e44c51222e8983b1ae462b5a671cb23,1165,master,failed,723,2020-07-20 00:28:22 UTC,709824295,709824296,709824297,709824298,709824299,709824300,pull_request
709824046,f75e90b8043625453617c8694561c850aa24a959,1165,master,failed,885,2020-07-20 00:26:32 UTC,709824047,709824048,709824049,709824050,709824051,709824052,pull_request
708931936,3da8546977952783a379c89c4e785ce25c00a1eb,1165,master,failed,789,2020-07-16 21:29:43 UTC,708931937,708931938,708931939,708931940,708931941,708931942,pull_request
708929076,c3c579ec691c0863897673efc7c4bce02e4704f8,1165,master,failed,810,2020-07-16 21:22:14 UTC,708929077,708929078,708929079,708929080,708929081,708929082,pull_request
