build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
715320814,db3df61be83b3909835f9c211f5599117fb799fd,894,master,passed,2706,2020-08-05 22:38:54 UTC,715320815,715320816,715320817,715320818,715320819,715320820,715320821,715320822,715320823,715320824,715320825,715320826,715320828,715320830,715320831,715320832,715320833,715320834,715320835,715320836,715320837,715320838,715320839,715320840,715320841,715320842,715320843,715320844,715320845,715320846,pull_request
715318973,bc6cee641f57a723200f009f45bf69496fad6ecc,894,master,passed,2817,2020-08-05 22:31:20 UTC,715318974,715318975,715318976,715318977,715318978,715318979,715318980,715318981,715318982,715318983,715318984,715318985,715318986,715318987,715318988,715318989,715318990,715318991,715318992,715318993,715318994,715318995,715318996,715318997,715318998,715318999,715319000,715319001,715319002,715319003,pull_request
715313151,ab7dec981e367b62f599d8edf6daa50acc96cd62,894,master,failed,2952,2020-08-05 22:06:04 UTC,715313152,715313153,715313154,715313155,715313156,715313157,715313158,715313159,715313160,715313161,715313162,715313163,715313164,715313165,715313166,715313167,715313168,715313169,715313170,715313171,715313172,715313173,715313174,715313175,715313176,715313177,715313178,715313179,715313180,715313181,pull_request
715309315,34ba975bceecfacb6a21918772f2eaa4fd489581,894,master,failed,2905,2020-08-05 21:50:34 UTC,715309316,715309317,715309318,715309319,715309320,715309321,715309322,715309323,715309324,715309325,715309326,715309327,715309328,715309329,715309330,715309331,715309332,715309333,715309334,715309335,715309336,715309337,715309338,715309339,715309340,715309341,715309342,715309343,715309344,715309345,pull_request
715307705,510bd030a27198af21cafe6b729a523fbbc74d6f,894,master,failed,3202,2020-08-05 21:44:47 UTC,715307706,715307707,715307708,715307709,715307710,715307711,715307712,715307713,715307714,715307715,715307717,715307719,715307720,715307721,715307722,715307723,715307724,715307725,715307726,715307727,715307728,715307729,715307730,715307731,715307732,715307733,715307734,715307735,715307736,715307737,pull_request
715042734,bb971ae935059b73830ea2abe3f66391125b2bfb,,master,passed,2748,2020-08-05 05:14:35 UTC,715042735,715042736,715042737,715042738,715042739,715042740,715042741,715042742,715042743,715042744,715042745,715042746,715042747,715042748,715042749,715042750,715042751,715042752,715042753,715042754,715042755,715042756,715042757,715042758,715042759,715042760,715042761,715042762,715042763,715042764,push
715041214,8c91a6013c1a096d565662e4b74aa52fbf93fa44,921,master,passed,3040,2020-08-05 05:05:16 UTC,715041215,715041216,715041217,715041218,715041219,715041220,715041221,715041222,715041223,715041224,715041225,715041226,715041227,715041228,715041229,715041230,715041231,715041232,715041233,715041234,715041235,715041236,715041237,715041238,715041239,715041240,715041241,715041242,715041243,715041244,pull_request
715038819,0a482f2fd12e339182c70f1bdd663ebe64d9391f,921,master,failed,2907,2020-08-05 04:58:37 UTC,715038820,715038821,715038822,715038823,715038824,715038825,715038828,715038829,715038830,715038831,715038832,715038834,715038837,715038839,715038841,715038842,715038843,715038844,715038845,715038846,715038847,715038848,715038849,715038850,715038851,715038852,715038853,715038854,715038855,715038856,pull_request
715037935,41dc136a28c9c66bafd1e5abd94e09fe2db1229f,,master,passed,2939,2020-08-05 04:44:40 UTC,715037936,715037937,715037938,715037939,715037940,715037941,715037942,715037943,715037944,715037945,715037946,715037947,715037948,715037949,715037950,715037951,715037952,715037953,715037954,715037955,715037956,715037957,715037958,715037959,715037960,715037961,715037962,715037963,715037964,715037965,push
715036620,9d9a801f1d2fea8661f6aedfd38241210742e78b,929,master,passed,2665,2020-08-05 04:33:47 UTC,715036621,715036622,715036623,715036624,715036625,715036626,715036627,715036628,715036629,715036630,715036631,715036632,715036633,715036634,715036635,715036636,715036637,715036638,715036639,715036640,715036641,715036642,715036643,715036644,715036645,715036646,715036647,715036648,715036649,715036650,pull_request
714825526,9657b4d0aa53b87786146502196dc16c89faef55,929,master,passed,2723,2020-08-05 03:56:37 UTC,714825527,714825528,714825529,714825530,714825531,714825532,714825533,714825534,714825535,714825536,714825537,714825538,714825539,714825540,714825541,714825542,714825543,714825544,714825545,714825546,714825547,714825548,714825549,714825550,714825551,714825552,714825553,714825554,714825555,714825556,pull_request
