build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
755242870,37e4928f6a9f4d69cbae3207fd0869d4bcf25bd2,,wip/break-ci,errored,181,2021-01-19 22:10:46 UTC,755242871,755242872,755242873,755242874,push
755242649,8bf970ca88a922269a031aefddadd3f1514df61f,,master,passed,260,2021-01-19 21:37:06 UTC,755242650,755242651,755242652,755242653,push
755241565,7ea9095cdcb070541e51206f4be66dcc064cc868,,wip/ci,errored,182,2021-01-19 21:02:08 UTC,755241566,755241567,755241568,755241569,push
755239667,5be633ac77796ae3bf0f83950fa0ab022a06dcc5,,wip/ci,canceled,0,,755239668,755239669,755239670,755239671,push
755239376,3de75284d9f39cd63fb202798f5fd0b5d39f1fbc,,wip/ci,canceled,0,,755239377,755239378,755239379,755239380,push
755238208,df392bdea9a976a2f459756f92cabf399e17ad00,,wip/ci,canceled,0,,755238209,755238210,755238211,755238212,push
755234970,0fd4c5c2a462dd0fb28e060c1bea396e5d514f94,,wip/ci,canceled,0,,755234971,755234972,755234973,755234974,push
755068715,ccfde71165dd223c499cf38b1bbc38c2964a66fa,,master,passed,268,2021-01-18 19:17:46 UTC,755068716,755068717,755068718,755068719,push
754909794,e0b519ab30567c868750430b62213e51ab13462b,,master,passed,290,2021-01-17 19:10:52 UTC,754909795,754909796,754909797,754909798,push
754799567,003647a870c2cae12ee01830d546c6ca6fa67666,,master,passed,270,2021-01-16 19:06:44 UTC,754799568,754799569,754799570,754799571,push
754796140,827b29a4464689c5a017cb92412a174de498e817,,retext-7.1,passed,199,2021-01-16 18:22:45 UTC,754796141,754796142,754796143,push
754510776,63b8f27c18d504bbebf623dd3aabc98f35951dc4,,master,passed,289,2021-01-14 19:25:22 UTC,754510777,754510778,754510779,754510780,push
754509577,9391835c2f3737ca638f58e00515550a7f75d190,,master,canceled,0,,754509578,754509579,754509580,754509581,push
754336654,c4a039e4a5234d6cdbec9f4bc348f37d13d5313a,,master,passed,281,2021-01-13 19:12:10 UTC,754336655,754336656,754336657,754336658,push
754333632,c6d1f1849d555be872655d9ac5c6f3fe7462e39d,,master,canceled,0,,754333633,754333634,754333635,754333636,push
754333244,c2141a2105a085428e375ee20d7bc0bd85c70555,,master,canceled,0,,754333245,754333246,754333247,754333248,push
754331166,32db75048efe60105f81d097353217eff9f94d70,,master,canceled,0,,754331167,754331168,754331169,754331170,push
754330048,abf65fef8e9fea08d3667251fb5c37d31a942fb7,,master,canceled,0,,754330049,754330050,754330051,754330052,push
754115795,2d8dfd1aad58809286fcb4c2c3e1064e533197fd,,master,passed,267,2021-01-12 13:24:15 UTC,754115796,754115797,754115798,754115799,push
754115555,ec75ec62ad0ea5437722171425303d013e5d6fdb,,master,passed,252,2021-01-12 13:21:27 UTC,754115556,754115557,754115558,754115559,push
754114997,17579ce9c133db3c3ffbedf7ebf96c8223502ded,,master,passed,262,2021-01-12 13:17:45 UTC,754114998,754114999,754115000,754115001,push
