build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
692001683,f1757ac5be03b28afbb52c05fe126e5968d8f352,323,master,failed,1137,2020-05-28 03:04:03 UTC,692001684,692001685,692001686,692001687,pull_request
691274510,5faf38b127bfede348b74d644b7c806693059740,323,master,passed,1160,2020-05-26 11:53:42 UTC,691274511,691274512,691274513,691274514,pull_request
691198179,7c8cc71484da3a16963691cf8d51f08b8c9d0cdb,322,master,errored,543,2020-05-26 07:00:00 UTC,691198180,691198181,691198182,691198183,pull_request
687896159,75cbe08234718cc9a948c6b8897265c8a96e7eb1,320,master,passed,1162,2020-05-16 21:11:33 UTC,687896160,687896161,687896162,687896163,pull_request
684233489,d00b9279a4332f8fa20743855ed5aaf142b2d7d7,318,master,passed,1147,2020-05-07 12:10:01 UTC,684233490,684233491,684233492,684233493,pull_request
654506579,fd63202f9324334763b96e2a3b918053e1069348,317,master,passed,1203,2020-02-24 17:09:01 UTC,654506580,654506581,654506582,654506583,pull_request
654270849,6a8f5db43278d57d97a29abae92f005927aa1145,309,master,passed,1201,2020-02-24 06:07:54 UTC,654270850,654270851,654270852,654270853,pull_request
654267316,74ffe0fb3219997dbfc0328653fec426a0ee8662,309,master,passed,1186,2020-02-24 05:50:18 UTC,654267317,654267318,654267319,654267320,pull_request
654266955,7b165a21e8df32cde3d87d9559b51e1164f9b300,309,master,passed,1217,2020-02-24 05:48:54 UTC,654266956,654266957,654266958,654266959,pull_request
642090286,9269a43476e474d0695d3fb9bca78aa858a1459b,316,master,passed,1152,2020-01-26 18:30:04 UTC,642090287,642090288,642090289,642090290,pull_request
639130791,a66d4cface943ec809c1e5ed383735c38eef2e37,315,master,passed,1146,2020-01-19 14:27:28 UTC,639130792,639130793,639130794,639130795,pull_request
638974831,89d841c6c396e4b7b2357bff42127036b4674547,315,master,failed,1182,2020-01-19 00:05:53 UTC,638974832,638974833,638974834,638974835,pull_request
624062686,4f77fe0023f7cb9d2f6f32a7447c6edb3c8482f8,312,master,passed,1208,2019-12-12 09:32:03 UTC,624062687,624062688,624062689,624062690,pull_request
618742991,0a93aeeb3241bb0f4928069a57cf49f2b46fc284,310,master,passed,1435,2019-11-29 20:40:17 UTC,618742992,618742993,618742994,618742995,pull_request
616471111,47ae62f5075bae363ede69cdc988c47b05976b36,309,master,passed,1364,2019-11-25 03:45:23 UTC,616471112,616471113,616471114,616471115,pull_request
613577286,ba131661b1e21cc96bb5a511a40198562303bc03,308,master,passed,1367,2019-11-18 16:17:06 UTC,613577287,613577288,613577289,613577290,pull_request
613565316,0db4870ded2199c83c04c7001c5f25e8b7956809,308,master,failed,1334,2019-11-18 15:50:28 UTC,613565317,613565318,613565319,613565320,pull_request
612633199,c008c60a811af7bc2819818ec1bf3bb82480c34b,288,master,failed,1468,2019-11-15 23:31:59 UTC,612633200,612633201,612633202,612633203,pull_request
612620350,b5227ffbe330b25add59570c50b8e0958e7e5459,288,master,failed,1438,2019-11-15 22:54:46 UTC,612620351,612620352,612620353,612620354,pull_request
606736891,25cdbaf74eec8f95a1f90f3389cdecb1bf1f533f,305,master,passed,1466,2019-11-03 13:32:10 UTC,606736892,606736893,606736894,606736895,pull_request
605800666,3439d7d1c1f750b43d3fd70b5220b4e27726c3c9,288,master,failed,1439,2019-11-01 00:55:50 UTC,605800667,605800668,605800669,605800670,pull_request
605800487,30b53908048d0b56bf8f73a1f0aebf25003153ca,288,master,failed,1520,2019-11-01 00:55:16 UTC,605800488,605800489,605800490,605800491,pull_request
602681746,5f6d45adeaf0b236e38af1f6abf439227cc92ae9,305,master,failed,1381,2019-10-25 07:38:15 UTC,602681747,602681748,602681749,602681750,pull_request
602624478,e80bcadcad3de5830fe314893acc301a0226f459,304,master,passed,1462,2019-10-25 03:38:00 UTC,602624479,602624480,602624481,602624482,pull_request
591348090,068ea4a40bf099795534ffc3e973a4a3470be2aa,300,master,passed,1410,2019-09-30 06:46:13 UTC,591348091,591348092,591348093,591348094,pull_request
588443969,758128399b1df3a87e92df6c26c1d2063da8fabe,,master,passed,1382,2019-09-23 12:58:36 UTC,588443970,588443971,588443972,588443973,push
588263039,3fca957f62990efa9a0709d1d749f5f205439f18,,master,failed,1379,2019-09-23 02:10:41 UTC,588263040,588263041,588263042,588263043,push
586873349,81b91e5521e1d9f5d09677b8a940a5903385b2fa,,master,failed,1364,2019-09-19 06:42:36 UTC,586873350,586873351,586873352,586873353,push
586867258,591cf17dfde1f952ef446ca0c2137e0d17b5d9e1,298,master,passed,1420,2019-09-19 06:20:03 UTC,586867259,586867260,586867262,586867264,pull_request
586863293,7d7dd3217ac305eba40776c144844e826b329b8f,,master,passed,1425,2019-09-19 06:03:21 UTC,586863294,586863295,586863296,586863297,push
586861521,bc325acffdc8d65feeb04d4635e5d8ae8e9187ff,298,master,passed,1414,2019-09-19 05:56:24 UTC,586861522,586861523,586861524,586861525,pull_request
586855920,166222840a9a83a65c1e314fda00121fb6719c99,,master,failed,1306,2019-09-19 05:33:01 UTC,586855921,586855922,586855923,586855924,push
586352474,28b29a7dd25552b251393a913344ec0de21840d2,297,master,passed,1507,2019-09-18 03:28:46 UTC,586352475,586352476,586352477,586352478,pull_request
586347639,8a119aea944f49c748b1259909b12af982fb84e1,297,master,passed,1448,2019-09-18 03:07:37 UTC,586347640,586347641,586347642,586347643,pull_request
586341287,742d2fd0d2c225df9b6e81fda54715589a60cf66,296,master,passed,1391,2019-09-18 02:36:33 UTC,586341288,586341289,586341290,586341291,pull_request
577295715,071d243511ec7019e0537c5080a4eef9c8235bbc,292,master,passed,1357,2019-08-27 11:25:02 UTC,577295716,577295717,577295718,577295719,pull_request
571581634,715947d945a67cb8dae4052da261ba6ffe967903,288,master,failed,1591,2019-08-13 23:37:13 UTC,571581635,571581636,571581637,571581638,pull_request
571076225,715947d945a67cb8dae4052da261ba6ffe967903,288,master,failed,1495,2019-08-12 23:03:52 UTC,571076226,571076227,571076228,571076229,pull_request
571063672,c994323976c2e3f794210cae17311a39e1ae8270,288,master,failed,1558,2019-08-12 22:15:38 UTC,571063673,571063674,571063675,571063676,pull_request
568137430,b32225ff07697cba71331562efa572f5ea95b10b,288,master,failed,1614,2019-08-06 00:02:25 UTC,568137431,568137432,568137433,568137434,pull_request
567069633,daeb3761b5ecde643fef39a7a122dac3eab1bdb0,288,master,failed,1554,2019-08-02 18:20:39 UTC,567069634,567069635,567069636,567069637,pull_request
566741726,fc80805b7763a0086364204ec5a63ebae8df5b96,288,master,failed,1572,2019-08-02 00:37:05 UTC,566741727,566741728,566741729,566741730,pull_request
