build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
726033339,dfa7168a0251103e249e30fb3863e3ce16d70889,101,master,errored,119,2020-09-10 18:42:09 UTC,726033340,726033341,726033342,726033343,726033344,pull_request
726032991,b852b7630439b810ec9fe7602bbe9a83ce2ee153,101,master,errored,116,2020-09-10 18:41:18 UTC,726032992,726032993,726032994,726032995,726032996,pull_request
710386621,3065fc590b3328421191e092ed9b3732ec156b0f,100,master,errored,111,2020-07-21 13:49:52 UTC,710386623,710386625,710386627,710386628,710386629,pull_request
686011880,3944f2b0005b5e0991ce9f6696904b8fdfb308e9,98,master,errored,120,2020-05-12 08:23:01 UTC,686011881,686011882,686011883,686011884,686011885,pull_request
670649078,c65d61b5b1bddaf381ff2b939c1537eb3ee0a38e,97,master,errored,146,2020-04-03 16:26:01 UTC,670649079,670649080,670649081,670649082,670649083,pull_request
593728748,851ce86d7174927cc3d5cac01106a57c29c63d50,90,master,errored,210,2019-10-04 20:41:51 UTC,593728749,593728750,593728751,593728752,593728753,pull_request
351469780,5e51939f5305fe8b854488d144062433d9f77f0f,85,master,errored,339,2018-03-09 19:55:32 UTC,351469781,351469783,351469784,351469803,351469811,pull_request
281946347,74d90e0e83284d86f5b1c9b04b4f5f84e53bfcb0,79,master,errored,340,2017-10-01 15:55:31 UTC,281946348,281946349,281946350,281946351,281946352,pull_request
281944149,101802d7d44a7a006240d23aa22491faa723d124,79,master,errored,285,2017-10-01 15:46:32 UTC,281944150,281944151,281944152,281944153,281944154,pull_request
281937915,30a4fb81ef1fe359dc54e0639f4370a60f874295,79,master,canceled,-67535,2017-10-01 15:21:45 UTC,281937916,281937917,281937918,281937919,281937920,pull_request
252490398,3e9b0008f93887b5821ef7e62ca921bdce95fe63,75,master,errored,516,2017-07-11 17:05:32 UTC,252490400,252490402,252490405,252490411,252490417,pull_request
186830818,6bead1b3990adee60b949a512c885304eae72705,71,master,errored,206,2016-12-26 19:38:27 UTC,186830819,186830820,186830821,186830822,186830823,pull_request
186829184,9f66b1a0a169b1cb5dd3b17ea547e3286f1dc712,71,master,errored,282,2016-12-26 19:24:45 UTC,186829185,186829186,186829187,186829188,186829189,pull_request
186218970,6271c2beb20a9aafd71186a197b0a6d91d681d00,69,master,errored,216,2016-12-22 23:19:09 UTC,186218971,186218972,186218973,186218974,186218975,pull_request
173711284,67af079223dec3920fa4c499a19106fb66fd73a3,56,master,passed,280,2016-11-06 18:08:19 UTC,173711285,173711286,173711287,173711288,173711289,pull_request
173707327,2782eb180c9ab03430e7837d6e3eee3130f135cb,56,master,errored,242,2016-11-06 17:48:05 UTC,173707328,173707329,173707330,173707331,173707332,pull_request
173707062,5854e17d4a788044c36eef3ba4d2ba5ff43f3434,56,master,errored,267,2016-11-06 17:46:35 UTC,173707063,173707064,173707065,173707066,173707067,pull_request
116669300,044286b0d77d877f09c56b40d2e805749e381e9d,60,master,passed,248,2016-03-17 15:34:19 UTC,116669301,116669302,116669303,116669304,116669305,pull_request
