build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
742653989,5d5023664811e6bc989d5e9ad826889ce62d3963,,master,failed,339,2020-11-10 09:12:26 UTC,742653990,742653991,742653992,742653993,push
742601807,3ca10fc06b8e38848071fc76c228b824535dbde3,945,master,passed,348,2020-11-10 03:19:14 UTC,742601808,742601809,742601810,742601811,pull_request
742600779,079b3f1c3e339f491f2eee9189cc18bd3ceee25a,,actions,errored,69,2020-11-10 02:37:58 UTC,742600780,742600781,742600782,742600783,push
742598191,222b979bdaf29b9b95b78b85e6de4b7622ae891d,,actions,canceled,0,,742598192,742598193,742598194,742598195,push
742593517,c8e35be622d667da77d40ec2ef4013576420cf55,,actions,canceled,0,,742593518,742593519,742593520,742593521,push
742593188,cfc623f85ba0beaab54e2490f70d1b064bfafddc,,actions,canceled,0,,742593189,742593190,742593191,742593192,push
742592998,ad119018684b225587b5bf0e9e453e87128e1129,,actions,canceled,0,,742592999,742593000,742593001,742593002,push
741113115,f1f3f8243dd9ba241d0f461220cedd2809a16669,944,master,failed,343,2020-11-03 12:05:37 UTC,741113116,741113117,741113118,741113119,pull_request
737477234,9400b9f15e6fb4b3f3185327c1b6c379125a6514,943,2.12x,passed,381,2020-10-20 17:12:27 UTC,737477235,737477236,737477237,737477238,737477239,pull_request
737476430,dbe9e88531da4561313833b137089128d2754916,943,2.12x,canceled,0,,737476431,737476432,737476433,737476434,737476435,pull_request
737471439,dbe9e88531da4561313833b137089128d2754916,943,2.12x,failed,391,2020-10-20 16:51:25 UTC,737471440,737471441,737471442,737471443,737471444,pull_request
726336317,a1c3016abe1aaafcf9c13f773f7bb05333dae680,937,master,failed,670,2020-09-11 16:02:03 UTC,726336318,726336319,726336320,726336321,726336322,pull_request
720585550,ad119018684b225587b5bf0e9e453e87128e1129,,master,passed,338,2020-08-24 09:22:48 UTC,720585551,720585552,720585553,720585554,push
720584623,6927c1facb817b1e3ed1f80a33160dd6543a85f0,933,master,passed,331,2020-08-24 09:18:46 UTC,720584624,720584625,720584626,720584627,pull_request
717585187,651e2589ad23b50f3ca4d4f7b5bb613a9f718d5d,,master,passed,367,2020-08-13 13:29:41 UTC,717585188,717585189,717585190,717585191,push
717439823,436bb51533ad1e00eec599fcd91134011241e11a,932,master,passed,425,2020-08-13 00:25:23 UTC,717439824,717439825,717439826,717439827,pull_request
717439131,d7d493ab7a47207d9a94ad2fb4659c021fc39681,,rake-12-3-3,passed,345,2020-08-13 00:21:24 UTC,717439132,717439133,717439134,717439135,push
717438172,6fe71942504bf354bedd04182bee601149a0eae6,,rake-12-3-3,failed,333,2020-08-13 00:17:25 UTC,717438173,717438174,717438175,717438176,push
717437463,b5276b1d4fb7bb3de2ef4df3e30a74913aa7a54b,,rake-12-3-3,failed,374,2020-08-13 00:12:43 UTC,717437464,717437465,717437466,717437467,push
717429627,c2e5244c948b1e9b20764f9167bdf21649e5c956,,rake-12-3-3,failed,334,2020-08-12 23:28:36 UTC,717429628,717429629,717429630,717429631,push
715336120,e110f17078f98fdce1d15a2c689a44f2ac130791,931,master,passed,404,2020-08-05 23:57:25 UTC,715336121,715336122,715336123,715336124,pull_request
712099278,ce5390dcb25c757b3a8a2226d0eba007cb0700b0,,master,passed,359,2020-07-27 07:17:29 UTC,712099279,712099280,712099281,712099282,push
712095451,59710ccf1859cf7c40e29da4968439170a99c00d,920,master,passed,339,2020-07-27 06:59:02 UTC,712095452,712095453,712095454,712095455,pull_request
707773700,f161c9ceeb40a8e25b2ad1ffa062ab1a5bce55c9,,master,passed,331,2020-07-13 20:44:02 UTC,707773701,707773702,707773703,707773704,push
707747918,09ad30e0c1f82424a5e0c969c16f1de579d631ca,930,master,passed,321,2020-07-13 19:12:42 UTC,707747919,707747920,707747921,707747922,pull_request
707692762,5487072cf0945ab2ab937d1c13746217442f34ae,930,master,passed,355,2020-07-13 16:05:47 UTC,707692763,707692764,707692765,707692766,pull_request
705289736,b8f55922aa3aca9fd49b2c992f529d73d5899245,,master,passed,323,2020-07-06 06:10:57 UTC,705289737,705289738,705289739,705289740,push
705289256,2907f670691ba52fd9795de58172dc9f56d0e769,929,master,passed,328,2020-07-06 06:08:25 UTC,705289257,705289258,705289259,705289260,pull_request
705273977,58a53aed47b3fb76edfda0f47769cd5d42262773,,master,passed,316,2020-07-06 04:41:03 UTC,705273978,705273979,705273980,705273981,push
705233576,114ea1f22f50dfff80b2a73b9b49d505fc0f135a,,master,passed,366,2020-07-06 00:02:25 UTC,705233577,705233578,705233579,705233580,705233581,push
705232470,3814eace61050e08aa74aa292a92b88419fc403f,,v2.12.1,passed,359,2020-07-05 23:53:57 UTC,705232471,705232472,705232473,705232474,705232475,push
