build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
751119451,0cb0bd8c04ed47f217a428cb0708290e850f8cc7,32,master,errored,344,2020-12-23 00:36:57 UTC,751119452,751119453,pull_request
738571387,70d92f6cbee2d8ad911b84d370dffc1bf90bfa6b,,master,failed,1297,2020-10-24 16:06:28 UTC,738571388,738571389,push
677534209,269f5dae7e9257f1a28bc4ad57efcc4ac2d2f4e0,,master,failed,842,2020-04-21 03:21:12 UTC,677534210,677534211,push
663726713,c3fa34f140fdb005f8acdef8457a36ed7087d197,,master,failed,226,2020-03-17 23:11:17 UTC,663726714,663726715,push
663726661,d6bee4af4776044e4b5433ad0a5eff8a39e46b73,,master,canceled,0,,663726662,663726663,push
658026848,06a2a041a4a61293f78fd29a53ce57da31797a23,,master,failed,230,2020-03-04 02:01:41 UTC,658026851,658026855,push
657896255,f20162a8d919b2762c97d61943c351254eb987af,,master,failed,227,2020-03-03 19:12:16 UTC,657896256,657896257,push
657780503,83c739c0bd89df14917e78b3db18e38bcf7a136e,,master,failed,226,2020-03-03 14:42:17 UTC,657780504,657780505,push
533150304,3d134601cfb46a54fe1a3fc25ed923f9eb72732a,,master,failed,255,2019-05-16 05:38:26 UTC,533150305,533150306,push
533150214,7b49e6aa9e7c92561192ee22b858904d60e2d56d,,master,canceled,0,,533150217,533150218,push
495167912,a816f52ca8a1ca44587c2919095558d223947573,29,master,failed,393,2019-02-18 22:34:33 UTC,495167913,495167914,pull_request
477019691,ae2321640993bad4fea69334008fc2de092e4853,,master,failed,329,2019-01-08 20:43:12 UTC,477019692,477019693,push
477019590,67050e5a776b214548640847af9dd243f91f9902,,master,canceled,0,,477019592,477019593,push
451211122,50af25926192c4a0e4260bf99f381ba60281c5ee,,master,failed,261,2018-11-06 04:55:46 UTC,451211123,451211124,push
444172892,989914484f7768813f6c183f96868b7a5a28f69c,,master,failed,265,2018-10-20 19:51:02 UTC,444172893,444172894,push
444172247,cbf68fc62484c3c15a245194236afda8e8259043,,master,failed,295,2018-10-20 19:48:46 UTC,444172248,444172249,push
385501043,bb09e8b265582b17b876c74e9465a1de021697e2,27,master,failed,710,2018-05-30 03:23:40 UTC,385501044,385501045,pull_request
319344190,6f466887ec03b6ef77db485940db94c222e5a6f6,24,master,passed,264,2017-12-20 19:43:55 UTC,319344191,319344192,pull_request
295585136,9be5fb53b4ec21e4435f9cbb3decdfd13d93b032,,master,passed,228,2017-11-01 03:18:40 UTC,295585137,295585138,push
295582179,81d144aee67d333fea5885d1cd8fe0028cf9a9aa,,master,passed,234,2017-11-01 03:03:24 UTC,295582180,295582181,push
295581953,038b633ecd36b4d10c301dce1db1c0a49114fb65,,master,passed,244,2017-11-01 03:02:15 UTC,295581954,295581955,push
295581545,d21c1d75d90136776c22938fac741cb563192092,,master,passed,254,2017-11-01 02:58:55 UTC,295581546,295581547,push
295535890,528912a4d0287f7bd6efd7a58a54078d466c0f65,,master,passed,246,2017-10-31 23:30:54 UTC,295535891,295535892,push
295513093,71984fe4b39eb63facc1b993819130d20b51b8e8,,master,canceled,0,,295513094,295513095,295513096,push
295512516,a22c03bf38f586e5828fa90a8ac8c7d07789704b,,master,passed,900,2017-10-31 22:09:55 UTC,295512517,295512518,295512519,push
295512438,9ae4736d588e40071eb3a9fcd1685de010ef44df,,master,canceled,0,,295512439,295512440,295512441,push
295511860,41619e8e99bac71d8769a43123c6fbe65c214dc5,,master,passed,776,2017-10-31 22:07:01 UTC,295511861,295511862,295511863,push
295511546,63886e7eb11ad0915b533d26e641643a70e3b7e8,,master,canceled,0,,295511547,295511548,295511549,push
295510987,c928126836b56b7c504dd97485ad5763c67f2051,,master,passed,753,2017-10-31 22:04:21 UTC,295510988,295510989,295510990,push
295510491,2ab29367b098c70f8c90ed8997ce83da3a83c60a,,master,passed,894,2017-10-31 22:02:31 UTC,295510492,295510493,295510494,push
295508458,fcd1c5b75ac86e2d82f0a7cc3c192ba3f0a0c0c7,,master,passed,761,2017-10-31 21:56:48 UTC,295508459,295508460,295508461,push
295508316,21ec696bfe62e229149e034411afda3292832a96,,master,canceled,0,,295508317,295508318,295508319,push
295507313,1cb818bf1c11757e3cbb4749368e5d6fc1ff177e,,master,passed,836,2017-10-31 21:53:59 UTC,295507314,295507315,295507316,push
295507173,62ee090aaa9cd360522da43aa24ff3a0987c7c43,,master,canceled,0,,295507174,295507175,295507176,push
295506950,92f597bb7d7f40621ba618fe5404e8a5d873eb8d,,master,canceled,0,,295506951,295506952,295506953,push
295506647,9143a4171a6b7e35d25fd9c73e959a2bd5bc51d4,,master,canceled,0,,295506649,295506651,295506653,push
295505624,f33b2d86cb2f958545b3ac0c73d3233bd21c1bd7,,master,passed,745,2017-10-31 21:49:11 UTC,295505625,295505626,295505627,push
295503806,e345396b872ee05a0b2d9ff827c0f389eac487c8,,master,passed,886,2017-10-31 21:44:27 UTC,295503807,295503808,295503809,push
295502128,8a2f2d9a9b101ca366d3d9fabe23480d6f3dc102,,master,passed,842,2017-10-31 21:39:21 UTC,295502129,295502130,295502131,push
295501449,f5d34f49e5b57627e9e0bc5f0851886cec35a342,,master,passed,774,2017-10-31 21:37:08 UTC,295501450,295501451,295501452,push
295341300,0d0930ddfccdbada65f5bf670e9892f06cc9a917,,master,passed,794,2017-10-31 15:11:39 UTC,295341304,295341306,295341307,push
295278044,7fc85a2c5ade0e7d681be17b5d3ae066fee6dcf6,23,master,passed,780,2017-10-31 12:35:54 UTC,295278045,295278046,295278047,pull_request
286566755,50168775516ff692296efb3913040e56b13751c9,,master,passed,392,2017-10-11 15:08:42 UTC,286566756,286566757,286566762,push
278645011,a14919d032dada018fd39bbb56c1b8cb24ee3370,22,master,passed,374,2017-09-22 14:33:53 UTC,278645012,278645014,278645016,pull_request
277039276,5fc011800159bf265070032caa2ff0fe13e9fee7,,master,passed,447,2017-09-18 21:19:14 UTC,277039279,277039280,277039281,push
