build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
262366845,431b03e8524046dd81a2221f029e217726121920,,master,errored,408,2017-08-08 18:57:12 UTC,262366846,262366847,262366848,262366849,262366850,262366851,262366852,262366853,262366854,262366855,push
262295713,69b860074ead49553f95ed9c07424a0c61de1dfb,253,master,errored,449,2017-08-08 15:39:17 UTC,262295714,262295715,262295716,262295717,262295718,262295719,262295720,262295721,262295722,262295723,pull_request
180661507,c7aeee75b9d5d32bcf0b8aeeb2d9f2d3cbfd0a93,245,master,errored,229,2016-12-02 10:23:52 UTC,180661508,180661509,180661510,180661511,180661512,180661513,180661514,180661515,180661516,180661517,pull_request
175588014,904af2910c57b71bc992e8364aa48896be230c2f,,master,passed,270,2016-11-14 01:25:09 UTC,175588015,175588016,175588017,175588018,175588019,175588020,175588021,175588022,175588023,175588024,push
175399702,8b0e28092176a9577fed771b5798e0704ed14fe2,,master,passed,258,2016-11-13 00:09:44 UTC,175399703,175399704,175399705,175399706,175399707,175399708,175399709,175399710,175399712,175399713,push
175399230,25e3a4994ffc97859a098029de58544a8eebc1b6,,master,passed,259,2016-11-13 00:04:27 UTC,175399231,175399232,175399233,175399234,175399235,175399236,175399237,175399238,175399239,175399240,push
175394948,23e6e411cb3f884e2d7c45ebe75842c423f16907,,master,failed,264,2016-11-12 23:29:42 UTC,175394949,175394950,175394951,175394954,175394956,175394957,175394958,175394959,175394960,175394961,push
175392864,9a4f40a644117fbc632c19d81dcf6a68e10cf5ba,,master,errored,384,2016-11-12 23:12:38 UTC,175392866,175392868,175392869,175392870,175392871,175392872,175392873,175392874,175392875,175392876,push
175380025,4adff23ffc71f7a1fff6713842f78b273581f0da,243,master,errored,343,2016-11-12 21:45:28 UTC,175380026,175380027,175380028,175380029,175380030,175380031,175380032,175380033,175380034,175380035,pull_request
175379274,9a29977f946c09655506e024740797ad25b709a4,242,master,errored,272,2016-11-13 00:09:59 UTC,175379275,175379276,175379277,175379278,175379279,175379280,175379281,175379282,175379283,175379284,pull_request
175369933,546b2415c3ed175f88bfc40fa218e7d48382de91,242,master,errored,391,2016-11-12 20:49:11 UTC,175369934,175369935,175369936,175369937,175369938,175369939,175369940,175369941,175369942,175369943,pull_request
174922719,4a0dbc027897011a48410af8747c7533f1fab2c8,242,master,errored,341,2016-11-10 22:43:33 UTC,174922720,174922722,174922723,174922724,174922725,174922728,174922729,174922731,174922733,174922735,pull_request
99671027,c93b3d9e283e939da19e47c1c70b1e89a9410961,,master,errored,157,2016-01-01 01:24:55 UTC,99671029,99671030,99671031,99671032,99671033,99671034,99671035,99671036,99671037,99671038,push
99670831,ed5c3860aaed013b139a47e298460f81104f540c,234,master,errored,67,2016-01-01 01:21:55 UTC,99670832,99670833,99670834,99670835,99670836,99670837,99670838,99670839,99670840,99670841,pull_request
94123265,eee54269af048daea677ed8dcea7cc449f090771,233,master,errored,335,2016-11-13 00:18:25 UTC,94123266,94123267,94123268,94123269,94123270,94123271,94123272,94123273,94123274,94123275,pull_request
91328839,02873b92f948ffe2e09d76f66db87e503d07fc57,232,master,errored,278,2016-11-13 00:19:19 UTC,91328840,91328841,91328842,91328843,91328844,91328845,91328846,91328847,91328848,91328849,pull_request
85120259,5f7b06148c3814b633eeb290a7acb321cc839464,231,master,errored,191,2015-10-13 13:29:06 UTC,85120260,85120261,85120263,85120268,85120269,85120281,85120294,85120309,85120313,85120315,pull_request
