build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
18370272,585eef5ba12eaafe7593287b6306a9f71c812dcb,,master,canceled,0,,18370273,18370274,18370275,18370276,18370277,18370278,18370279,18370280,18370281,18370282,18370283,18370284,18370285,18370286,18370287,18370288,18370289,18370290,18370291,18370292,18370293,18370294,push
18368790,c87397517a6ebb4ab66ecbebbb4624cf12dc3546,,master,failed,25544,2014-02-06 21:43:41 UTC,18368791,18368792,18368793,18368794,18368795,18368796,18368797,18368798,18368799,18368800,18368801,18368802,18368803,18368804,18368805,18368806,18368807,18368808,18368809,18368810,18368811,18368812,push
18366406,a3cf4748cc4be17c27030728fdd00f79419a2238,,master,canceled,18954,2014-02-06 21:06:42 UTC,18366407,18366408,18366409,18366410,18366411,18366412,18366413,18366414,18366415,18366416,18366417,18366418,18366419,18366420,18366421,18366422,18366423,18366424,18366425,18366426,18366427,18366428,push
18365165,5923a71bb7165acc33374093d32ce12f63c0c492,,master,errored,23867,2014-02-06 20:34:30 UTC,18365166,18365167,18365168,18365169,18365172,18365174,18365175,18365177,18365178,18365179,18365180,18365181,18365182,18365183,18365184,18365185,18365186,18365187,18365188,18365189,18365190,18365191,push
18365103,545bd1b58d20c195405c2d8c8980c3ec55263837,,master,errored,25683,2014-02-06 20:02:39 UTC,18365104,18365105,18365106,18365107,18365108,18365109,18365110,18365111,18365112,18365113,18365114,18365115,18365116,18365117,18365118,18365119,18365120,18365121,18365122,18365123,18365124,18365125,push
18361788,ae8fdc62066aa92a448700d1cda1aa15f7c17e44,,master,errored,25595,2014-02-06 19:24:22 UTC,18361789,18361790,18361791,18361792,18361793,18361794,18361795,18361796,18361797,18361798,18361799,18361800,18361801,18361802,18361803,18361804,18361805,18361806,18361807,18361808,18361809,18361810,push
18359644,f00ee6ef5492b9e21af596f26dd2ac0c6eda48ff,,master,errored,25671,2014-02-06 18:50:26 UTC,18359645,18359646,18359647,18359648,18359649,18359650,18359651,18359652,18359653,18359654,18359655,18359656,18359657,18359658,18359659,18359660,18359661,18359662,18359663,18359664,18359665,18359666,push
18358293,1d624517c712cefd2d786660cd5513ec4b2fc057,,master,errored,23531,2014-02-06 18:19:44 UTC,18358294,18358295,18358296,18358297,18358298,18358299,18358300,18358301,18358302,18358303,18358304,18358305,18358306,18358307,18358310,18358311,18358312,18358313,18358314,18358315,18358316,18358317,push
18355559,ba729fe8d7138c3703b91feeecbf9f640d03cbfb,,master,errored,25060,2014-02-06 17:56:50 UTC,18355560,18355561,18355562,18355563,18355564,18355565,18355566,18355567,18355568,18355569,18355570,18355571,18355572,18355573,18355574,18355575,18355576,18355577,18355578,18355579,18355580,18355581,push
18354155,1b9df6effea26940c545f4ae4c7e5c7b46a1997d,,master,failed,24667,2014-02-06 17:25:07 UTC,18354156,18354157,18354158,18354159,18354160,18354161,18354162,18354163,18354164,18354165,18354166,18354167,18354168,18354169,18354170,18354171,18354172,18354173,18354174,18354175,18354176,18354177,push
18354101,576143d795e385245067c238ad674530b9711ba0,,master,passed,25229,2014-02-06 16:55:23 UTC,18354102,18354103,18354104,18354105,18354106,18354107,18354108,18354109,18354110,18354111,18354112,18354113,18354114,18354115,18354116,18354117,18354118,18354119,18354120,18354121,18354122,18354123,push
18354069,f34511913a96420efe2e0552c3f18cd2e87c0678,,master,failed,24594,2014-02-06 16:39:07 UTC,18354070,18354071,18354072,18354073,18354074,18354075,18354076,18354077,18354078,18354080,18354081,18354082,18354083,18354084,18354085,18354086,18354087,18354088,18354089,18354090,18354091,18354092,push
