build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
753679216,01e579948c9f4df397085d0fa849137f79651aac,,v0.12.2,passed,1092,2021-01-09 14:04:38 UTC,753679217,753679218,753679219,753679220,753679221,753679222,753679223,753679224,753679225,753679226,753679227,753679228,push
753521607,01e579948c9f4df397085d0fa849137f79651aac,,master,passed,1112,2021-01-08 11:49:13 UTC,753521608,753521609,753521610,753521611,753521612,753521613,753521614,753521615,753521616,753521617,753521618,753521619,push
753518986,408c251740d9ae9294f4a3c569f24fa6a8658089,,master,passed,1119,2021-01-08 11:31:39 UTC,753518987,753518988,753518989,753518990,753518991,753518992,753518993,753518994,753518995,753518996,753518997,753518998,push
753518496,1cc9d9c3303a583fdcd30ef26f6e4c9e2fd570b6,,master,passed,1126,2021-01-08 11:21:25 UTC,753518497,753518498,753518499,753518500,753518501,753518502,753518503,753518504,753518505,753518506,753518507,753518508,push
753513485,a10de8014bacd9f3009cf568b791561b2ab0aa20,,master,passed,1125,2021-01-08 10:32:58 UTC,753513486,753513487,753513488,753513489,753513490,753513491,753513492,753513493,753513494,753513495,753513496,753513497,push
749729774,07ba8fd0ba5528349eb6208ef8c233a892b7c8ee,,v0.12.1,passed,1118,2020-12-15 03:21:36 UTC,749729775,749729776,749729777,749729778,749729779,749729780,749729781,749729782,749729783,749729784,749729785,749729786,push
749729533,07ba8fd0ba5528349eb6208ef8c233a892b7c8ee,,master,passed,1108,2020-12-15 01:37:27 UTC,749729534,749729535,749729536,749729537,749729538,749729539,749729540,749729541,749729542,749729543,749729544,749729545,push
738889348,547ec69bf4e2de56cbfe45b7b70e6748a21b1f6c,,master,passed,1117,2020-10-26 07:01:49 UTC,738889349,738889350,738889351,738889352,738889353,738889354,738889355,738889356,738889357,738889358,738889359,738889360,push
738888355,02303fa938e1b046ac7a432dd3720c0090aa0c53,,master,canceled,0,,738888357,738888359,738888362,738888363,738888364,738888365,738888366,738888367,738888368,738888369,738888370,738888371,push
738887805,e1b1edf536bd7b7fd0550ffcdb789f6a21864b66,,master,canceled,0,,738887806,738887807,738887808,738887809,738887810,738887811,738887812,738887813,738887814,738887815,738887816,738887817,push
738887345,8889b73a2421804f16b7adb7cd4fc12743dc14ca,,v0.12.0,passed,1129,2020-10-26 06:55:24 UTC,738887346,738887347,738887348,738887349,738887350,738887351,738887352,738887353,738887354,738887355,738887356,738887357,push
738887188,8889b73a2421804f16b7adb7cd4fc12743dc14ca,,master,passed,1120,2020-10-26 06:50:36 UTC,738887189,738887190,738887191,738887192,738887193,738887194,738887195,738887196,738887197,738887198,738887199,738887200,push
738726699,4365ada7bcd7dcd0b53667d8542590163b470c38,,master,passed,1134,2020-10-25 14:52:01 UTC,738726706,738726708,738726709,738726710,738726711,738726712,738726713,738726714,738726716,738726717,738726718,738726719,push
738690404,f469cc445cd9e2c35a88085cd5ae59eac5069165,,master,passed,1147,2020-10-25 09:25:32 UTC,738690405,738690406,738690407,738690408,738690409,738690410,738690411,738690412,738690413,738690414,738690415,738690416,push
738688030,3d56706435a5ac647ef69d5d025cd3aa11412205,,master,passed,1141,2020-10-25 09:04:06 UTC,738688031,738688032,738688033,738688034,738688035,738688036,738688037,738688038,738688039,738688040,738688041,738688042,push
738686711,4bb62b330efedabc59d377db73625008d40a9144,,master,passed,1099,2020-10-25 08:49:52 UTC,738686712,738686713,738686714,738686715,738686716,738686717,738686718,738686719,738686720,738686721,738686722,738686723,push
