build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
759189154,8bff47e16be3f38aefdcd0b9c45df29a2cdbf5c7,,master,passed,3510,2021-02-16 13:58:35 UTC,759189155,759189156,759189157,759189158,759189159,759189160,759189161,759189162,759189163,759189164,759189165,759189166,759189167,759189168,759189169,759189170,759189171,759189172,759189173,759189174,759189175,759189176,759189177,759189178,759189179,759189180,759189181,759189182,759189183,759189184,759189185,759189186,759189187,759189188,759189189,759189190,759189191,759189192,759189193,759189194,759189195,759189196,push
759188787,8e48c64e90c65f31e77522942fc9faed27264ab4,,master,passed,4510,2021-02-16 13:37:20 UTC,759188788,759188789,759188790,759188791,759188792,759188793,759188794,759188795,759188796,759188797,759188798,759188799,759188800,759188801,759188802,759188803,759188804,759188805,759188806,759188807,759188808,759188809,759188810,759188811,759188812,759188813,759188814,759188815,759188816,759188817,759188818,759188819,759188820,759188821,759188822,759188823,759188824,759188825,759188826,759188827,759188828,759188829,push
758254206,27ad1d2a6570cd689a10d68f911942ada168dd00,,master,passed,4504,2021-02-10 00:37:19 UTC,758254207,758254208,758254209,758254210,758254211,758254212,758254213,758254214,758254215,758254216,758254217,758254218,758254219,758254220,758254221,758254222,758254223,758254224,758254225,758254226,758254227,758254228,758254229,758254230,758254231,758254232,758254233,758254234,758254235,758254236,758254237,758254238,758254239,758254240,758254241,758254242,758254243,758254244,758254245,758254246,758254247,758254248,push
758234974,03f02cc6a4cea3f501f4d9a6814053a616461cc7,,master,passed,4514,2021-02-09 15:46:49 UTC,758234975,758234976,758234977,758234978,758234979,758234980,758234981,758234982,758234983,758234984,758234985,758234986,758234987,758234988,758234989,758234990,758234991,758234992,758234993,758234994,758234995,758234996,758234997,758234998,758234999,758235000,758235001,758235002,758235003,758235004,758235005,758235006,758235007,758235008,758235009,758235010,758235011,758235012,758235013,758235014,758235015,758235016,push
752809636,a88186a8e411979dc01c545f0ee4c51db1f93059,,master,passed,4333,2021-01-04 14:58:42 UTC,752809637,752809638,752809639,752809640,752809641,752809642,752809643,752809644,752809645,752809646,752809647,752809648,752809649,752809650,752809651,752809652,752809653,752809654,752809655,752809656,752809657,752809658,752809659,752809660,752809661,752809662,752809663,752809664,752809665,752809666,752809667,752809668,752809669,752809670,752809671,752809672,752809673,752809674,752809675,752809676,752809677,752809678,push
748603926,df8be517f98a9263deb2b12f8ef7bc3b55c58b7b,,master,passed,3643,2020-12-09 19:13:18 UTC,748603927,748603928,748603929,748603930,748603931,748603932,748603933,748603934,748603935,748603936,748603937,748603938,748603939,748603940,748603941,748603942,748603943,748603944,748603945,748603946,748603947,748603948,748603949,748603950,748603951,748603952,748603953,748603954,748603955,748603956,748603957,748603958,748603959,748603960,748603961,748603962,748603963,748603964,748603965,748603966,748603967,748603968,push
748393509,1ee340a84e828e845dd178c2bc3a48d8fa68fb6a,,master,passed,3502,2020-12-08 19:23:58 UTC,748393510,748393511,748393512,748393513,748393514,748393515,748393516,748393517,748393518,748393519,748393520,748393521,748393522,748393523,748393524,748393525,748393526,748393527,748393528,748393529,748393530,748393531,748393532,748393533,748393534,748393535,748393536,748393537,748393538,748393539,748393540,748393541,748393542,748393543,748393544,748393545,748393546,748393547,748393548,748393549,748393550,748393551,push
748188717,1694be7b44467c40c3777933737b40f4735b8ee6,,master,passed,4755,2020-12-08 10:11:22 UTC,748188718,748188719,748188720,748188721,748188722,748188723,748188724,748188725,748188726,748188727,748188728,748188729,748188730,748188731,748188732,748188733,748188734,748188735,748188736,748188737,748188738,748188739,748188740,748188741,748188742,748188743,748188744,748188745,748188746,748188747,748188748,748188749,748188750,748188751,748188752,748188753,748188754,748188755,748188756,748188757,748188758,748188759,push
748188170,8fbba1ad94ad3d9c0fcf4c9dde111195a1a8fe8f,267,master,errored,908,2020-12-08 06:49:04 UTC,748188171,748188172,748188173,748188174,748188175,748188176,748188177,748188178,748188179,748188180,748188181,748188182,748188183,748188184,748188185,748188186,748188187,748188188,748188189,748188190,748188191,748188192,748188193,748188194,748188195,748188196,748188197,748188198,748188199,748188200,748188201,748188202,748188203,748188204,748188205,748188206,748188207,748188208,748188209,748188210,748188211,748188212,pull_request
748187836,cc2bf79edbcba7ae0c15a83a6ed1b6467e08288c,267,master,canceled,0,,748187837,748187838,748187839,748187840,748187841,748187842,748187843,748187844,748187845,748187846,748187847,748187848,748187849,748187850,748187851,748187852,748187853,748187854,748187855,748187856,748187857,748187858,748187859,748187860,748187861,748187862,748187863,748187864,748187865,748187866,748187867,748187868,748187869,748187870,748187871,748187872,748187873,748187874,748187875,748187876,748187877,748187878,pull_request
