build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
554415136,1a5b6305be4261f04b130a84f7780c9b5dafc943,,master,passed,5970,2019-07-04 21:08:13 UTC,554415137,554415138,554415139,554415140,554415141,554415142,554415143,554415144,554415145,554415146,554415147,554415148,push
554414339,1af95e1a35e746bc6c942f06888ded24567f38ec,1597,master,passed,6101,2019-07-04 20:50:58 UTC,554414340,554414341,554414342,554414343,554414344,554414345,554414346,554414347,554414348,554414349,554414350,554414351,pull_request
554396999,0cd0a591ffaab80a953081c4227799dc59100d64,3070,master,passed,6187,2019-07-04 20:06:44 UTC,554397000,554397001,554397002,554397003,554397004,554397005,554397006,554397007,554397008,554397009,554397010,554397011,pull_request
554393389,dbd6fa8f1f2fd39d6c1200d2a81b06c613d5a842,3070,master,passed,6064,2019-07-04 19:49:49 UTC,554393390,554393391,554393392,554393393,554393394,554393395,554393396,554393397,554393398,554393399,554393400,554393401,pull_request
554151920,7b1f2841d4102e7020f95600fa30ef04e36a665d,3079,master,passed,5972,2019-07-04 09:06:20 UTC,554151921,554151922,554151923,554151924,554151925,554151926,554151927,554151928,554151929,554151930,554151931,554151932,pull_request
554094670,4aa2c77b70ed813c368dcb4c1de314e50b73e660,3070,master,passed,6031,2019-07-04 06:22:14 UTC,554094671,554094672,554094673,554094674,554094675,554094676,554094677,554094678,554094679,554094680,554094681,554094682,pull_request
554094509,c113acd5f2204a7a6bc6c9374d97462eb0857cb1,3070,master,canceled,0,2019-07-04 06:21:23 UTC,554094510,554094511,554094512,554094513,554094514,554094515,554094516,554094517,554094518,554094519,554094520,554094521,pull_request
554084470,fa4869af7205894d5665adbb584c63375587650b,3070,master,passed,5992,2019-07-04 05:59:21 UTC,554084471,554084472,554084473,554084474,554084475,554084476,554084477,554084478,554084479,554084480,554084481,554084482,pull_request
554083591,9c34869f670a7bea4d8cbcb3994019cf9a1fd79e,3070,master,passed,5977,2019-07-04 05:39:53 UTC,554083592,554083593,554083594,554083595,554083596,554083597,554083598,554083599,554083600,554083601,554083602,554083603,pull_request
554074548,e1afdc5f75821768f30f89f32f5c6f0a5de0ccfc,3070,master,passed,6043,2019-07-04 05:14:54 UTC,554074549,554074550,554074551,554074552,554074553,554074554,554074555,554074556,554074557,554074558,554074559,554074560,pull_request
554073953,1ce1981cee5de826fd36856b7f27438f6a60d725,3070,master,canceled,0,,554073954,554073955,554073956,554073957,554073958,554073959,554073960,554073961,554073962,554073963,554073964,554073965,pull_request
554072659,a99fcc365710091c97a6826b39e4f53df9c8ab69,3070,master,canceled,0,,554072660,554072661,554072662,554072663,554072664,554072665,554072666,554072667,554072668,554072669,554072670,554072671,pull_request
