build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
690556738,78c5f44e83e70a85539668c2ba863de18a226948,330,master,passed,842,2020-05-24 08:12:31 UTC,690556739,690556740,690556741,690556742,690556743,690556744,690556745,690556746,690556747,690556748,690556749,pull_request
690556726,bb48a66dca29b2ae061b49a17e552f30a05c7604,,buildkite,passed,847,2020-05-24 08:09:10 UTC,690556727,690556728,690556729,690556730,690556731,690556732,690556733,690556734,690556735,690556736,690556737,push
690556228,190a466948c813cb7d8c6398514a3b59e4184bbf,330,master,passed,816,2020-05-24 08:05:48 UTC,690556229,690556230,690556231,690556232,690556233,690556234,690556235,690556236,690556237,690556238,690556239,pull_request
690556189,d9b267cd98f6b7baf7945ad7dd298e1e9ba1e986,,buildkite,passed,840,2020-05-24 08:03:30 UTC,690556190,690556191,690556192,690556193,690556194,690556195,690556196,690556197,690556198,690556199,690556200,push
679697611,54d39a246c22ebdd1c8ee3d16387de5dbc71ac98,,master,passed,851,2020-04-26 13:04:55 UTC,679697612,679697613,679697614,679697615,679697616,679697617,679697618,679697619,679697620,679697621,679697622,cron
672057681,586a1df2a2bec349019a45930432c9ced177695c,,node-test,passed,886,2020-04-07 12:35:01 UTC,672057682,672057683,672057684,672057685,672057686,672057687,672057688,672057689,672057690,672057691,672057692,push
667240390,54d39a246c22ebdd1c8ee3d16387de5dbc71ac98,,master,passed,875,2020-03-26 13:04:26 UTC,667240391,667240392,667240393,667240394,667240395,667240396,667240397,667240398,667240399,667240400,667240401,cron
655343538,54d39a246c22ebdd1c8ee3d16387de5dbc71ac98,,master,passed,878,2020-02-26 13:03:21 UTC,655343539,655343540,655343541,655343542,655343543,655343544,655343545,655343546,655343547,655343548,655343549,cron
644272314,f23fc04aa5b1568b9e63ad986e4ab7f87482e956,326,master,failed,739,2020-01-31 09:42:02 UTC,644272315,644272316,644272317,644272318,644272319,644272320,644272321,644272322,644272323,644272324,644272325,pull_request
642006492,54d39a246c22ebdd1c8ee3d16387de5dbc71ac98,,master,passed,903,2020-01-26 13:02:37 UTC,642006493,642006494,642006495,642006496,642006497,642006498,642006499,642006500,642006501,642006502,642006503,cron
