build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
711506902,1de8b0d066cc6b15a82ab9bc8bf503423626c3d7,561,master,failed,1883,2020-07-24 15:40:24 UTC,711506903,711506904,711506905,711506906,711506907,711506908,711506909,711506910,711506911,711506912,711506913,711506914,711506915,711506916,711506917,711506918,711506919,711506921,711506922,711506924,711506925,pull_request
711504259,1de8b0d066cc6b15a82ab9bc8bf503423626c3d7,561,master,canceled,0,,711504260,711504261,711504262,711504263,711504264,711504265,711504266,711504267,711504268,711504269,711504270,711504271,711504272,711504273,711504274,711504275,711504276,711504277,711504278,711504279,711504280,pull_request
711504233,92503485a9a595e35ec4680fb21f2dc26a214869,,migrate-from-travisci-to-github-actions,errored,2460,2020-07-24 15:31:11 UTC,711504234,711504235,711504236,711504237,711504238,711504239,711504240,711504241,711504242,711504243,711504244,711504245,711504246,711504247,711504248,711504249,711504250,711504251,711504252,711504253,711504254,push
711501790,0f6ed61285168f025211cab11aa3bf24f7e7f90b,561,master,canceled,0,,711501791,711501792,711501793,711501794,711501795,711501796,711501797,711501798,711501799,711501800,711501801,711501802,711501803,711501804,711501805,711501806,711501807,711501808,711501809,711501810,711501811,pull_request
711501763,16fa4251411dcac9b3d43315e501b5f19ff2feaa,,migrate-from-travisci-to-github-actions,failed,1923,2020-07-24 15:23:30 UTC,711501764,711501765,711501766,711501767,711501768,711501769,711501770,711501771,711501772,711501773,711501774,711501775,711501776,711501777,711501778,711501779,711501780,711501781,711501782,711501783,711501784,push
711498903,f1d001629aad3341bb1705b869decd56288e17d9,561,master,failed,1937,2020-07-24 15:15:58 UTC,711498904,711498905,711498906,711498907,711498908,711498909,711498910,711498911,711498912,711498913,711498914,711498915,711498916,711498917,711498918,711498919,711498920,711498921,711498922,711498923,711498924,pull_request
711498637,3d4682892f8d914cf5f70e7a3e161e20b7ac6b41,,migrate-from-travisci-to-github-actions,failed,1914,2020-07-24 15:09:09 UTC,711498638,711498639,711498640,711498641,711498642,711498643,711498644,711498645,711498646,711498647,711498648,711498649,711498650,711498651,711498652,711498653,711498654,711498655,711498656,711498657,711498658,push
711328056,e25585111228eed3f8cdb12f2441f8baa3fbfddf,,fix-failure-on-travisci-build,failed,1984,2020-07-24 02:28:37 UTC,711328057,711328058,711328059,711328060,711328061,711328062,711328063,711328064,711328065,711328066,711328067,711328068,711328069,711328070,711328071,711328072,711328073,711328074,711328075,711328076,711328077,push
711167562,3a06c66740dbc37c2a0973961b565cec9ffdf1cc,,master,failed,1908,2020-07-23 16:39:55 UTC,711167563,711167564,711167565,711167566,711167567,711167568,711167569,711167570,711167571,711167572,711167573,711167574,711167575,711167576,711167577,711167578,711167579,711167580,711167581,711167582,711167583,push
711165474,2b1923dbc1a380ba99d0364fd0c11acc121acf65,,master,failed,1925,2020-07-23 16:32:37 UTC,711165475,711165476,711165477,711165478,711165479,711165480,711165481,711165482,711165483,711165484,711165485,711165486,711165487,711165488,711165489,711165490,711165491,711165492,711165493,711165494,711165495,push
711162830,ca6eebad02437aa14b00539ea2d9a4b32a70d286,,master,canceled,-6,2020-07-23 16:32:22 UTC,711162831,711162832,711162833,711162834,711162835,711162836,711162837,711162838,711162839,711162840,711162841,711162842,711162843,711162844,711162845,711162846,711162847,711162849,711162850,711162851,711162852,push
711162559,f50b1c7a25c958694823035ff069b4cfb7cca745,,master,failed,1923,2020-07-23 16:25:28 UTC,711162560,711162561,711162562,711162563,711162564,711162565,711162566,711162567,711162568,711162569,711162570,711162571,711162572,711162573,711162574,711162575,711162576,711162577,711162578,711162579,711162580,push
711155408,e926c98836c0622654fab84aa8e4f091c52e0d15,,master,failed,1944,2020-07-23 16:12:46 UTC,711155409,711155410,711155411,711155412,711155413,711155414,711155415,711155416,711155417,711155418,711155419,711155420,711155421,711155422,711155423,711155424,711155425,711155426,711155427,711155428,711155429,push
707911566,cb44e0f65dcfa9b368e9fa7052a4368760df388d,557,master,passed,2019,2020-07-14 08:39:58 UTC,707911567,707911568,707911569,707911570,707911571,707911572,707911573,707911574,707911575,707911576,707911577,707911578,707911579,707911580,707911581,707911582,707911583,707911584,707911585,707911586,707911587,pull_request
707909982,821cc3c984eac0a9cf4f11d5f464396d8dabab25,557,master,failed,1397,2020-07-14 08:32:29 UTC,707909983,707909984,707909985,707909986,707909987,707909988,707909989,707909990,707909991,707909992,707909993,707909994,707909995,707909996,707909997,707909998,707909999,707910000,707910001,707910002,707910003,pull_request
707702528,c283c9ef46f25a7c5cba58226e1da6b576da2d97,557,master,failed,1120,2020-07-13 16:37:03 UTC,707702529,707702530,707702531,707702532,707702533,707702534,707702535,707702536,707702537,707702538,707702539,707702540,707702541,707702542,707702543,707702544,707702545,707702546,707702547,707702548,707702549,pull_request
701728072,2ab2ea74668b10f3910f3d5b9526494fa5671ca1,,master,passed,2013,2020-06-24 17:05:14 UTC,701728073,701728076,701728079,701728080,701728082,701728085,701728087,701728090,701728097,701728099,701728100,701728102,701728106,701728108,701728110,701728113,701728115,701728119,701728121,701728124,701728125,cron
700892017,2ab2ea74668b10f3910f3d5b9526494fa5671ca1,,master,passed,1997,2020-06-22 14:00:47 UTC,700892018,700892019,700892020,700892021,700892022,700892023,700892024,700892025,700892026,700892027,700892028,700892029,700892030,700892031,700892032,700892033,700892034,700892035,700892036,700892037,700892038,push
700716515,22e63a25f3eaacbb53ddaf0c77bcd6e09350a6aa,553,master,passed,1950,2020-06-22 02:07:29 UTC,700716516,700716517,700716518,700716519,700716520,700716521,700716522,700716523,700716524,700716525,700716526,700716527,700716528,700716529,700716530,700716531,700716532,700716533,700716534,700716535,700716536,pull_request
700716491,1ee2a56dddbd17ed936e8589be8ae40ee5e98d1b,,issue-551,passed,1958,2020-06-22 02:00:10 UTC,700716492,700716493,700716494,700716495,700716496,700716497,700716498,700716499,700716500,700716501,700716502,700716503,700716504,700716505,700716506,700716507,700716508,700716509,700716510,700716511,700716512,push
