build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
512882799,2b3362f204c0b24ece316619911c414d569a30c2,122,master,passed,4564,2019-03-29 07:53:53 UTC,512882800,512882801,512882802,512882803,512882804,512882805,512882806,pull_request
512870925,626b4ea481b521c222155a0f65785b185d3c06e0,120,master,passed,4700,2019-03-29 07:05:07 UTC,512870927,512870929,512870930,512870931,512870932,512870933,512870934,pull_request
512794866,b70d3db5853d09c7b1a4b8ba7ceb9290e024e863,121,master,passed,4573,2019-03-29 01:32:07 UTC,512794867,512794868,512794869,512794870,512794871,512794872,512794873,pull_request
512633189,43090641511f7544570f275872b07d8ad90f008c,120,master,passed,5251,2019-03-28 21:05:43 UTC,512633190,512633191,512633192,512633193,512633194,512633195,512633196,pull_request
512482323,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,5045,2019-03-28 12:19:40 UTC,512482326,512482328,512482331,512482335,512482336,512482339,512482340,cron
511459410,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4878,2019-03-26 12:42:26 UTC,511459411,511459413,511459415,511459417,511459420,511459423,511459429,cron
510559254,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4430,2019-03-24 12:16:44 UTC,510559255,510559256,510559257,510559258,510559259,510559260,510559261,cron
509887132,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,5056,2019-03-22 12:15:25 UTC,509887133,509887134,509887135,509887136,509887137,509887138,509887139,cron
508895351,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,errored,4823,2019-03-20 12:14:20 UTC,508895352,508895354,508895355,508895356,508895358,508895359,508895360,cron
507820788,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4794,2019-03-18 12:37:48 UTC,507820794,507820795,507820796,507820797,507820798,507820799,507820800,cron
507176925,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4629,2019-03-16 12:36:34 UTC,507176926,507176928,507176929,507176932,507176933,507176935,507176936,cron
506249791,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4857,2019-03-14 12:35:11 UTC,506249792,506249793,506249794,506249795,506249796,506249797,506249799,cron
505188701,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4715,2019-03-12 12:33:35 UTC,505188702,505188703,505188704,505188705,505188706,505188707,505188708,cron
504275999,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4431,2019-03-10 12:32:03 UTC,504276000,504276001,504276002,504276003,504276004,504276005,504276007,cron
503570940,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4524,2019-03-08 12:30:53 UTC,503570941,503570942,503570943,503570944,503570945,503570946,503570947,cron
502532969,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4792,2019-03-06 12:06:52 UTC,502532970,502532971,502532972,502532973,502532974,502532975,502532976,cron
501458535,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,failed,4328,2019-03-04 12:06:16 UTC,501458536,501458537,501458538,501458539,501458541,501458542,501458543,cron
500770072,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4319,2019-03-02 12:28:57 UTC,500770073,500770074,500770075,500770076,500770077,500770078,500770079,cron
499771856,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4355,2019-02-28 12:05:13 UTC,499771857,499771858,499771859,499771860,499771861,499771862,499771863,cron
