build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
432410888,594dde598a989622777b893d5e8d5d47797a4102,,master,passed,3063,2018-09-24 10:45:53 UTC,432410889,432410890,432410891,432410892,432410893,432410894,432410895,cron
431831811,594dde598a989622777b893d5e8d5d47797a4102,,master,passed,3069,2018-09-22 10:44:52 UTC,431831812,431831813,431831814,431831815,431831816,431831817,431831818,cron
431124346,594dde598a989622777b893d5e8d5d47797a4102,,master,passed,3081,2018-09-20 17:02:17 UTC,431124347,431124348,431124349,431124350,431124351,431124352,431124353,push
430479611,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2908,2018-09-19 10:44:12 UTC,430479612,430479613,430479614,430479615,430479616,430479617,cron
429510940,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2980,2018-09-17 10:42:13 UTC,429510941,429510942,429510943,429510944,429510945,429510946,cron
428948925,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2726,2018-09-15 10:40:31 UTC,428948926,428948927,428948928,428948929,428948930,428948931,cron
428098231,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2929,2018-09-13 10:39:23 UTC,428098232,428098233,428098234,428098235,428098236,428098237,cron
427141219,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2844,2018-09-11 10:38:18 UTC,427141220,427141221,427141222,427141223,427141224,427141225,cron
426308243,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2787,2018-09-09 10:36:45 UTC,426308244,426308245,426308246,426308247,426308248,426308249,cron
425673755,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2986,2018-09-07 10:36:28 UTC,425673756,425673757,425673758,425673759,425673760,425673761,cron
424729005,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,3335,2018-09-05 10:35:47 UTC,424729006,424729007,424729008,424729009,424729010,424729012,cron
423866184,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2865,2018-09-03 10:35:09 UTC,423866185,423866186,423866187,423866188,423866189,423866190,cron
423335499,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2780,2018-09-01 10:33:59 UTC,423335502,423335503,423335504,423335505,423335506,423335507,cron
422487474,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2803,2018-08-30 10:32:45 UTC,422487475,422487476,422487477,422487478,422487479,422487480,cron
421502622,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2874,2018-08-28 10:31:39 UTC,421502623,421502624,421502625,421502626,421502627,421502628,cron
420720825,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2746,2018-08-26 10:30:31 UTC,420720826,420720827,420720828,420720829,420720830,420720831,cron
420056466,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2712,2018-08-24 10:29:58 UTC,420056467,420056468,420056469,420056470,420056471,420056472,cron
419106779,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2512,2018-08-22 10:28:33 UTC,419106780,419106781,419106782,419106783,419106784,419106785,cron
418163617,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2283,2018-08-20 10:27:26 UTC,418163618,418163619,418163620,418163621,418163622,418163623,cron
417593543,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2145,2018-08-18 10:26:18 UTC,417593545,417593547,417593549,417593550,417593552,417593554,cron
416751376,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2281,2018-08-16 10:25:23 UTC,416751377,416751378,416751379,416751380,416751381,416751382,cron
415855827,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2230,2018-08-14 10:24:31 UTC,415855828,415855829,415855830,415855831,415855832,415855833,cron
415071926,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,failed,2339,2018-08-12 10:23:30 UTC,415071927,415071928,415071929,415071930,415071931,415071932,cron
414452826,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2112,2018-08-10 10:22:32 UTC,414452827,414452828,414452829,414452830,414452831,414452832,cron
413513245,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2182,2018-08-08 10:21:40 UTC,413513246,413513247,413513248,413513249,413513250,413513251,cron
412578891,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2207,2018-08-06 10:19:58 UTC,412578892,412578893,412578894,412578895,412578896,412578897,cron
412052984,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2001,2018-08-04 10:18:34 UTC,412052985,412052986,412052987,412052988,412052989,412052990,cron
411216140,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2160,2018-08-02 10:18:06 UTC,411216141,411216142,411216143,411216144,411216145,411216146,cron
410253796,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2379,2018-07-31 10:16:49 UTC,410253797,410253798,410253799,410253800,410253801,410253802,cron
409492156,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2318,2018-07-29 10:15:58 UTC,409492157,409492158,409492159,409492160,409492161,409492162,cron
408880374,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2401,2018-07-27 10:15:51 UTC,408880375,408880376,408880377,408880378,408880379,408880380,cron
407995188,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2440,2018-07-25 10:14:36 UTC,407995189,407995190,407995191,407995192,407995193,407995194,cron
407073747,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2259,2018-07-23 10:14:10 UTC,407073748,407073749,407073750,407073751,407073752,407073753,cron
406558572,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2104,2018-07-21 10:13:15 UTC,406558573,406558575,406558576,406558577,406558578,406558579,cron
405740616,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2328,2018-07-19 10:12:31 UTC,405740617,405740618,405740619,405740620,405740621,405740622,cron
405287334,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2276,2018-07-18 10:11:39 UTC,405287335,405287336,405287337,405287338,405287339,405287340,cron
404377738,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2316,2018-07-16 10:11:07 UTC,404377739,404377740,404377741,404377742,404377743,404377744,cron
403865233,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2253,2018-07-14 10:09:52 UTC,403865234,403865235,403865236,403865237,403865238,403865239,cron
403045344,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2676,2018-07-12 10:09:28 UTC,403045345,403045346,403045347,403045348,403045349,403045350,cron
402140075,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2257,2018-07-10 10:08:47 UTC,402140076,402140077,402140078,402140079,402140080,402140082,cron
401405488,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2075,2018-07-08 10:08:32 UTC,401405489,401405490,401405491,401405492,401405493,401405494,cron
400817241,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2189,2018-07-06 10:08:04 UTC,400817243,400817245,400817248,400817249,400817251,400817255,cron
399946963,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2286,2018-07-04 10:06:45 UTC,399946964,399946965,399946966,399946967,399946968,399946969,cron
399060828,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2260,2018-07-02 10:05:47 UTC,399060829,399060830,399060831,399060832,399060833,399060834,cron
398547312,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2008,2018-06-30 10:04:10 UTC,398547313,398547314,398547315,398547316,398547317,398547318,cron
397723794,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2217,2018-06-28 10:03:11 UTC,397723796,397723797,397723798,397723799,397723800,397723801,cron
397023575,7a49634a71c85174993cf267898b43a7024efc5d,93,master,passed,2149,2018-06-26 18:44:25 UTC,397023576,397023577,397023578,397023579,397023580,397023581,pull_request
396807105,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2207,2018-06-26 10:02:32 UTC,396807106,396807107,396807108,396807109,396807110,396807111,cron
396032783,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2061,2018-06-24 10:01:24 UTC,396032784,396032785,396032786,396032787,396032788,396032789,cron
395399904,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2395,2018-06-22 10:00:17 UTC,395399906,395399908,395399909,395399910,395399912,395399916,cron
394482715,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2303,2018-06-20 09:59:23 UTC,394482716,394482717,394482718,394482719,394482720,394482721,cron
393938691,85afdba8d1fc0d8b1d2660bfffed803ed25aff62,,master,passed,2147,2018-06-19 03:56:57 UTC,393938692,393938693,393938694,393938695,393938696,393938697,push
393781160,97b8bda2b41cd262d6f5d764a442654b4a8e6fbf,91,master,passed,2205,2018-06-18 19:04:42 UTC,393781161,393781162,393781163,393781164,393781165,393781166,pull_request
393559535,e5cf842e7f1592d2e736b2f6938118fcf55c7a72,,master,passed,2282,2018-06-18 09:58:55 UTC,393559536,393559537,393559538,393559539,393559540,393559541,cron
393027258,e5cf842e7f1592d2e736b2f6938118fcf55c7a72,,master,passed,2010,2018-06-16 09:57:56 UTC,393027259,393027260,393027261,393027262,393027263,393027264,cron
392386847,e5cf842e7f1592d2e736b2f6938118fcf55c7a72,,master,passed,2204,2018-06-14 18:30:54 UTC,392386848,392386849,392386850,392386851,392386852,392386853,push
392172599,90d7c64389492287286177c8023018a072d65f3e,,master,passed,2255,2018-06-14 09:56:45 UTC,392172600,392172601,392172602,392172604,392172605,392172607,cron
391847413,a8bf31dc88a479a3a7cea5a032b3794f7992a1d7,90,master,passed,2181,2018-06-13 16:49:55 UTC,391847414,391847415,391847416,391847417,391847418,391847419,pull_request
391660369,90d7c64389492287286177c8023018a072d65f3e,,master,passed,2455,2018-06-13 09:15:36 UTC,391660370,391660371,391660372,391660373,391660374,391660375,push
391576745,1c75e45ab7b2286c1f13711cd999fcb1cae05df8,,master,passed,2057,2018-06-13 04:17:13 UTC,391576747,391576748,391576749,391576750,391576751,391576752,push
391422752,19a253e437c3ff49de52d353a1e75c9e9ee3739c,,master,passed,2143,2018-06-12 19:38:37 UTC,391422753,391422754,391422755,391422757,391422762,391422763,push
391421793,7f474a2010046f467ec68e58f69c1df91379cd19,,master,passed,1750,2018-06-12 19:23:04 UTC,391421794,391421795,391421796,391421797,391421798,push
391119632,fe4dc955b2e69c4721d896a556f920a8562c6f79,,master,passed,1769,2018-06-12 06:42:54 UTC,391119633,391119634,391119635,391119636,391119637,push
391117769,33b9258780c3d16131d3dd06832d674a0417a9b9,,master,passed,1729,2018-06-12 06:27:33 UTC,391117770,391117771,391117772,391117773,391117774,push
391094923,41d307e22cd3e88cacc9c132d5903d63fdb9c749,,master,passed,1643,2018-06-12 04:44:25 UTC,391094924,391094926,391094927,391094928,391094929,push
391093239,4b145608875599040692d15a58071653036c470e,,master,passed,1705,2018-06-12 04:29:33 UTC,391093240,391093241,391093242,391093243,391093244,push
390891979,7334d9016b325c7fcc1c4e0d285482ab66fac4d8,,master,passed,1747,2018-06-11 17:39:47 UTC,390891980,390891981,390891982,390891983,390891984,push
390350381,cac2d6784535673646cb9e3714e225ed75ab68a6,,master,passed,1966,2018-06-10 09:55:28 UTC,390350383,390350384,390350385,390350386,390350388,cron
389647907,cac2d6784535673646cb9e3714e225ed75ab68a6,,master,passed,1804,2018-06-08 09:54:16 UTC,389647908,389647909,389647910,389647911,389647912,cron
388687680,cac2d6784535673646cb9e3714e225ed75ab68a6,,master,passed,1879,2018-06-06 09:53:10 UTC,388687683,388687684,388687685,388687686,388687687,cron
387873132,cac2d6784535673646cb9e3714e225ed75ab68a6,,master,passed,1747,2018-06-04 16:21:53 UTC,387873133,387873134,387873135,387873136,387873137,push
387871078,c98925712a20cce20ce0e51ec99ada3eeb4480a9,84,master,errored,640,2018-06-04 16:18:51 UTC,387871079,387871080,387871081,387871082,387871083,pull_request
387353693,52192f0293b52996cde4d8c7908da6d0c9aaec34,,master,failed,1671,2018-06-03 09:51:32 UTC,387353695,387353696,387353697,387353698,387353699,cron
386582128,52192f0293b52996cde4d8c7908da6d0c9aaec34,,master,failed,1772,2018-06-01 09:50:52 UTC,386582129,386582130,386582131,386582132,386582133,cron
385606849,52192f0293b52996cde4d8c7908da6d0c9aaec34,,master,failed,1810,2018-05-30 09:49:27 UTC,385606850,385606851,385606852,385606853,385606854,cron
385059183,0669d47e30cb61ab3edf5beedef7b7123c176af7,84,master,failed,1793,2018-05-29 07:25:06 UTC,385059184,385059185,385059186,385059187,385059188,pull_request
385055430,55420ba034cd1e251dd24623f16a2d771bd1383f,84,master,canceled,1463,2018-05-29 07:10:19 UTC,385055431,385055432,385055433,385055434,385055435,pull_request
385044583,cd5a81a3a8ca096c2c6109ba973fe308c1f2c6f2,84,master,failed,1667,2018-05-29 06:34:10 UTC,385044584,385044585,385044586,385044587,385044588,pull_request
385040249,0b267c15dfbf4a009d685cfff35a034d930b3be1,84,master,errored,517,2018-05-29 06:17:53 UTC,385040250,385040251,385040252,385040253,385040254,pull_request
385016937,52192f0293b52996cde4d8c7908da6d0c9aaec34,,master,failed,1720,2018-05-29 04:30:00 UTC,385016938,385016939,385016940,385016941,385016942,push
384886519,6c7fffcc8753f7d3cd0fd18d6c4925fee0ea7a29,,master,failed,1707,2018-05-28 20:27:41 UTC,384886520,384886521,384886522,384886523,384886524,push
384886493,db2f0ea0fcfbd78a43750ad345b7e0b375b413b4,79,master,errored,53,2018-05-28 19:55:59 UTC,384886494,384886496,384886497,384886498,384886499,pull_request
384886080,dbb790365c7b107d38b98854337e32b3821c54e7,,master,canceled,0,,384886081,384886084,384886085,384886086,384886087,push
384877731,3e1ba409d5f7d39042bf2e6141ffcd2abf562c3e,,master,passed,1951,2018-05-28 19:34:49 UTC,384877732,384877733,384877734,384877735,384877736,push
384875580,4817fd4fdf9920a368d733092afa433e11740673,,master,passed,1909,2018-05-28 19:18:07 UTC,384875581,384875582,384875583,384875584,384875585,push
384867581,b30d75e1b0ebb1939f6c80b5cbbcdf48bc8e4869,81,master,passed,2000,2018-05-28 18:57:15 UTC,384867583,384867585,384867586,384867587,384867588,pull_request
384864149,a92246d2ae69a5e52e413795ce9ae3a758e630fb,81,master,canceled,806,2018-05-28 18:47:55 UTC,384864150,384864151,384864152,384864153,384864154,pull_request
384861218,095b561ea0700b1b8d0c2d0f38ec9f92d3d800e9,81,master,failed,1077,2018-05-28 18:36:22 UTC,384861219,384861220,384861221,384861222,384861223,pull_request
384665240,9e82076dc3d450f5ebb958c524c41cd60bcb110f,,master,passed,1606,2018-05-28 09:47:41 UTC,384665241,384665242,384665243,384665244,384665245,cron
384040950,9e82076dc3d450f5ebb958c524c41cd60bcb110f,,master,passed,1571,2018-05-26 09:47:25 UTC,384040951,384040952,384040953,384040954,384040955,cron
383602294,f5699b49920d7c0f09746a2151c70f6af9d48893,79,master,passed,1722,2018-05-25 09:07:19 UTC,383602296,383602298,383602303,383602304,383602305,pull_request
383578001,9e82076dc3d450f5ebb958c524c41cd60bcb110f,,master,passed,1597,2018-05-25 07:57:01 UTC,383578002,383578003,383578004,383578005,383578006,push
383565032,4787fb2a05279fe9d8ac4b510a747843b9036edc,80,master,passed,1573,2018-05-25 07:13:24 UTC,383565033,383565034,383565035,383565036,383565037,pull_request
383558613,2c574d2bdc90989fe8ea66e4c964b0f52c53f86d,80,master,failed,1564,2018-05-25 06:51:59 UTC,383558614,383558615,383558616,383558617,383558618,pull_request
383555302,2a74dceda3353c6f4de67db25081e822d718c855,,master,passed,1645,2018-05-25 06:38:00 UTC,383555303,383555304,383555305,383555306,383555307,push
383545652,6f90c0e8aa79001b358139990629458d1585b65c,,master,errored,1458,2018-05-25 05:59:06 UTC,383545654,383545656,383545658,383545659,383545660,383545661,push
383366590,25be6313b68d3139c3bfeff9b9001b3046a01554,,master,failed,2590,2018-05-25 05:06:25 UTC,383366591,383366592,383366593,383366594,383366595,383366596,push
383364566,7e81150752f773996261ae6dc78026eaba0fbd02,79,master,passed,1674,2018-05-24 19:32:36 UTC,383364567,383364568,383364569,383364570,383364571,pull_request
383201345,0fd5403675937a64e1e6b343a8bc40c2a10bb94a,,master,passed,1738,2018-05-24 13:52:58 UTC,383201346,383201347,383201348,383201349,383201350,push
383194452,a3a13f94ccf3c1690dfa1b0647ece43568fa7af5,,master,passed,1671,2018-05-24 13:34:41 UTC,383194453,383194454,383194455,383194456,383194457,push
383192057,1536bec8267c3650ed8f882c528c6bfa71903f97,,master,canceled,0,,383192058,383192059,383192060,383192061,383192062,push
383189647,edf3be248954368685df1bf681ff1d0aec32f10d,78,master,passed,1641,2018-05-24 13:20:07 UTC,383189648,383189649,383189650,383189651,383189652,pull_request
383149992,d7a607d8439e55b2832e60577509acfdb573d1ee,78,master,failed,1126,2018-05-24 11:46:43 UTC,383149993,383149994,383149995,383149996,383149997,pull_request
383120533,a628e39c79f428f89e056c1de200687164a1592e,78,master,failed,1138,2018-05-24 10:39:18 UTC,383120534,383120535,383120536,383120537,383120538,pull_request
383120338,e468399fef833547f754e5d770e59667fb3ff6ee,,master,passed,1684,2018-05-24 10:25:12 UTC,383120339,383120340,383120341,383120342,383120343,push
383104854,f50618568b2369b51db1e567833519e958407a6e,78,master,failed,961,2018-05-24 09:57:38 UTC,383104855,383104856,383104857,383104858,pull_request
383104605,c5ab351aa4773f6bb62450b1e66485cf54faee84,,master,passed,1325,2018-05-24 09:46:28 UTC,383104607,383104608,383104609,383104610,cron
378018109,c5ab351aa4773f6bb62450b1e66485cf54faee84,,master,passed,1181,2018-05-12 06:21:25 UTC,378018110,378018111,378018112,378018113,push
378012773,ea05697d6f76bab3472f59b8433174dbf85e2288,,master,passed,842,2018-05-12 05:46:38 UTC,378012774,378012775,378012776,push
378012662,8a18e4423738879bd7a34329e4ecc47814a52443,,master,passed,1077,2018-05-12 05:39:07 UTC,378012663,378012664,378012665,push
377895397,b8dcb7de6b81e46dd8625c5c900b0e33e4539937,,master,failed,833,2018-05-11 22:29:29 UTC,377895398,377895399,377895400,push
377893451,d49730483cb96aadf1002074a65a146d764f1c71,,master,canceled,0,,377893452,377893453,push
377890045,154ada29aabffd9b0fe1f62976b0065c0cc90f19,,master,canceled,0,,377890046,377890048,push
374135693,56fc46c2e7a0f4f8925cbab4c9730be5d6b45367,,master,passed,810,2018-05-02 20:53:22 UTC,374135694,374135695,push
374127147,e47ffbae80a2a8cd2cf047510c6d80500fd2c33d,,master,passed,1167,2018-05-02 20:31:57 UTC,374127148,374127149,push
369554689,ebd63cd4f9f4c565a206d420a5956854c041bef6,,master,passed,596,2018-04-21 17:58:05 UTC,369554690,369554691,push
369553257,510e2a96a2d974c23473580c77daf427ab77e33a,74,master,passed,598,2018-04-21 17:50:44 UTC,369553258,369553259,pull_request
369547532,c6448ee2bad7faa76a921cbe4dacf6f70125b5d0,,master,passed,716,2018-04-21 17:26:55 UTC,369547533,369547534,push
365003066,bf9c4ab0fdb26793610e6fc7aacfad28d3d060ed,,master,passed,681,2018-04-11 08:34:39 UTC,365003067,365003068,push
364523235,b9683df11fad6ef834faf187cd70ca1a4450ce2c,74,master,passed,693,2018-04-10 09:43:48 UTC,364523236,364523237,pull_request
333160899,44f14c1a50ed549a4bc6a2f7143ab39b343e63c5,,master,passed,718,2018-01-25 09:44:40 UTC,333160900,333160901,push
333090366,5b386f22e6c0cb8276ac8bfe7eb8394bf05ad740,68,master,passed,656,2018-01-25 06:28:54 UTC,333090367,333090368,pull_request
332916197,767e114e96b9bf0186270cb0976a09f7422c7c7f,,master,passed,612,2018-01-25 02:45:10 UTC,332916198,332916199,push
332485946,6ad6485905d79abf53f3d0f7d63bc8e18ecedf8b,67,master,errored,0,,332485947,332485948,pull_request
332429175,29a2742dbe1364febc88febdc8c6bf910e7e04df,,master,errored,0,,332429176,332429177,push
332427578,a38d76325203921c1122fefdf855bdb205c3346c,,master,canceled,0,,332427579,332427580,push
332415596,1a22983f572eece975fc68df9813e3b81fdae313,,master,canceled,0,,332415597,332415598,push
332010672,5a681bd517f31695e595f25aa87992fa8e60b1fa,64,master,passed,928,2018-01-23 16:41:32 UTC,332010673,332010674,pull_request
330488805,9900409777acd5d6769eb970a1ad5df2f3791514,62,master,passed,749,2018-01-24 23:15:17 UTC,330488807,330488808,pull_request
319817191,4f8402763c798447017ac6dc63baea4debf49f44,,master,passed,1064,2017-12-21 17:59:29 UTC,319817192,319817193,push
319738287,c9d500150f844f68e58565251b359d79463e6006,,master,passed,1041,2017-12-21 15:00:21 UTC,319738289,319738292,push
319737423,2e97393e115ba4d362a01711be70a2e40a8b85a3,,master,canceled,0,,319737424,319737425,push
319731604,f53227ea84caa97dee45c901320e888ffd04ca49,,master,passed,1111,2017-12-21 14:37:31 UTC,319731605,319731606,push
319169162,fb1d3535205f955d1b30babad3fae44078d2abed,,master,passed,1279,2017-12-20 13:43:47 UTC,319169163,319169164,push
319146609,c0eacf493e2e4e3c9a210ddf3f8264a1c75e84f9,,master,canceled,1433,,319146611,319146612,319146613,push
319138944,eb84c7e96f2de31b8a24f7d0b60e197730ac5b9e,,master,canceled,0,,319138945,319138946,319138947,push
319137023,2b28366bb8417cbd348abfeaa30d14c266d43f4e,,master,canceled,0,,319137025,319137026,319137030,push
319122253,ad39189115094b85e769358abcd09d33428f5f2b,,master,errored,2352,2017-12-20 11:38:59 UTC,319122254,319122255,319122256,api
