build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
718689390,928952d99a2be5c0c20e5a0de1df9b4ea3891ce2,,3.4,canceled,0,,718689391,718689392,718689393,718689394,718689395,718689396,718689397,718689398,718689399,718689400,718689401,718689402,718689403,718689404,718689405,718689406,718689407,718689408,718689409,718689410,718689411,718689412,718689413,718689414,718689415,718689416,718689417,718689418,718689419,718689420,718689421,718689422,718689423,718689424,718689425,718689426,718689427,718689428,718689429,718689430,718689431,push
718689002,6454d369fcc90b848d3b71d08cc7f4335c92c9ad,,master,canceled,381,2020-08-17 16:25:15 UTC,718689003,718689004,718689005,718689006,718689007,718689010,718689011,718689012,718689013,718689014,718689015,718689016,718689017,718689018,718689019,718689020,718689021,718689022,718689023,718689024,718689025,718689026,718689027,718689028,718689029,718689030,718689031,718689032,718689033,718689034,718689035,718689036,718689037,718689038,718689039,718689040,718689041,718689042,718689043,718689044,718689045,push
718387405,97642d5a01c25aad40db0badfbe2c941ad931b38,,42,passed,107241,2020-08-17 05:33:43 UTC,718387406,718387407,718387408,718387409,718387410,718387411,718387412,718387413,718387414,718387415,718387416,718387417,718387418,718387419,718387420,718387421,718387422,718387423,718387424,718387425,718387426,718387427,718387428,718387429,718387430,718387431,718387432,718387433,718387434,718387435,718387436,718387437,718387438,718387439,718387440,718387441,718387442,718387443,718387444,718387445,718387446,718387447,718387448,718387449,718387450,718387451,718387452,718387453,718387454,718387455,718387456,718387457,718387458,push
718363702,8dc0f4d8b3f49f4bf5ada0fdeb048406fd0cc7f8,,41,passed,90375,2020-08-16 14:37:32 UTC,718363703,718363704,718363705,718363707,718363708,718363710,718363711,718363712,718363713,718363714,718363715,718363716,718363717,718363718,718363719,718363720,718363721,718363722,718363723,718363724,718363725,718363726,718363727,718363728,718363729,718363730,718363731,718363732,718363733,718363734,718363735,718363736,718363737,718363738,718363739,718363740,718363741,718363742,718363743,718363744,718363745,718363746,718363747,718363748,718363749,718363750,718363751,718363752,718363753,718363754,718363755,718363756,718363757,push
718349587,97642d5a01c25aad40db0badfbe2c941ad931b38,,master,canceled,2830,2020-08-16 13:20:29 UTC,718349588,718349589,718349590,718349591,718349592,718349593,718349594,718349595,718349596,718349597,718349598,718349599,718349600,718349601,718349602,718349603,718349604,718349605,718349606,718349607,718349608,718349609,718349610,718349611,718349612,718349613,718349614,718349615,718349616,718349617,718349618,718349619,718349620,718349621,718349622,718349623,718349624,718349625,718349626,718349627,718349628,718349629,718349630,718349631,718349632,718349633,718349634,718349635,718349636,718349637,718349638,718349639,718349640,push
718349435,8dc0f4d8b3f49f4bf5ada0fdeb048406fd0cc7f8,,3.4,canceled,14102,2020-08-16 13:18:00 UTC,718349436,718349437,718349438,718349439,718349440,718349441,718349442,718349443,718349444,718349445,718349446,718349447,718349448,718349449,718349450,718349451,718349452,718349453,718349454,718349455,718349456,718349457,718349458,718349459,718349460,718349461,718349462,718349463,718349464,718349465,718349466,718349467,718349468,718349469,718349470,718349471,718349472,718349473,718349474,718349475,718349476,718349477,718349478,718349479,718349480,718349481,718349482,718349483,718349484,718349485,718349486,718349487,718349488,push
718334988,b0225dd657ac94dfb9e549ca3d6dc574837a23a6,,3.4,canceled,2861,2020-08-16 11:20:17 UTC,718334990,718334992,718334993,718334994,718334995,718334996,718334997,718334998,718334999,718335000,718335001,718335002,718335003,718335004,718335005,718335006,718335007,718335008,718335009,718335010,718335011,718335012,718335013,718335014,718335015,718335016,718335017,718335018,718335019,718335020,718335021,718335022,718335023,718335024,718335025,718335026,718335027,718335028,718335029,718335030,718335031,718335032,718335033,718335034,718335035,718335036,718335037,718335038,718335039,718335040,718335041,718335042,718335043,push
718334877,798a68964bc1953da8b6776b0c17ba3497c75666,,master,canceled,26063,2020-08-16 11:17:49 UTC,718334878,718334879,718334880,718334881,718334882,718334883,718334884,718334885,718334891,718334892,718334893,718334894,718334895,718334896,718334897,718334898,718334899,718334900,718334901,718334902,718334903,718334904,718334905,718334906,718334907,718334908,718334909,718334910,718334911,718334912,718334913,718334914,718334915,718334916,718334917,718334918,718334919,718334920,718334921,718334922,718334923,718334924,718334925,718334926,718334927,718334928,718334929,718334930,718334931,718334932,718334933,718334934,718334935,push
718327507,d53115c6848859005a7b3532b31473a95dd28b9f,,master,canceled,2827,2020-08-16 10:05:01 UTC,718327508,718327509,718327510,718327511,718327512,718327513,718327514,718327515,718327516,718327517,718327518,718327519,718327520,718327521,718327522,718327523,718327524,718327525,718327526,718327527,718327528,718327529,718327530,718327531,718327532,718327533,718327534,718327535,718327536,718327537,718327538,718327539,718327540,718327541,718327542,718327543,718327544,718327545,718327546,718327547,718327548,718327549,718327550,718327551,718327552,718327553,718327554,718327555,718327556,718327557,718327558,718327559,718327560,push
718327297,ebfac6b2034edc2b0e4de1746ddc0570a0d17ba2,,3.4,canceled,10986,2020-08-16 10:02:38 UTC,718327298,718327299,718327300,718327301,718327302,718327303,718327304,718327305,718327306,718327307,718327308,718327309,718327310,718327311,718327312,718327313,718327314,718327315,718327316,718327317,718327318,718327319,718327320,718327321,718327322,718327323,718327324,718327325,718327326,718327327,718327328,718327329,718327330,718327331,718327332,718327333,718327334,718327335,718327336,718327337,718327338,718327339,718327340,718327341,718327342,718327343,718327344,718327345,718327346,718327347,718327348,718327349,718327350,push
718063018,e3cc9a8f14473b7cdeac373429e15a8bc66d73ce,,3.4,passed,87276,2020-08-14 22:16:33 UTC,718063019,718063020,718063021,718063022,718063023,718063024,718063025,718063026,718063027,718063028,718063029,718063030,718063031,718063032,718063034,718063035,718063037,718063038,718063039,718063040,718063041,718063042,718063043,718063044,718063045,718063046,718063047,718063048,718063049,718063050,718063051,718063052,718063053,718063054,718063055,718063056,718063057,718063058,718063059,718063060,718063061,718063062,718063063,718063064,718063065,718063066,718063067,718063068,718063069,718063070,718063071,718063072,718063073,push
718062929,21be118bee9c3519cbb64aa5ef80dce7f3737f0b,,master,failed,101811,2020-08-14 22:13:57 UTC,718062930,718062931,718062932,718062933,718062934,718062935,718062936,718062937,718062938,718062939,718062940,718062941,718062942,718062943,718062944,718062945,718062946,718062947,718062948,718062949,718062950,718062951,718062952,718062953,718062954,718062955,718062956,718062957,718062958,718062960,718062962,718062963,718062964,718062965,718062966,718062967,718062968,718062969,718062970,718062971,718062972,718062973,718062974,718062975,718062976,718062977,718062978,718062979,718062980,718062981,718062982,718062983,718062984,push
718049003,0fca5426aa7dd52d9d5b0ba6b00aa61c649299cb,,master,canceled,2996,2020-08-14 21:26:45 UTC,718049004,718049005,718049006,718049007,718049008,718049009,718049010,718049011,718049012,718049013,718049014,718049015,718049016,718049017,718049018,718049019,718049020,718049021,718049022,718049023,718049024,718049025,718049026,718049027,718049028,718049029,718049030,718049031,718049032,718049033,718049034,718049035,718049036,718049037,718049038,718049039,718049040,718049041,718049042,718049043,718049044,718049045,718049046,718049047,718049048,718049049,718049050,718049051,718049052,718049053,718049054,718049055,718049056,push
