"login","name","language","num_watchers","num_external_contributors","num_prs","num_issues","active_years","num_travis_builds"
"RubyMoney","money","Ruby",1142,89,280,249,"7",864
"facebook","facebook-android-sdk","Java",2868,29,147,202,"5",96
"adelevie","parse-ruby-client","Ruby",241,35,88,83,"3",287
"loopj","android-async-http","Java",6754,65,246,665,"4",490
"flavour","eden","Python",170,72,1088,10,"4",1203
"matplotlib","matplotlib","Python",2499,358,2622,2127,"12",8085
"ruby-amqp","amqp","Ruby",193,24,62,76,"4",918
"comfy","comfortable-mexican-sofa","Ruby",1719,101,274,423,"5",758
"Instagram","python-instagram","Python",715,41,90,75,"4",63
"fnando","browser","Ruby",470,52,89,57,"5",263
"maraujop","django-crispy-forms","Python",1980,93,156,279,"6",271
"puppetlabs","puppetlabs-rabbitmq","Ruby",142,100,328,40,"4",861
"nesaro","pydsl","Python",59,1,3,76,"3",92
"stephenmcd","django-forms-builder","Python",300,28,79,87,"5",164
"infochimps-labs","wukong","Ruby",414,9,9,19,"6",127
"vvakame","JsonPullParser","Java",107,9,10,31,"5",75
"codeforamerica","brigade","Ruby",84,33,196,154,"3",1259
"square","otto","Java",1734,22,79,65,"3",240
"ryanmcgrath","twython","Python",956,65,167,215,"6",241
"etsy","logster","Python",708,33,61,22,"4",117
"paulasmuth","recommendify","Ruby",1161,1,15,15,"3",107
"kennethreitz","tablib","Python",1027,39,94,115,"4",169
"camping","camping","Ruby",149,16,21,35,"5",108
"steelThread","redmon","Ruby",642,13,30,24,"3",163
"mceachen","closure_tree","Ruby",360,25,47,96,"4",590
"ryanb","letter_opener","Ruby",1413,38,58,49,"4",144
"tchandy","octopus","Ruby",1070,31,116,210,"5",285
"rodjek","librarian-puppet","Ruby",350,33,123,187,"3",517
"spree","spree","Ruby",6519,636,3680,2994,"7",4003
"Jasig","cas","Java",757,51,700,332,"5",1718
"alecgorge","jsonapi","Java",160,21,48,407,"5",128
"guard","guard-rspec","Ruby",309,79,141,188,"5",486
"cowboyd","less.rb","Ruby",66,19,37,22,"4",80
"mattrobenolt","ec2","Python",117,2,4,4,"3",57
