"login","name","language","num_watchers","num_external_contributors","num_prs","num_issues","active_years","num_travis_builds"
"geier","pycarddav","Python",80,13,22,90,"4",188
"pculture","miro","Python",143,15,429,7,"10",369
"fnichol","chef-user","Ruby",96,25,52,32,"4",144
"topfunky","gruff","Ruby",190,19,46,70,"5",161
"justinfrench","formtastic","Ruby",5078,155,327,832,"7",722
"wildbit","postmark-gem","Ruby",51,21,25,13,"6",105
"tavendo","AutobahnPython","Python",546,36,114,307,"4",945
"Compass","compass-rails","Ruby",399,37,87,157,"4",331
"square","retrofit","Java",5036,70,419,527,"5",2014
"wvanbergen","request-log-analyzer","Ruby",547,34,48,90,"7",175
"tomchristie","django-rest-framework","Python",3897,469,1620,1530,"5",5603
"eclipse","jetty.project","Java",347,21,49,0,"4",207
"franckverrot","activevalidators","Ruby",188,8,53,29,"5",112
"typesafehub","config","Java",897,24,107,225,"4",353
"rgladwell","m2e-android","Java",203,18,105,243,"4",463
"nahi","httpclient","Ruby",396,40,77,183,"7",296
"rumblelabs","asset_sync","Ruby",948,66,118,193,"4",282
"buildbot","buildbot","Python",1514,310,1741,8,"10",3740
"matagus","django-planet","Python",113,6,21,31,"6",131
"afeld","mustachio","Ruby",104,5,19,22,"4",75
"Guake","guake","Python",547,54,108,459,"5",413
"shazow","urllib3","Python",838,104,376,284,"6",1637
"ari","jobsworth","Ruby",437,13,69,443,"5",638
"paulelliott","fabrication","Ruby",227,28,83,95,"5",322
"presidentbeef","brakeman","Ruby",2719,45,428,255,"5",1195
"radiant","radiant","Ruby",303,17,63,329,"5",456
"postrank-labs","goliath","Ruby",2267,71,153,164,"4",180
"thinreports","thinreports-generator","Ruby",100,4,4,26,"4",153
"jgraichen","rails-timeago","Ruby",132,15,16,10,"3",68
"twilio","twilio-python","Python",404,40,122,106,"6",481
"stripe","stripe-ruby","Ruby",292,70,148,93,"4",683
"thetron","mongoid_token","Ruby",84,14,29,25,"4",121
"jayway","maven-android-plugin-samples","Java",76,15,64,0,"5",146
"jnicklas","capybara","Ruby",6213,222,568,970,"6",1309
"zdennis","activerecord-import","Ruby",479,37,93,104,"5",108
"metaskills","less-rails-bootstrap","Ruby",289,22,61,68,"4",231
"dejan","auto_html","Ruby",228,42,88,33,"7",204
"remiprev","teamocil","Ruby",462,13,26,50,"4",137
"translate","pootle","Python",473,43,467,807,"9",4529
"rossp","django-helpdesk","Python",191,32,117,118,"4",232
"github","linguist","Ruby",2812,545,1575,933,"4",5810
"puppetlabs","puppetlabs-stdlib","Ruby",303,86,470,0,"4",955
"basho","riak-java-client","Java",245,50,322,195,"6",199
"langalex","couch_potato","Ruby",64,22,50,61,"6",171
"spacecowboy","NotePad","Java",162,14,42,188,"3",148
"guard","guard-minitest","Ruby",140,38,72,59,"5",277
"jimweirich","rake","Ruby",1141,84,152,168,"12",458
"sendgrid","sendgrid-python","Python",154,35,54,50,"3",264
"threerings","playn","Java",164,18,51,23,"4",349
"enspiral","loomio","Ruby",107,17,521,61,"4",1135
"mperham","girl_friday","Ruby",193,10,24,6,"4",113
"xaviershay","rspec-fire","Ruby",187,8,31,18,"4",92
"rabbitmq","rabbitmq-tutorials","Python",594,26,41,15,"5",149
"dmpayton","django-admin-honeypot","Python",104,8,14,9,"4",90
"tobami","littlechef","Python",350,26,109,138,"5",170
"applicationsonline","librarian","Ruby",663,19,51,127,"4",249
"ruhoh","ruhoh.rb","Ruby",389,21,70,224,"3",129
"SciRuby","sciruby","Ruby",267,7,10,31,"4",68
"heroku","heroku.rb","Ruby",118,33,46,45,"4",276
"CloudifySource","cloudify","Java",175,17,102,0,"4",6064
"hexorx","countries","Ruby",459,105,192,84,"6",350
"piskvorky","gensim","Python",895,54,179,168,"4",784
"RS485","LogisticsPipes","Java",230,36,147,748,"3",1357
"Mach5","supersonic","Java",90,6,21,49,"4",154
"pythonforfacebook","facebook-sdk","Python",722,35,117,80,"4",158
"rubytaiwan","jobs.ruby.tw","Ruby",79,12,27,11,"5",75
"bbangert","beaker","Python",140,24,40,34,"5",82
"librato","librato-metrics","Ruby",68,10,72,29,"4",282
"typhoeus","typhoeus","Ruby",2433,94,163,302,"6",507
"rgrove","sanitize","Ruby",392,13,21,106,"5",114
"seb-m","pyinotify","Python",470,12,28,49,"5",65
"celery","celery","Python",3542,385,806,2289,"6",2704
"Supervisor","supervisor","Python",1630,85,264,365,"9",935
"mcMMO-Dev","mcMMO","Java",552,44,254,2374,"5",185
"Locale","localeapp","Ruby",112,23,71,64,"4",375
"praekelt","django-recaptcha","Python",112,29,41,26,"5",54
"flori","json","Java",345,43,83,176,"6",329
"pypa","pip","Python",2169,225,1243,1712,"7",4235
