build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
749408387,c29008f185e38d850cb4ad8b6c4ae29b21bbda4d,729,master,errored,3639,2020-12-13 11:37:11 UTC,749408388,749408389,749408390,749408391,749408392,749408393,749408394,749408395,749408396,749408397,749408398,pull_request
749408342,c00138396a3086b8f333f4eae2736343eeff7fb6,,bugfix/fix-failing-docs,errored,3616,2020-12-13 11:23:49 UTC,749408343,749408344,749408345,749408346,749408347,749408348,749408349,749408350,749408351,749408352,749408353,push
748798576,edcc80c2581d15db3a0db997b82eb1edba9f1470,727,master,errored,3666,2020-12-10 17:47:22 UTC,748798577,748798578,748798579,748798580,748798581,748798582,748798583,748798584,748798585,748798586,748798587,pull_request
748797827,a075ab8cf146824d466c5fc74e641ff727a83609,727,master,canceled,0,,748797828,748797829,748797830,748797831,748797832,748797833,748797834,748797835,748797836,748797837,748797838,pull_request
748549973,d44d48892f61c3d2f4c46fb6d4f740645bdfb1bd,,master,passed,4163,2020-12-09 14:02:23 UTC,748549974,748549975,748549976,748549977,748549978,748549979,748549980,748549981,748549982,748549983,748549986,push
748548885,02e0273d0865920e2ffa15800c21d7af92030703,,master,canceled,0,,748548886,748548887,748548888,748548889,748548890,748548891,748548892,748548893,748548894,748548895,748548896,push
748546243,328fbf0287e14d0919517a4a5e50983a951663ea,,master,canceled,0,,748546244,748546245,748546246,748546247,748546248,748546249,748546250,748546251,748546252,748546253,748546254,push
748545618,b456998a6c02314f3a9e8170dd99d8f5f6d99246,,master,canceled,0,,748545619,748545620,748545621,748545622,748545623,748545624,748545625,748545626,748545627,748545628,748545629,push
748410109,75dc37bbd9ee98c16702103185f4499f963a6627,727,master,failed,4196,2020-12-08 23:26:05 UTC,748410110,748410111,748410112,748410113,748410114,748410115,748410116,748410117,748410118,748410119,748410120,pull_request
748397862,e0ec1829df170b0074b4eaab09fcf28da85c6a50,725,master,passed,4299,2020-12-08 19:49:14 UTC,748397863,748397864,748397865,748397866,748397867,748397868,748397869,748397870,748397871,748397872,748397873,pull_request
748397309,14b41c0f947f76d184f9241605abb4a207cb291f,725,master,canceled,0,,748397310,748397311,748397312,748397313,748397314,748397315,748397316,748397317,748397318,748397319,748397320,pull_request
748395759,9599772737db157cdb1e8535fc6ea6afc09e4934,725,master,canceled,0,,748395760,748395761,748395762,748395763,748395764,748395765,748395766,748395767,748395768,748395769,748395770,pull_request
748395428,bf5065faa3ba02f06567294258828678d3475bd6,725,master,canceled,0,,748395429,748395430,748395431,748395432,748395433,748395434,748395435,748395436,748395437,748395438,748395439,pull_request
748395306,43d77ef66718e0437cb36d2140bcbb06b13e15f5,725,master,canceled,0,,748395307,748395308,748395309,748395310,748395311,748395313,748395315,748395319,748395320,748395321,748395322,pull_request
748394877,f0480a6f90e9cc6cd2bdb1b518cb08bf00046f2c,725,master,canceled,0,,748394878,748394879,748394880,748394881,748394882,748394883,748394884,748394885,748394886,748394887,748394888,pull_request
748365810,29b331f03a2b7235f549505e558c12b6bbbaa4ce,,master,passed,4647,2020-12-08 16:54:29 UTC,748365811,748365812,748365813,748365814,748365815,748365816,748365817,748365818,748365819,748365820,748365821,push
747832081,0f3dbd490d979d7a06b759f49e76eb525a9f7610,724,master,passed,6550,2020-12-05 18:05:51 UTC,747832082,747832083,747832084,747832085,747832086,747832087,747832088,747832089,747832090,747832091,747832092,pull_request
747832063,0fa1300d16f8acc8797667e90141cd59309f16ff,,feature/optuna-example-718,passed,6549,2020-12-05 17:19:41 UTC,747832064,747832065,747832066,747832067,747832068,747832069,747832070,747832071,747832072,747832073,747832074,push
747831882,c42650f8175f0327629fb39f3a83ad35762e2367,724,master,canceled,0,,747831883,747831884,747831885,747831886,747831887,747831888,747831889,747831890,747831891,747831892,747831893,pull_request
747831870,660601e32f1d720f50d083ac8f90f2c66d90901a,,feature/optuna-example-718,canceled,0,,747831871,747831872,747831873,747831874,747831875,747831876,747831877,747831878,747831879,747831880,747831881,push
747683937,86b87ff0a0a2d575aca5778c295d9147521cf4bd,725,master,failed,5444,2020-12-04 19:33:35 UTC,747683938,747683939,747683940,747683941,747683942,747683943,747683944,747683945,747683946,747683947,747683948,pull_request
747679587,dcab8cb1eab0efa8ee388b67b8199c93ef7f3464,725,master,canceled,0,,747679588,747679589,747679590,747679591,747679592,747679593,747679594,747679595,747679596,747679597,747679598,pull_request
747668920,dca2bd8bc6da48e5f375685ae92ffbdbee80f6ee,725,master,canceled,0,,747668921,747668922,747668923,747668924,747668925,747668926,747668927,747668928,747668929,747668930,747668931,pull_request
747665832,066074a0946bec4a4bc1a20706f12e080d4a2545,725,master,canceled,0,,747665833,747665834,747665835,747665836,747665837,747665838,747665839,747665840,747665841,747665842,747665843,pull_request
747664032,e48e93e2b882b387fe7a0e2284243bf532535505,725,master,canceled,0,,747664033,747664034,747664035,747664036,747664037,747664038,747664039,747664040,747664041,747664042,747664043,pull_request
747663385,3ed907bd7a9edcf6816ccfcbe957db1d87351410,725,master,canceled,0,,747663386,747663387,747663388,747663389,747663390,747663391,747663392,747663393,747663394,747663395,747663396,pull_request
747659084,21ef1ea9baee925ab6cb848397fb75dac081dff4,725,master,canceled,0,,747659087,747659088,747659090,747659092,747659094,747659096,747659098,747659101,747659103,747659104,747659106,pull_request
747643073,769afb70224226fbc7e4fdef0941d52fe1dc4615,725,master,canceled,0,,747643074,747643075,747643076,747643077,747643078,747643079,747643080,747643081,747643082,747643083,747643084,pull_request
