build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
745673103,fe2f048aa9698eff85d24f20e6ffde0b75ff1651,510,master,errored,175,2020-11-24 20:33:59 UTC,745673104,745673105,745673106,745673107,745673108,745673109,745673110,745673111,pull_request
745673094,9b9a8ce74463d37faed168ab739d3bd2f0e72a23,,github_actions_ci,errored,155,2020-11-24 17:29:03 UTC,745673095,745673096,745673097,745673098,745673099,745673100,745673101,745673102,push
745672911,1280971b96f7a41f734ab04fd35a0448df4d358a,510,master,canceled,0,,745672912,745672913,745672914,745672915,745672916,745672917,745672919,745672920,pull_request
745672789,e0210dcff1323c1291ba6c20269e448c4b3359fe,,github_actions_ci,canceled,0,,745672793,745672794,745672795,745672797,745672798,745672803,745672806,745672807,push
745670205,8aaee33b7010daf9eec2dca27a06ad45282efac5,510,master,canceled,0,,745670206,745670207,745670208,745670209,745670210,745670211,745670212,745670213,pull_request
745670194,ca4b845298697a91bc2d6f50896fedb5672dfda7,,github_actions_ci,canceled,0,,745670195,745670196,745670197,745670198,745670199,745670200,745670201,745670202,push
745669518,5f1b61b814ff1c79a5cc1d219b569d595e166d64,510,master,canceled,0,,745669519,745669520,745669521,745669522,745669523,745669525,745669526,745669529,pull_request
745669430,6b5e7efaba6695e1d2a242b92e96f00258d93be9,,github_actions_ci,canceled,0,,745669431,745669432,745669433,745669434,745669435,745669436,745669437,745669438,push
745668972,c594cb73b07b410f286e7bc2a1817f5a0094a227,510,master,canceled,0,,745668973,745668974,745668975,745668976,745668977,745668978,745668979,745668980,pull_request
745668909,0efbacb47258797e81cdf13f9b228705015d15ff,,github_actions_ci,canceled,0,,745668910,745668911,745668912,745668913,745668914,745668915,745668916,745668917,push
744718908,8c122c1a4fee1f91262852c390fd0ddcb3e33bbd,,rack-body,failed,672,2020-11-19 19:57:23 UTC,744718909,744718910,744718911,744718912,744718913,744718914,744718915,744718916,push
744329138,63608667ee6ae971dbf1e0fd491ee67fff03fbbd,509,master,passed,638,2020-11-18 09:27:47 UTC,744329139,744329140,744329141,744329142,744329143,744329144,744329145,744329146,pull_request
744328988,b8794a61c49ef7923694fbcb09be379c5526e29c,509,master,passed,635,2020-11-18 08:58:55 UTC,744328989,744328990,744328991,744328992,744328993,744328994,744328995,744328996,pull_request
744318956,6649e919befe08cac0ca5d2f96203c131ca0f21b,509,master,errored,194,2020-11-18 01:53:35 UTC,744318957,744318958,744318959,744318960,744318961,744318962,744318963,744318964,pull_request
743565344,1174e0d35a84f38783404c67c9dbf58c6735fd03,,master,passed,640,2020-11-14 08:41:17 UTC,743565345,743565346,743565347,743565348,743565349,743565350,743565351,743565352,push
743546494,22432a68fd5efcb47e7ec821ded22daa8c378f84,507,master,passed,659,2020-11-14 04:12:24 UTC,743546495,743546496,743546497,743546498,743546499,743546500,743546501,743546502,pull_request
741471577,c4b0e9114797284777f5788255023a5e055a0abd,,master,passed,650,2020-11-04 20:10:32 UTC,741471578,741471579,741471580,741471581,741471582,741471583,741471584,741471585,push
740582133,f498052b3591b8d3d3921f2932d4f5445e566d24,,master,passed,622,2020-11-01 11:19:14 UTC,740582134,740582135,740582136,740582137,740582138,740582139,740582140,740582141,push
740474510,1aad446cf1d6a45c9ffefc84ad32c5908b5b0c3c,,master,passed,763,2020-10-31 19:20:16 UTC,740474511,740474512,740474513,740474514,740474515,740474516,740474517,740474518,push
739318584,a102406da1589c8975e7ed15eeae32210b274b2b,504,master,passed,673,2020-10-27 16:09:18 UTC,739318585,739318586,739318587,739318588,739318589,739318590,739318591,739318592,pull_request
739284938,b65bbd25d4dc10ae247f0a1ca56f66ef66785aeb,504,master,failed,678,2020-10-27 14:04:18 UTC,739284939,739284940,739284941,739284942,739284943,739284944,739284945,739284946,pull_request
734245305,6d1be14d329916305306011deaab40f260d7aff1,501,master,failed,608,2020-10-09 10:11:30 UTC,734245306,pull_request
732781533,c195329ab48d011010b06a6062d888744ceb3be0,,v3.3.0,passed,653,2020-10-04 20:00:00 UTC,732781534,732781535,732781536,732781537,732781538,732781539,732781540,732781541,push
732781522,c195329ab48d011010b06a6062d888744ceb3be0,,master,passed,635,2020-10-04 19:57:48 UTC,732781523,732781524,732781525,732781526,732781527,732781528,732781529,732781530,push
732780951,d631453c3b97aadf6abefacf6038ce84a54da0b0,,master,passed,635,2020-10-04 19:53:48 UTC,732780952,732780953,732780954,732780955,732780956,732780957,732780958,732780959,push
732738002,398a27f01783548856264cf4e3acf3420d169511,,master,passed,628,2020-10-04 15:42:59 UTC,732738003,732738004,732738005,732738006,732738007,732738008,732738009,732738010,push
732713679,aed0140f163271d545a910f29efda63eba17b6fc,,master,passed,638,2020-10-04 14:33:22 UTC,732713680,732713681,732713682,732713683,732713684,732713685,732713686,732713687,push
732567309,b9782de859a20b2c9c4e7dcc439b7574507b544c,,master,passed,624,2020-10-03 18:18:12 UTC,732567310,732567311,732567312,732567313,732567314,732567315,732567316,732567317,push
732559577,02b54b4e42015b3e34e85476c5fa5ea35f23fa47,,master,passed,631,2020-10-03 17:32:49 UTC,732559578,732559579,732559580,732559581,732559582,732559583,732559584,732559585,push
732555129,28378d92fe2efe4ba6d053973e39e14d2560e5c9,,master,failed,646,2020-10-03 17:07:08 UTC,732555130,732555131,732555132,732555133,732555134,732555135,732555136,732555137,push
732493453,552b9a6609b3506e0e03b79d17ac752cd0d9107d,,master,passed,672,2020-10-03 11:48:27 UTC,732493454,732493455,732493456,732493457,732493458,732493459,732493460,732493461,push
732492329,333c01b9c631690b1a4d623937f16ab1ff78bc1e,,master,failed,637,2020-10-03 11:40:12 UTC,732492330,732492331,732492332,732492333,732492334,732492335,732492336,732492337,push
732492246,9300b8bc129e777cf2142dfba2361819f7e04fbc,,master,passed,644,2020-10-03 11:38:10 UTC,732492247,732492248,732492249,732492250,732492251,732492252,732492253,732492254,push
732490857,1913fa192d0ea1a78d06a81a321973ef738b29dc,,master,failed,647,2020-10-03 11:26:43 UTC,732490858,732490859,732490860,732490861,732490862,732490863,732490864,732490865,push
732489413,6083fd2679ccdc3f48fb4db2ce74473db2b17501,,master,failed,670,2020-10-03 11:14:20 UTC,732489414,732489415,732489416,732489417,732489418,732489419,732489420,732489421,push
732489316,2708936f3e71a55098bb0295bd4dbfd594faafb3,,master,failed,660,2020-10-03 11:12:26 UTC,732489317,732489318,732489319,732489320,732489321,732489322,732489323,732489324,push
732341884,429f40400da8d63f4b2cd143898ccfa6b9092ccd,,master,passed,716,2020-10-02 18:10:14 UTC,732341885,732341886,732341887,732341888,732341889,732341890,732341891,732341892,push
732340551,74687ded29fc8ef5241630aad720113b01e6373c,,master,passed,866,2020-10-02 18:06:44 UTC,732340552,732340553,732340554,732340555,732340556,732340557,732340558,732340559,push
732340361,67f1a2fdef71df3e933bfdc48aead927819e2cae,476,master,errored,168,2020-10-02 18:02:56 UTC,732340362,732340363,732340364,732340365,732340366,732340367,732340368,732340369,pull_request
719373369,975bba5cc5a0c388f967ea25b5cb6788a28347e6,497,master,errored,641,2020-08-19 18:36:07 UTC,719373370,719373371,719373372,719373373,719373374,719373375,719373376,719373377,pull_request
719373171,16184a57a4db937badaebd96eabf8dcdd0a8c366,497,master,errored,601,2020-08-19 18:33:58 UTC,719373172,719373173,719373174,719373175,719373176,719373177,719373178,719373179,pull_request
719372983,d2303088bda1a1cd8be4c7156457fa116330e61e,497,master,canceled,0,,719372984,719372985,719372986,719372987,719372988,719372989,719372990,719372991,pull_request
719372715,b4fffced92629fe682c75aaa115a4b054b7a6dcd,497,master,errored,634,2020-08-19 18:31:59 UTC,719372716,719372717,719372718,719372719,719372720,719372721,719372722,719372723,pull_request
719371792,9b0bd779baf98d741a7a5aef12101386b75a448e,497,master,errored,624,2020-08-19 18:28:55 UTC,719371793,719371794,719371795,719371796,719371797,719371798,719371799,719371800,pull_request
