build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
759581429,2fd3d2157d5271ca3575b13daec975ca4c10577a,,master,errored,623,2021-02-19 04:06:20 UTC,759581430,759581431,759581432,759581433,push
759353903,35e94f4f1feec46ad069dd4bac936a2947314e97,96,master,passed,204,2021-02-17 16:16:29 UTC,759353904,759353905,759353906,759353907,pull_request
758803103,dc91d57a4cb7b9b77f26decb6b10d0b22bf2278d,95,master,passed,195,2021-02-13 07:44:58 UTC,758803104,758803105,758803106,758803107,pull_request
755589617,4e3a5427c56a4265a14b8bd3c9e4a5dd7a435edf,94,master,failed,194,2021-01-21 21:17:09 UTC,755589618,755589619,755589620,755589621,pull_request
744820917,df4a1ebf8c0536e4bd7b7828a4c0dcb2b7b5d22b,,master,passed,189,2020-11-20 07:11:17 UTC,744820918,744820919,744820920,744820921,push
744820640,cd44ef5127cc6a578283991cbf5539092fb60c86,,master,canceled,0,,744820641,744820642,744820643,744820644,push
743327494,3884e2d8d6d2abb30e24bc598b632fc57bbcb011,93,master,passed,185,2020-11-13 04:11:22 UTC,743327495,743327496,743327497,743327498,pull_request
739818417,d63054b24c2f63aaa3a08fb9ec9d0da4c70ab922,,master,passed,186,2020-10-29 05:34:19 UTC,739818418,739818419,739818420,739818421,push
737862411,d3bbcd7fe952b962363580c6cf72ec7ef2725ad8,,master,passed,204,2020-10-21 22:46:14 UTC,737862412,737862413,737862414,737862415,push
682801238,50eba266b0d8a952c7230fca1114cbc9fbbdfbd4,,master,passed,196,2020-05-04 06:48:43 UTC,682801239,682801240,682801241,682801242,push
682516616,5c6f8fc0867122b7ca48256fd67d05c0565c443c,86,master,passed,180,2020-05-03 07:15:12 UTC,682516617,682516618,682516619,682516620,pull_request
671737572,ba6bee1e859d6f1f912afd01af501df57566f73f,,master,passed,191,2020-04-06 16:59:24 UTC,671737573,671737574,671737575,671737576,push
669086151,90902d152b38b021f61c529c24ca6a96dd6661c1,,master,failed,195,2020-03-31 05:04:55 UTC,669086152,669086153,669086154,669086155,push
661825427,c0d11420f35cfbcb62f94be0dfcf9baf70a9cea5,,master,passed,179,2020-03-13 05:21:14 UTC,661825428,661825429,661825430,661825431,push
661789998,11726dafc8a60c2110964d965ef4ab0175ea32be,84,master,passed,173,2020-03-13 02:05:46 UTC,661789999,661790000,661790001,661790002,pull_request
660468141,5f710c60a0ac5fa9cb71eb908c730e2c274f08ae,,master,passed,182,2020-03-10 04:49:25 UTC,660468142,660468143,660468144,660468145,push
660452770,0412f0cd7bdc0831327dd2040d2d60f2d548bc32,83,master,passed,180,2020-03-10 03:30:04 UTC,660452771,660452772,660452773,660452774,pull_request
647434788,6798d4cb15549e26812dd2ad75fd57f0fba49887,,master,passed,185,2020-02-07 17:25:04 UTC,647434789,647434790,647434791,647434792,push
645249048,65cb4cbdba563b04b58eb7d4ca331cd331edd868,,master,failed,173,2020-02-03 01:45:15 UTC,645249049,645249050,645249051,645249052,push
645227599,fcd4e99c26dcbbf42f7cbf9a4e8b6bef97c1bb3a,80,master,failed,205,2020-02-02 23:51:44 UTC,645227600,645227601,645227602,645227603,pull_request
619453492,20837aa45a7dee98da46ce05eaf6b7c4d7aa09a5,,master,passed,256,2019-12-02 05:34:07 UTC,619453493,619453494,619453495,619453496,push
615482735,398612a071da105e77a84976bf786a1b863584f9,78,master,passed,257,2019-11-22 10:24:51 UTC,615482737,615482738,615482743,615482744,pull_request
578176264,fffbb08e86e6c9717ed3ecc5cd9c852c19dafed7,,master,passed,225,2019-08-29 04:59:18 UTC,578176265,578176266,578176267,578176268,push
578175930,4753109746ea08c659b4716da5e2fa1919fb77f7,,master,failed,224,2019-08-29 04:56:52 UTC,578175931,578175932,578175933,578175934,578175935,push
577704931,4ff54a6b8b896786834a36ca69f54427f35ca9b1,,master,failed,236,2019-08-28 06:57:15 UTC,577704932,577704933,577704934,577704935,577704936,push
547475772,3e8f4ce58663bc77b422026dbb9bf217ce13138e,71,master,passed,236,2019-06-18 23:35:49 UTC,547475773,547475774,547475775,547475776,547475777,pull_request
547454591,9a64b037821b86ffa3c637da45349068d5852e4c,71,master,passed,185,2019-06-18 22:22:34 UTC,547454592,547454593,547454594,547454595,547454596,pull_request
547453546,75602862210187b2fbb6e4853a0f01ce834205ca,71,master,failed,181,2019-06-18 22:18:48 UTC,547453547,547453548,547453549,547453550,547453551,pull_request
547451424,d7ba92839a72be50c5af7c147f2c82395652cdbb,71,master,failed,177,2019-06-18 22:11:08 UTC,547451425,547451426,547451427,547451428,547451429,pull_request
547450175,70ecb644c7b619036decfdcf9f716f15f3b9c267,71,master,failed,192,2019-06-18 22:07:06 UTC,547450176,547450177,547450178,547450179,547450180,pull_request
547014199,624a2173b88907f2888fc36b49beac875248fdcb,71,master,failed,223,2019-06-18 00:24:43 UTC,547014200,547014201,547014202,547014203,547014204,pull_request
546200423,0269c7fafadf645084c7a8d3f368a5c412a8ecd7,71,master,failed,185,2019-06-15 20:02:04 UTC,546200424,546200425,546200426,546200427,546200428,pull_request
546199600,f52772b014cf4d1a37690f6da2b72141f1a90d78,71,master,failed,194,2019-06-15 19:56:53 UTC,546199601,546199602,546199603,546199604,546199605,pull_request
513668676,a9d4cecc8312e18460a62a08205ce130f676615d,,master,passed,300,2019-03-31 05:12:22 UTC,513668677,513668678,513668679,513668680,513668681,push
505058987,60480668001b72f6d3cf483d8bd6f57e37a2e568,,master,passed,261,2019-03-12 05:18:59 UTC,505058988,505058989,505058990,505058991,505058992,push
504540094,60b6cd55a231d8b209122cbdac8c616b95a5394b,68,master,passed,295,2019-03-11 06:20:32 UTC,504540095,504540096,504540097,504540098,504540099,pull_request
496343617,14a43dd559c271bcd9b1c6575f56933cf968e9b1,,master,passed,315,2019-02-21 05:36:22 UTC,496343618,496343619,496343620,496343621,496343622,push
496343513,ca1059be7d7f7a54b529286c0bddc235f0d61489,,master,canceled,0,,496343516,496343518,496343522,496343523,496343525,push
463664980,c0bb0602769b68f369226dd46507a62bbe8d79d1,,master,passed,200,2018-12-05 03:40:49 UTC,463664981,463664982,463664983,463664984,463664985,push
463664254,3fe4d0650ffca7920764aa5df683c2dbd2c2e9d9,,master,passed,203,2018-12-05 03:37:06 UTC,463664255,463664256,463664257,463664258,463664259,push
458676688,1e534b916407ac4bddec94b3722be0875afe4d34,,master,passed,263,2018-11-23 06:30:03 UTC,458676689,458676690,458676691,458676692,458676693,push
440702978,fc46e3a0b887af82487f59334e29f0c2a1b37652,,master,passed,254,2018-10-12 16:02:20 UTC,440702979,440702980,440702981,440702982,440702983,push
438616453,05c82db6a1ccdbd7aea9e49349376e4d275b2ca7,,master,passed,233,2018-10-08 13:07:23 UTC,438616454,438616455,438616456,438616457,438616458,push
438567355,34d9d9baec9967e3c386b65678977d85b6c480a1,62,master,passed,569,2018-10-08 11:02:22 UTC,438567356,438567357,438567358,438567359,438567360,pull_request
437980932,b71abf0867baa6c9601233e217e4d2151063774c,61,master,passed,236,2018-10-06 11:50:52 UTC,437980933,437980934,437980935,437980939,437980941,pull_request
433091192,cc17ddee52a6cf3a1cbbc84833dfd3bed5f8b89a,60,master,passed,284,2018-09-25 18:28:33 UTC,433091193,433091194,433091195,433091196,433091197,pull_request
424569524,20f73efd12dc4f08e8723496af9f159a1f4e86cf,,master,passed,230,2018-09-04 23:36:21 UTC,424569525,424569526,424569527,424569528,424569529,push
424513623,3d629ee71676505fea92bb9c5db083f3696af57c,58,master,passed,394,2018-09-04 20:51:10 UTC,424513624,424513625,424513626,424513627,424513628,pull_request
406116077,7aae6a85c24660422ea3f3f4629bb4a8d30df3ba,,v1.0,passed,563,2018-07-20 06:24:06 UTC,406116078,406116083,406116084,406116091,406116103,push
364946734,7aae6a85c24660422ea3f3f4629bb4a8d30df3ba,,master,passed,232,2018-04-11 05:19:46 UTC,364946735,364946736,364946737,364946738,364946739,push
364689102,5d82e4d0f7b58c0896a4b24c0ce1716f1a23dad5,56,master,passed,261,2018-04-10 16:12:24 UTC,364689103,364689104,364689105,364689106,364689107,pull_request
326170004,395ef03e1295bea8c3d2d3e6b6293d3f6128007e,,master,passed,292,2018-01-07 22:49:05 UTC,326170005,326170006,326170007,326170008,326170009,push
325079534,8fc980a952687d8f329af5459bcaae379a462d38,53,master,passed,381,2018-01-04 15:24:33 UTC,325079535,325079536,325079537,325079539,325079541,pull_request
264524205,1fbf1b66f52026644818016015b8fa9e0f639364,,master,passed,104,2017-08-14 21:26:35 UTC,264524206,264524207,264524208,264524209,264524210,push
264522351,845c6b5572e480c3bc552037ddffd4f1d7c274d7,50,master,passed,117,2017-08-14 21:20:38 UTC,264522352,264522354,264522355,264522356,264522357,pull_request
264519339,267655a76f5e2d50752258af028a38551e1b5018,,master,passed,115,2017-08-14 21:10:38 UTC,264519340,264519341,264519342,264519343,264519344,push
264499968,0379f74cc6404c6d2081109afd2e1fbde7e8d9fa,49,master,passed,111,2017-08-14 20:12:03 UTC,264499970,264499972,264499975,264499977,264499980,pull_request
